index;OID;Longitude;Latitude;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
30;CID46;8.336864;51.602063;LINESTRING (8.336864007691252 51.60206300512377, 8.503183007634776 51.62267000508754, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID20', 'PIPEID1', 'PIPEID9', 'PIPEID21'];513.6682933;CCS_CALCINED_CLAY_CEMENT;31;1;LL;1;1002320;34940104.13;2389610.086;29504342.51;35.28910963;383387.4;237386.8578;856991.6185;621727.9476;0.725477279;6.85607154;42.14518117;0;67.94444122;42.14518117;67.94444122;0.03012669;0.03012669;0.03012669;0.015063345
5;CID9;8.335833;51.599521;LINESTRING (8.335833007691845 51.59952100512495, 8.336864007691252 51.60206300512377, 8.503183007634776 51.62267000508754, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID5', 'PIPEID20', 'PIPEID1', 'PIPEID9', 'PIPEID21'];513.9691518;CCS_CALCINED_CLAY_CEMENT;6;1;LL;1;1002320;34940104.13;2389610.086;29511010.39;35.29576208;383387.4;237400.0436;856991.6185;621727.9476;0.725477279;6.860173398;42.15593547;0;67.96177879;42.15593547;67.96177879;0.06025338;0.06025338;0.03012669;0.045190035
16;CID23;8.5105;51.618256;LINESTRING (8.510500007632825 51.61825600508804, 8.503183007634776 51.62267000508754, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID12', 'PIPEID1', 'PIPEID9', 'PIPEID21'];502.2785646;CCS_CALCINED_CLAY_CEMENT;17;1;LL;1;1002320;34940104.13;2389610.086;29749754.38;35.53395347;383387.4;240688.9805;856991.6185;621727.9476;0.725477279;6.746651565;42.28060503;0;68.16276508;42.28060503;68.16276508;0.09038007;0.09038007;0.03012669;0.075316725
1;CID2;8.503183;51.62267;LINESTRING (8.503183007634776 51.62267000508754, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID1', 'PIPEID9', 'PIPEID21'];501.5504358;CCS_CALCINED_CLAY_CEMENT;2;1;LL;1;1002320;34940104.13;2389610.086;29781152.12;35.56527854;383387.4;240751.0696;856991.6185;621727.9476;0.725477279;6.728642239;42.29392078;0;68.18423208;42.29392078;68.18423208;0.12050676;0.12050676;0.03012669;0.105443415
13;CID20;8.746013;51.698479;LINESTRING (8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID9', 'PIPEID21'];482.1463876;CCS_CALCINED_CLAY_CEMENT;14;1;LL;1;1002320;34940104.13;2389610.086;30094289.17;35.87769078;383387.4;237884.4941;856991.6185;621727.9476;0.725477279;6.562361538;42.44005232;0;68.41981835;42.44005232;68.41981835;0.15063345;0.15063345;0.03012669;0.135570105
23;CID37;8.073849;51.759234;LINESTRING (8.073849007761982 51.75923400510686, 8.336864007691252 51.60206300512377, 8.503183007634776 51.62267000508754, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID15', 'PIPEID20', 'PIPEID1', 'PIPEID9', 'PIPEID21'];539.6818908;CCS_CALCINED_CLAY_CEMENT;24;1;LL;1;1002320;34940104.13;2389610.086;29530371.35;35.31507823;383387.4;240255.1506;856991.6185;621727.9476;0.725477279;7.189678158;42.50475639;0;68.52413115;42.50475639;68.52413115;0.18076014;0.18076014;0.03012669;0.165696795
21;CID30;8.055751;51.765425;LINESTRING (8.055751007767336 51.76542500510752, 8.073849007761982 51.75923400510686, 8.336864007691252 51.60206300512377, 8.503183007634776 51.62267000508754, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID14', 'PIPEID15', 'PIPEID20', 'PIPEID1', 'PIPEID9', 'PIPEID21'];541.1520954;CCS_CALCINED_CLAY_CEMENT;22;1;LL;1;1002320;34940104.13;2389610.086;29516227.62;35.30096723;383387.4;240227.1814;856991.6185;621727.9476;0.725477279;7.225943513;42.52691075;0;68.55984735;42.52691075;68.55984735;0.21088683;0.21088683;0.03012669;0.195823485
4;CID5;8.258075;50.032201;LINESTRING (8.258075007885553 50.03220100577385, 8.336089007692191 51.59516100512659, 8.335833007691845 51.59952100512495, 8.336864007691252 51.60206300512377, 8.503183007634776 51.62267000508754, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID4', 'PIPEID13', 'PIPEID5', 'PIPEID20', 'PIPEID1', 'PIPEID9', 'PIPEID21'];694.0695945;CCS_CALCINED_CLAY_CEMENT;5;1;LL;1;1790910;62429744.87;4269670.962;48940121.33;33.18001619;685023.0749;421216.2258;1531242.377;1110881.553;0.725477279;9.427773575;42.60778977;0;68.69023663;42.60778977;68.69023663;0.264716137;0.264716137;0.053829307;0.237801484
10;CID17;8.03084;51.857225;LINESTRING (8.03084000776645 51.85722500507583, 8.073849007761982 51.75923400510686, 8.336864007691252 51.60206300512377, 8.503183007634776 51.62267000508754, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID7', 'PIPEID15', 'PIPEID20', 'PIPEID1', 'PIPEID9', 'PIPEID21'];551.3237072;CCS_CALCINED_CLAY_CEMENT;11;1;LL;1;1002320;34940104.13;2389610.086;29615323.21;35.39983346;383387.4;240423.1429;856991.6185;621727.9476;0.725477279;7.416538903;42.81637236;0;69.02650349;42.81637236;69.02650349;0.294842827;0.294842827;0.03012669;0.279779482
25;CID40;11.753223;51.813271;LINESTRING (11.75322300659939 51.81327100450306, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID16', 'PIPEID9', 'PIPEID21'];697.7648456;CCS_CALCINED_CLAY_CEMENT;26;1;LL;1;1665620;58062231.86;3970969.701;46200431.89;33.59073716;637099.65;392300.5061;1424118.425;1033165.56;0.725477279;9.891952233;43.48268939;0;70.10070787;43.48268939;70.10070787;0.344906297;0.344906297;0.05006347;0.319874562
