From grid;To grid;Distribution type;Distribution mode;Minor time;Major Time;Scenario;rate
1;14;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;41.9957491365
2;14;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;236.84958902879995
3;5;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.88284246495
4;11;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;22.6873587312
5;18;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;60.98233304294999
6;31;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;82.86517550789999
7;26;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;37.007748289575
11;24;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;44.57020119615
13;16;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.88284246495
14;32;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;526.9581549445498
15;28;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;67.418463184425
16;14;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;152.858090751975
17;2;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.88284246495
18;6;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;60.98233304294999
22;24;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.88284246495
24;31;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;88.33588612605
26;14;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;73.371883562325
27;15;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;36.84684503249999
28;16;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;88.014079623375
29;16;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.0783261987
31;2;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;193.08390409889995
32;55;28INCH_CO2_OFFSHORE;MODE_1;1;1;LL;526.9581549445498
