Resource;grid;Minor time;Major Time;Scenario;rate
CLAY;1;1;1;LL;38.28043672387162
CLAY;2;1;1;LL;19.94689423434782
CLAY;3;1;1;LL;19.94689423434782
CLAY;4;1;1;LL;20.68023593337092
CLAY;5;1;1;LL;35.64040660738848
CLAY;6;1;1;LL;19.94689423434782
CLAY;7;1;1;LL;33.73371819341504
CLAY;11;1;1;LL;19.94689423434782
CLAY;13;1;1;LL;19.94689423434782
CLAY;14;1;1;LL;19.94689423434782
CLAY;15;1;1;LL;27.866984594257065
CLAY;16;1;1;LL;19.94689423434782
CLAY;17;1;1;LL;19.94689423434782
CLAY;22;1;1;LL;19.94689423434782
CLAY;24;1;1;LL;19.94689423434782
CLAY;26;1;1;LL;33.14704483070995
CLAY;27;1;1;LL;33.58704985012381
CLAY;28;1;1;LL;18.77354751591087
CLAY;29;1;1;LL;19.213552535324723
CLAY;31;1;1;LL;19.94689423434782
