index;OID;Longitude;Latitude;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
30;CID46;8.336864;51.602063;LINESTRING (8.336864007691252 51.60206300512377, 8.503183007634776 51.62267000508754, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID30', 'PIPEID1', 'PIPEID13', 'PIPEID31'];513.6682932531637;CCS_CALCINED_CLAY_CEMENT;31;1;LL;1.0;1002319.9999632002;34940104.127572216;2389610.0857532434;29504342.506121054;35.28910962968106;383387.399985924;237386.85782086046;856991.6185285359;621727.9475781923;0.7254772790493635;5.840970436017146;41.1300800656982;31.799889633501422;22181.050714455334;66.30794386921504;72.92996969919963;117.57420188518157;0.02085497990923164;0.02159901171416741;0.02159901171416741;0.010799505857083705
5;CID9;8.335833;51.599521;LINESTRING (8.335833007691845 51.59952100512495, 8.336864007691252 51.60206300512377, 8.503183007634776 51.62267000508754, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID5', 'PIPEID30', 'PIPEID1', 'PIPEID13', 'PIPEID31'];513.9691518381026;CCS_CALCINED_CLAY_CEMENT;6;1;LL;1.0;1002319.9999632002;34940104.127572216;2389610.0857532434;29511010.38584074;35.29576207572617;383387.399985924;237400.0435530062;856991.6185285359;621727.9475781923;0.7254772790493635;5.844291909496519;41.140053985222686;31.80165596897096;22182.28276831087;66.3240233442593;72.94170995419364;117.59312896161589;0.04170995981846328;0.043198064755829435;0.021599053041662025;0.03239853823499842
17;CID26;8.336089;51.595161;LINESTRING (8.336089007692191 51.59516100512659, 8.335833007691845 51.59952100512495, 8.336864007691252 51.60206300512377, 8.503183007634776 51.62267000508754, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID17', 'PIPEID5', 'PIPEID30', 'PIPEID1', 'PIPEID13', 'PIPEID31'];514.4698035488891;CCS_CALCINED_CLAY_CEMENT;18;1;LL;1.0;891770.0000832002;31086416.1763669;2126050.1501009897;26262580.562435463;35.3030072449514;341102.025031824;211228.99192348335;762470.4842311369;553155.0122554557;0.7254772790493634;5.8513334332727975;41.1543406782242;31.80357968233872;19736.901297854154;66.34705566600798;72.95792036056292;117.6192626018596;0.06026475812247143;0.06241490934815482;0.019216844592325387;0.05280648705199213
4;CID5;8.258075;50.032201;LINESTRING (8.258075007885553 50.03220100577385, 8.336089007692191 51.59516100512659, 8.335833007691845 51.59952100512495, 8.336864007691252 51.60206300512377, 8.503183007634776 51.62267000508754, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID4', 'PIPEID17', 'PIPEID5', 'PIPEID30', 'PIPEID1', 'PIPEID13', 'PIPEID31'];694.069594528267;CCS_CALCINED_CLAY_CEMENT;5;1;LL;1.0;1790909.9998080009;62429744.87059949;4269670.961743417;48940121.326103464;33.18001619071044;685023.0749265603;421216.2258045709;1531242.3771158394;1110881.5533150784;0.7254772790493634;8.40964400089823;41.58966019160867;31.579603144578503;39357.774697760186;67.04885692223127;73.16926333618717;117.95997961827338;0.09752770016354531;0.10099805197501727;0.038583142626862445;0.08170648066158605
25;CID40;11.753223;51.813271;LINESTRING (11.75322300659939 51.81327100450306, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID25', 'PIPEID13', 'PIPEID31'];697.7648455652462;CCS_CALCINED_CLAY_CEMENT;26;1;LL;1.0;1665619.9999439998;58062231.85923344;3970969.701337527;46200431.89376352;33.59073715971809;637099.6499785798;392300.5061166963;1424118.4249121195;1033165.5599493097;0.7254772790493634;7.962576006690767;41.553313166408856;31.62410755656965;36655.93580604813;66.99025999018268;73.17742072297851;117.97313056630499;0.13218376971869922;0.13688369277233103;0.03588564079731377;0.11894087237367415
13;CID20;8.746013;51.698479;LINESTRING (8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID13', 'PIPEID31'];482.1463875982211;CCS_CALCINED_CLAY_CEMENT;14;1;LL;1.0;1002319.9999632002;34940104.127572216;2389610.0857532434;30094289.16576171;35.87769078107215;383387.399985924;237884.49405905898;856991.6185285359;621727.9475781923;0.7254772790493635;5.571562846721132;41.449253627793276;31.86655203258118;22227.54905365641;66.82250018921567;73.31580566037445;118.1962281300962;0.15303874962793085;0.15848426420716666;0.021600571434835625;0.14768397848974885
16;CID23;8.5105;51.618256;LINESTRING (8.510500007632825 51.61825600508804, 8.503183007634776 51.62267000508754, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID16', 'PIPEID1', 'PIPEID13', 'PIPEID31'];502.27856460489545;CCS_CALCINED_CLAY_CEMENT;17;1;LL;1.0;1002319.9999632002;34940104.127572216;2389610.0857532434;29749754.37940396;35.5339534652744;383387.399985924;240688.98052409932;856991.6185285359;621727.9475781923;0.7254772790493635;5.743222637981935;41.27717610325634;32.242235677773664;22489.595811762985;66.5450850511969;73.51941178103;118.52447215972833;0.17389372953716248;0.18009362562787454;0.02160936142070788;0.1692889449175206
1;CID2;8.503183;51.62267;LINESTRING (8.503183007634776 51.62267000508754, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID1', 'PIPEID13', 'PIPEID31'];501.5504358098575;CCS_CALCINED_CLAY_CEMENT;2;1;LL;1.0;1002319.9999632002;34940104.127572216;2389610.0857532434;29781152.124977082;35.565278536683;383387.399985924;240751.06956597016;856991.6185285359;621727.9475781923;0.7254772790493635;5.7252133120627775;41.29049184874578;32.25055300711981;22495.397313156922;66.56655205790052;73.5410448558656;118.55934796618496;0.1947487094463941;0.20170318165169698;0.021609556023822446;0.19089840363978577
23;CID37;8.073849;51.759234;LINESTRING (8.073849007761982 51.75923400510686, 8.336864007691252 51.60206300512377, 8.503183007634776 51.62267000508754, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID23', 'PIPEID30', 'PIPEID1', 'PIPEID13', 'PIPEID31'];539.6818907516631;CCS_CALCINED_CLAY_CEMENT;24;1;LL;1.0;1002319.9999632002;34940104.127572216;2389610.0857532434;29530371.351477753;35.315078227890865;383387.399985924;240255.15058637527;856991.6185285359;621727.9475781923;0.7254772790493635;6.174577054272549;41.48965528216341;32.184120648719514;22449.059431870515;66.88763380008925;73.67377593088293;118.77333064401809;0.21560368935562574;0.22331118333718378;0.021608001685486794;0.2125071824944404
21;CID30;8.055751;51.765425;LINESTRING (8.055751007767336 51.76542500510752, 8.073849007761982 51.75923400510686, 8.336864007691252 51.60206300512377, 8.503183007634776 51.62267000508754, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID21', 'PIPEID23', 'PIPEID30', 'PIPEID1', 'PIPEID13', 'PIPEID31'];541.1520953582632;CCS_CALCINED_CLAY_CEMENT;22;1;LL;1.0;1002319.9999632002;34940104.127572216;2389610.0857532434;29516227.61835328;35.3009672322757;383387.399985924;240227.18135412163;856991.6185285359;621727.9475781923;0.7254772790493635;6.210842409205647;41.51180964148135;32.18037394383886;22446.446031260402;66.92334999640508;73.69218358532021;118.80300658229106;0.23645866926485737;0.24491909735986334;0.02160791402267956;0.23411514034852354
