From grid,To grid,Distribution type,Major time,Scenario,No. of units
1,14,9INCH_CO2_ONSHORE,1,LL,1.0
2,14,16INCH_CO2_ONSHORE,1,LL,1.0
3,5,6INCH_CO2_ONSHORE,1,LL,1.0
4,11,6INCH_CO2_ONSHORE,1,LL,1.0
5,18,9INCH_CO2_ONSHORE,1,LL,1.0
6,31,12INCH_CO2_ONSHORE,1,LL,1.0
7,26,9INCH_CO2_ONSHORE,1,LL,1.0
8,13,6INCH_CO2_ONSHORE,1,LL,1.0
9,26,9INCH_CO2_ONSHORE,1,LL,1.0
10,30,6INCH_CO2_ONSHORE,1,LL,1.0
11,24,9INCH_CO2_ONSHORE,1,LL,1.0
12,21,6INCH_CO2_ONSHORE,1,LL,1.0
13,16,9INCH_CO2_ONSHORE,1,LL,1.0
14,32,28INCH_CO2_ONSHORE,1,LL,1.0
15,28,12INCH_CO2_ONSHORE,1,LL,1.0
16,14,16INCH_CO2_ONSHORE,1,LL,1.0
17,2,6INCH_CO2_ONSHORE,1,LL,1.0
18,6,12INCH_CO2_ONSHORE,1,LL,1.0
19,15,9INCH_CO2_ONSHORE,1,LL,1.0
20,32,6INCH_CO2_ONSHORE,1,LL,1.0
21,14,9INCH_CO2_ONSHORE,1,LL,1.0
22,24,6INCH_CO2_ONSHORE,1,LL,1.0
23,30,6INCH_CO2_ONSHORE,1,LL,1.0
24,31,12INCH_CO2_ONSHORE,1,LL,1.0
25,30,6INCH_CO2_ONSHORE,1,LL,1.0
26,14,12INCH_CO2_ONSHORE,1,LL,1.0
27,15,9INCH_CO2_ONSHORE,1,LL,1.0
28,16,12INCH_CO2_ONSHORE,1,LL,1.0
29,16,6INCH_CO2_ONSHORE,1,LL,1.0
30,16,12INCH_CO2_ONSHORE,1,LL,1.0
31,2,16INCH_CO2_ONSHORE,1,LL,1.0
32,55,28INCH_CO2_OFFSHORE,1,LL,1.0
