index;OID;Longitude;Latitude;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
30;CID46;8.336864;51.602063;LINESTRING (8.336864007691252 51.60206300512377, 8.503183007634776 51.62267000508754, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID30', 'PIPEID1', 'PIPEID13', 'PIPEID31'];513.6682932531637;CCS_CALCINED_CLAY_CEMENT;31;1;LL;1.0;1002319.9999632;34940104.12757221;2389610.085753243;29504342.506121047;35.28910962968106;383387.39998592396;237386.85782086063;856991.6185285358;621727.9475781922;0.7254772790493634;7.911621375397479;43.20073100507854;31.799889633501454;223143.646351609;69.64614807503847;75.00062063857999;120.91240609100502;0.020854979909231637;0.028730312481648253;0.028730312481648253;0.014365156240824127
5;CID9;8.335833;51.599521;LINESTRING (8.335833007691845 51.59952100512495, 8.336864007691252 51.60206300512377, 8.503183007634776 51.62267000508754, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID5', 'PIPEID30', 'PIPEID1', 'PIPEID13', 'PIPEID31'];513.9691518381026;CCS_CALCINED_CLAY_CEMENT;6;1;LL;1.0;1002319.9999632;34940104.12757221;2389610.085753243;29511010.38584073;35.29576207572616;383387.39998592396;237400.04355300628;856991.6185285358;621727.9475781922;0.7254772790493634;7.914942848876854;43.210704924603014;31.80165596897098;223156.0409398259;69.66222755008273;75.012360893574;120.93133316743933;0.041709959818463274;0.057461046447928155;0.0287307339662799;0.043095679464788206
17;CID26;8.336089;51.595161;LINESTRING (8.336089007692191 51.59516100512659, 8.335833007691845 51.59952100512495, 8.336864007691252 51.60206300512377, 8.503183007634776 51.62267000508754, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID17', 'PIPEID5', 'PIPEID30', 'PIPEID1', 'PIPEID13', 'PIPEID31'];514.4698035488891;CCS_CALCINED_CLAY_CEMENT;18;1;LL;1.0;891770.0000832;31086416.176366895;2126050.1501009897;26262580.562435456;35.3030072449514;341102.02503182396;211228.99192348347;762470.4842311369;553155.0122554558;0.7254772790493635;7.92198437265313;43.22499161760453;31.80357968233875;198555.25240807445;69.68525987183138;75.02857129994328;120.95746680768302;0.060264758122471423;0.08302335787443846;0.025562311426510304;0.0702422021611833
4;CID5;8.258075;50.032201;LINESTRING (8.258075007885553 50.03220100577385, 8.336089007692191 51.59516100512659, 8.335833007691845 51.59952100512495, 8.336864007691252 51.60206300512377, 8.503183007634776 51.62267000508754, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID4', 'PIPEID17', 'PIPEID5', 'PIPEID30', 'PIPEID1', 'PIPEID13', 'PIPEID31'];694.069594528267;CCS_CALCINED_CLAY_CEMENT;5;1;LL;1.0;1790909.999808;62429744.87059947;4269670.961743414;48940121.32610344;33.18001619071045;685023.0749265599;421216.22580457095;1531242.3771158387;1110881.553315078;0.7254772790493634;10.480294940278561;43.66031113098901;31.579603144578524;395943.2522562967;70.3870611280547;75.23991427556753;121.29818382409687;0.09752770016354528;0.13426374497018626;0.0512403870957478;0.10864355142231236
25;CID40;11.753223;51.813271;LINESTRING (11.75322300659939 51.81327100450306, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID25', 'PIPEID13', 'PIPEID31'];697.7648455652462;CCS_CALCINED_CLAY_CEMENT;26;1;LL;1.0;1665619.9999439998;58062231.85923344;3970969.701337527;46200431.89376352;33.59073715971809;637099.6499785798;392300.50611669646;1424118.4249121195;1033165.5599493097;0.7254772790493634;10.033226946071075;43.62396410578916;31.624107556569665;368762.4757496947;70.32846419600608;75.24807166235883;121.31133477212839;0.1321837697186992;0.1819370610478035;0.04767331607761724;0.15810040300899486
13;CID20;8.746013;51.698479;LINESTRING (8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID13', 'PIPEID31'];482.1463875982211;CCS_CALCINED_CLAY_CEMENT;14;1;LL;1.0;1002319.9999632;34940104.12757221;2389610.085753243;30094289.1657617;35.87769078107215;383387.39998592396;237884.49405905904;856991.6185285358;621727.9475781922;0.7254772790493634;7.642213786101439;43.51990456717358;31.866552032581197;223611.4244155155;70.16070439503908;75.38645659975478;121.53443233591963;0.15303874962793082;0.21068328057384128;0.028746219526037786;0.1963101708108224
16;CID23;8.5105;51.618256;LINESTRING (8.510500007632825 51.61825600508804, 8.503183007634776 51.62267000508754, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID16', 'PIPEID1', 'PIPEID13', 'PIPEID31'];502.27856460489545;CCS_CALCINED_CLAY_CEMENT;17;1;LL;1.0;1002319.9999632;34940104.12757221;2389610.085753243;29749754.379403953;35.5339534652744;383387.39998592396;240688.98052409952;856991.6185285358;621727.9475781922;0.7254772790493634;7.813873577362252;43.34782704263665;32.2422356777737;226247.64169265353;69.88328925702031;75.59006272041034;121.86267636555178;0.17389372953716245;0.23951914608476702;0.028835865510925734;0.22510121332930416
1;CID2;8.503183;51.62267;LINESTRING (8.503183007634776 51.62267000508754, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID1', 'PIPEID13', 'PIPEID31'];501.5504358098575;CCS_CALCINED_CLAY_CEMENT;2;1;LL;1.0;1002319.9999632;34940104.12757221;2389610.085753243;29781152.124977075;35.565278536683;383387.39998592396;240751.06956597042;856991.6185285358;621727.9475781922;0.7254772790493634;7.795864251443095;43.361142788126095;32.250553007119855;226306.0053920122;69.90475626372393;75.61169579524595;121.89755217200842;0.19474870944639408;0.26835699628464693;0.028837850199879916;0.25393807118470696
23;CID37;8.073849;51.759234;LINESTRING (8.073849007761982 51.75923400510686, 8.336864007691252 51.60206300512377, 8.503183007634776 51.62267000508754, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID23', 'PIPEID30', 'PIPEID1', 'PIPEID13', 'PIPEID31'];539.6818907516631;CCS_CALCINED_CLAY_CEMENT;24;1;LL;1.0;1002319.9999632;34940104.12757221;2389610.085753243;29530371.351477746;35.315078227890865;383387.39998592396;240255.15058637556;856991.6185285358;621727.9475781922;0.7254772790493634;8.245227993652993;43.560306221543854;32.184120648719556;225839.841551193;70.22583800591286;75.74442687026341;122.11153484984179;0.2156036893556257;0.29717899433266065;0.02882199804801372;0.2827679953086538
21;CID30;8.055751;51.765425;LINESTRING (8.055751007767336 51.76542500510752, 8.073849007761982 51.75923400510686, 8.336864007691252 51.60206300512377, 8.503183007634776 51.62267000508754, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID21', 'PIPEID23', 'PIPEID30', 'PIPEID1', 'PIPEID13', 'PIPEID31'];541.1520953582632;CCS_CALCINED_CLAY_CEMENT;22;1;LL;1.0;1002319.9999632;34940104.12757221;2389610.085753243;29516227.618353274;35.3009672322757;383387.39998592396;240227.18135412183;856991.6185285358;621727.9475781922;0.7254772790493634;8.281493348586139;43.58246058086184;32.180373943838894;225813.5504728745;70.26155420222878;75.76283452470074;122.14121078811479;0.23645866926485734;0.3260000983384306;0.028821104005769926;0.3115895463355456
