From grid;To grid;Distribution type;Distribution mode;Minor time;Major Time;Scenario;rate
1;14;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;41.99574913649999
2;14;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;256.3188826949845
3;5;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.882842464949988
4;11;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;22.6873587312
5;18;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;60.982333042949975
6;31;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;102.33446917407544
7;26;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;37.00774828957776
8;13;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.882842464949945
9;26;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.80168236234721
10;30;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.88284246494999
11;24;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;44.57020119614988
12;21;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;14.481292807799976
13;16;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;43.76568492987101
14;32;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;740.4767722329747
15;28;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;93.16298373120443
16;14;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;281.7415967390999
17;2;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.88284246495
18;6;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;80.45162670914996
19;15;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;25.74452054677948
20;32;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;20.756519691199998
21;14;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;36.364135272750026
22;24;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.882842464920667
23;30;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.8828424649699
24;31;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;88.33588612602055
25;30;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;15.607615580549998
26;14;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;102.17356592467496
27;15;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;36.84684503249998
28;16;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;113.75860017015444
29;16;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.07832619869999
30;16;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;81.2561429754245
31;2;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;212.5531977650705
32;55;28INCH_CO2_OFFSHORE;MODE_1;1;1;LL;771.4263275651844
33;54;24INCH_CO2_OFFSHORE;MODE_1;1;1;LL;570.8000000000001
