From grid;To grid;Distribution type;Distribution mode;Minor time;Major Time;Scenario;rate
1;25;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;79.79666095844999
2;16;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;81.81395547795
3;14;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;187.75248287535
4;21;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;23.03296232985
5;2;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;17.7932363013
6;3;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;31.656678083099997
7;25;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;69.2080479378
13;15;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;31.220034248024994
14;26;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;288.180565061175
15;14;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;59.60188356232499
16;3;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;110.19580479225
17;7;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.3818493143
18;2;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;45.900000000000006
20;38;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;45.900000000000006
21;1;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;51.41481164414999
25;38;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;177.38655821055
26;36;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;339.26789382615004
27;26;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.177226026
29;37;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;25.761986300025
30;39;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.3818493143
31;35;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;89.948630121075
32;31;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;57.200342448375
33;32;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;43.66438354575
34;37;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.3818493143
35;45;16INCH_CO2_OFFSHORE;MODE_1;1;1;LL;89.948630121075
36;43;28INCH_CO2_OFFSHORE;MODE_1;1;1;LL;340.4268263288632
37;63;9INCH_CO2_OFFSHORE;MODE_1;1;1;LL;54.143835614325
38;71;16INCH_CO2_OFFSHORE;MODE_1;1;1;LL;223.28655821055
39;68;28INCH_CO2_OFFSHORE;MODE_1;1;1;LL;28.3818493143
