From grid;To grid;Distribution type;Major time;Scenario;No. of units
1;25;12INCH_CO2_ONSHORE;1;LL;1.0
2;16;12INCH_CO2_ONSHORE;1;LL;1.0
3;14;24INCH_CO2_ONSHORE;1;LL;1.0
4;21;6INCH_CO2_ONSHORE;1;LL;1.0
5;2;6INCH_CO2_ONSHORE;1;LL;1.0
6;3;9INCH_CO2_ONSHORE;1;LL;1.0
7;25;12INCH_CO2_ONSHORE;1;LL;1.0
13;15;9INCH_CO2_ONSHORE;1;LL;1.0
14;26;24INCH_CO2_ONSHORE;1;LL;1.0
15;14;9INCH_CO2_ONSHORE;1;LL;1.0
16;3;12INCH_CO2_ONSHORE;1;LL;1.0
17;7;9INCH_CO2_ONSHORE;1;LL;1.0
18;2;9INCH_CO2_ONSHORE;1;LL;1.0
20;38;9INCH_CO2_ONSHORE;1;LL;1.0
21;1;12INCH_CO2_ONSHORE;1;LL;1.0
25;38;16INCH_CO2_ONSHORE;1;LL;1.0
26;36;28INCH_CO2_ONSHORE;1;LL;1.0
27;26;6INCH_CO2_ONSHORE;1;LL;1.0
29;37;9INCH_CO2_ONSHORE;1;LL;1.0
30;39;9INCH_CO2_ONSHORE;1;LL;1.0
31;35;12INCH_CO2_ONSHORE;1;LL;1.0
32;31;9INCH_CO2_ONSHORE;1;LL;1.0
33;32;9INCH_CO2_ONSHORE;1;LL;1.0
34;37;9INCH_CO2_ONSHORE;1;LL;1.0
35;45;16INCH_CO2_OFFSHORE;1;LL;1.0
36;43;28INCH_CO2_OFFSHORE;1;LL;1.0
37;63;9INCH_CO2_OFFSHORE;1;LL;1.0
38;71;16INCH_CO2_OFFSHORE;1;LL;1.0
39;68;28INCH_CO2_OFFSHORE;1;LL;1.0
