index;OID;Longitude;Latitude;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
25;CID100;-7.450123;42.717483;LINESTRING (-7.450122984627811 42.71748301407421, -8.733260829923628 42.22657923489934, -9.314145233515781 41.61267249554911);['PIPEID25', 'PIPEID35'];202.9174883927646;CCS_CALCINED_CLAY_CEMENT;26;1;LL;1.0;1369999.9999656002;47757146.07643213;3266188.260754985;39464883.58028997;34.65954312639175;524024.999986842;326611.73754190165;1171360.959970588;849795.7620241126;0.7254772790493634;4.537331279775941;39.196874406167694;32.01006513688979;41983.80375110687;63.191322356321265;71.20693954305749;114.79641524591553;0.020673769486013627;0.021695148409849433;0.021695148409849433;0.010847574204924717
30;CID105;-8.418212;40.289074;LINESTRING (-8.418211983652565 40.28907401608227, -8.663498236721621 41.13424080560878, -9.035248954582507 41.30790523564256);['PIPEID30', 'PIPEID34'];133.19372812248446;CCS_CALCINED_CLAY_CEMENT;31;1;LL;1.0;1500000.0000672005;52288846.07274178;3576118.5339233475;42841299.45467995;34.41392506233371;573750.0000257042;361674.2780886105;1282512.000057457;930433.316149841;0.7254772790493634;5.1400357196362565;39.55396078196997;32.374397977238175;46490.86412930102;63.76699989755966;71.92835875920815;115.9594527312373;0.04330928352337741;0.04546168880809483;0.023766540398245394;0.03357841860897213
14;CID89;-5.775146;43.33011;LINESTRING (-5.775145985520356 43.33011001305982, -5.61963198548489 42.79865401334181, -7.450122984627811 42.71748301407421, -8.733260829923628 42.22657923489934, -9.314145233515781 41.61267249554911);['PIPEID14', 'PIPEID13', 'PIPEID25', 'PIPEID35'];414.65099859018005;CCS_CALCINED_CLAY_CEMENT;15;1;LL;1.0;1299999.9999648004;45316999.926452294;3099302.729177465;36404456.621861584;33.856486931914276;497249.9999865361;310483.6366012757;1111510.3999699042;806375.5406052358;0.7254772790493635;6.18357523369505;40.04006216560933;32.06791333370483;39910.6418070037;64.55066925122053;72.10797549931416;116.24902223126978;0.06292672902101598;0.06605007749659088;0.02058838868849605;0.05575588315234285
12;CID87;-5.722483;43.560582;LINESTRING (-5.722482985589674 43.56058201289502, -5.775145985520356 43.33011001305982, -5.61963198548489 42.79865401334181, -7.450122984627811 42.71748301407421, -8.733260829923628 42.22657923489934, -9.314145233515781 41.61267249554911);['PIPEID12', 'PIPEID14', 'PIPEID13', 'PIPEID25', 'PIPEID35'];440.77833834448006;CCS_CALCINED_CLAY_CEMENT;13;1;LL;1.0;1430000.0000664003;49848699.92276192;3409233.002345826;39354988.571584806;33.37402978829566;546975.000025398;340167.6959142931;1222661.440056773;887013.0947309639;0.7254772790493634;6.910613052587606;40.284642840883265;31.93981290875981;43726.333582545165;64.94497049404949;72.22445574964307;116.43680610838221;0.0845059190700047;0.08869303860840637;0.02264296111181549;0.07737155805249862
24;CID99;-6.672312;37.359766;LINESTRING (-6.672311983822705 37.35976601733982, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID24', 'PIPEID37'];88.41581921011414;CCS_CALCINED_CLAY_CEMENT;25;1;LL;1.0;1299999.9999648004;45316999.926452294;3099302.729177465;37591220.660211235;34.76938234605411;497249.9999865361;323098.5719932713;1111510.3999699042;806375.5406052358;0.7254772790493635;4.219154358940155;38.98853670499426;33.37083112766351;41532.209285920435;62.85545029934537;72.35936783265777;116.65430490278105;0.10412336456764326;0.10932087667257981;0.02062783806417344;0.09900695764049308
33;CID108;-8.935936;38.501466;LINESTRING (-8.935935982999197 38.50146601752661, -9.230709259891642 38.65399113754908, -8.951758439954242 38.34034366764466);['PIPEID33', 'PIPEID36'];73.45401733259877;CCS_CALCINED_CLAY_CEMENT;34;1;LL;1.0;1299999.9999648004;45316999.926452294;3099302.729177465;36618562.99311578;34.021184140575805;497249.9999865361;315990.9808288321;1111510.3999699042;806375.5406052358;0.7254772790493635;5.799354637492445;39.82053877806825;32.63673248089538;40618.57490512102;64.19676416677132;72.45727125896363;116.81214011452202;0.12374081006528183;0.12992648790599315;0.02060561123341334;0.11962368228928648
29;CID104;-8.100041;37.135933;;[];;CCS_CALCINED_CLAY_CEMENT;30;1;LL;1.0;1299999.9999648004;45316999.926452294;3099302.729177465;39190029.472142175;35.99923527834198;497249.9999865361;321076.05579110683;1111510.3999699042;806375.5406052358;0.7254772790493635;3.359039577796944;39.35827485613892;33.161938076174565;41272.22804962389;63.45152442643791;72.52021293231348;116.91361166373491;0.1433582555629204;0.1505480011655605;0.020621513259567348;0.14023724453577682
13;CID88;-5.619632;42.798654;LINESTRING (-5.61963198548489 42.79865401334181, -7.450122984627811 42.71748301407421, -8.733260829923628 42.22657923489934, -9.314145233515781 41.61267249554911);['PIPEID13', 'PIPEID25', 'PIPEID35'];353.8622970481067;CCS_CALCINED_CLAY_CEMENT;14;1;LL;1.0;1869999.9996960005;65186761.42383383;4458227.771366616;54640763.959825434;35.07271863680782;715274.9998837201;451116.3031386792;1598864.959740078;1159940.200559602;0.7254772790493634;5.29759684882037;40.37031548562819;32.3908431530458;57988.05175355754;65.08308782593409;72.76115863867399;117.30205278389228;0.17157719639031557;0.1801776710980769;0.029629669932516395;0.16536283613181868
28;CID103;-9.009904;38.922169;LINESTRING (-9.009903983060321 38.92216901726825, -9.230709259891642 38.65399113754908, -8.951758439954242 38.34034366764466);['PIPEID28', 'PIPEID36'];78.11753421090471;CCS_CALCINED_CLAY_CEMENT;29;1;LL;1.0;1179999.9999384002;41133892.23990006;2813213.2464134744;33356534.330858193;34.12130819489965;451349.999976438;286672.2981310059;1008909.4399473318;731940.8753002074;0.7254772790493634;6.052841916415401;40.17415011131505;32.61963203614863;36849.849904940675;64.76683941094772;72.79378214746367;117.3546468412388;0.18938380076464778;0.1988807559405093;0.01870308484243241;0.18952921351929308
6;CID81;-5.865094;37.359736;LINESTRING (-5.865093984204829 37.35973601700449, -6.672311983822705 37.35976601733982, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID6', 'PIPEID24', 'PIPEID37'];160.4286217050738;CCS_CALCINED_CLAY_CEMENT;7;1;LL;1.0;1869999.9996960005;65186761.42383383;4458227.771366616;53578566.62585498;34.5046986720254;715274.9998837201;463786.0885060725;1598864.959740078;1159940.200559602;0.7254772790493634;5.119644271492911;39.62434294351831;33.300553194032354;59616.669838249145;63.88046664525104;72.92489613755066;117.56602253224816;0.21760274159204296;0.22855004677532753;0.02966929083481823;0.21371540135791842
