From grid,To grid,Distribution type,Distribution mode,Minor time,Major Time,Scenario,rate
1,25,12INCH_CO2_ONSHORE,MODE_1,1,1,LL,100.231592463675
2,16,12INCH_CO2_ONSHORE,MODE_1,1,1,LL,81.81395547795
3,14,24INCH_CO2_ONSHORE,MODE_1,1,1,LL,460.48895548560023
4,21,6INCH_CO2_ONSHORE,MODE_1,1,1,LL,23.032962329849997
5,2,6INCH_CO2_ONSHORE,MODE_1,1,1,LL,17.7932363013
6,3,9INCH_CO2_ONSHORE,MODE_1,1,1,LL,31.656678083099994
7,25,12INCH_CO2_ONSHORE,MODE_1,1,1,LL,90.60359588325
8,23,12INCH_CO2_ONSHORE,MODE_1,1,1,LL,92.13184931174999
9,3,16INCH_CO2_ONSHORE,MODE_1,1,1,LL,272.73647261025
10,8,12INCH_CO2_ONSHORE,MODE_1,1,1,LL,63.74999999744999
11,9,16INCH_CO2_ONSHORE,MODE_1,1,1,LL,236.05839041805
12,21,6INCH_CO2_ONSHORE,MODE_1,1,1,LL,20.434931505225002
13,15,9INCH_CO2_ONSHORE,MODE_1,1,1,LL,31.220034248024994
14,26,24INCH_CO2_ONSHORE,MODE_1,1,1,LL,560.9170376714252
15,14,9INCH_CO2_ONSHORE,MODE_1,1,1,LL,59.60188356232499
16,3,12INCH_CO2_ONSHORE,MODE_1,1,1,LL,110.19580479225
17,7,9INCH_CO2_ONSHORE,MODE_1,1,1,LL,28.3818493143
18,2,9INCH_CO2_ONSHORE,MODE_1,1,1,LL,45.900000000000006
19,10,9INCH_CO2_ONSHORE,MODE_1,1,1,LL,30.346746574049995
20,38,9INCH_CO2_ONSHORE,MODE_1,1,1,LL,45.900000000000006
21,1,12INCH_CO2_ONSHORE,MODE_1,1,1,LL,71.849743149375
22,28,9INCH_CO2_ONSHORE,MODE_1,1,1,LL,50.43236302575
23,11,12INCH_CO2_ONSHORE,MODE_1,1,1,LL,111.34417807799998
24,7,6INCH_CO2_ONSHORE,MODE_1,1,1,LL,21.395547945449998
25,38,16INCH_CO2_ONSHORE,MODE_1,1,1,LL,219.217037661225
26,36,28INCH_CO2_ONSHORE,MODE_1,1,1,LL,612.0043664364002
27,26,6INCH_CO2_ONSHORE,MODE_1,1,1,LL,21.177226026
28,11,12INCH_CO2_ONSHORE,MODE_1,1,1,LL,78.81421234005
29,37,9INCH_CO2_ONSHORE,MODE_1,1,1,LL,25.761986300025
30,39,9INCH_CO2_ONSHORE,MODE_1,1,1,LL,28.3818493143
31,35,12INCH_CO2_ONSHORE,MODE_1,1,1,LL,89.948630121075
32,31,9INCH_CO2_ONSHORE,MODE_1,1,1,LL,57.200342448375
33,32,9INCH_CO2_ONSHORE,MODE_1,1,1,LL,43.66438354575
34,37,9INCH_CO2_ONSHORE,MODE_1,1,1,LL,28.3818493143
35,45,16INCH_CO2_OFFSHORE,MODE_1,1,1,LL,171.3
36,43,28INCH_CO2_OFFSHORE,MODE_1,1,1,LL,616.2202166388577
37,63,9INCH_CO2_OFFSHORE,MODE_1,1,1,LL,54.14383561432501
38,71,16INCH_CO2_OFFSHORE,MODE_1,1,1,LL,265.11703766022504
39,68,28INCH_CO2_OFFSHORE,MODE_1,1,1,LL,57.1
