index;OID;Longitude;Latitude;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
25;CID100;-7.450123;42.717483;LINESTRING (-7.450122984627811 42.71748301407421, -8.733260829923628 42.22657923489934, -9.314145233515781 41.61267249554911);['PIPEID25', 'PIPEID35'];202.9174883927646;CCS_CALCINED_CLAY_CEMENT;26;1;LL;1.0;1369999.9999655997;47757146.076432124;3266188.2607549843;39464883.58028996;34.65954312639175;524024.9999868418;326611.7375419019;1171360.9599705876;849795.7620241123;0.7254772790493634;6.60623406032715;41.26577718671891;32.01006513688982;307015.0332893879;66.52670826426319;73.27584232360873;118.13180115385751;0.020673769486013627;0.028207578779363876;0.028207578779363876;0.014103789389681938
30;CID105;-8.418212;40.289074;LINESTRING (-8.418211983652565 40.28907401608227, -8.663498236721621 41.13424080560878, -9.035248954582507 41.30790523564256);['PIPEID30', 'PIPEID34'];133.19372812248446;CCS_CALCINED_CLAY_CEMENT;31;1;LL;1.0;1500000.0000672003;52288846.07274177;3576118.533923346;42841299.45467994;34.4139250623337;573750.000025704;361674.27808861085;1282512.000057457;930433.3161498411;0.7254772790493635;6.993115239786907;41.40704030212061;32.3743979772382;339973.82140329434;66.75444588869486;73.78143827935881;118.94689872237251;0.043309283523377415;0.05918508137492427;0.030977502595560397;0.043696330077144074
14;CID89;-5.775146;43.33011;LINESTRING (-5.775145985520356 43.33011001305982, -5.61963198548489 42.79865401334181, -7.450122984627811 42.71748301407421, -8.733260829923628 42.22657923489934, -9.314145233515781 41.61267249554911);['PIPEID14', 'PIPEID13', 'PIPEID25', 'PIPEID35'];414.65099859018005;CCS_CALCINED_CLAY_CEMENT;15;1;LL;1.0;1299999.9999648002;45316999.92645228;3099302.7291774647;36404456.62186158;33.856486931914276;497249.999986536;310483.63660127594;1111510.399969904;806375.5406052356;0.7254772790493634;8.252478014247162;42.108964946161436;32.06791333370485;291854.6184051995;67.8860551591639;74.17687827986629;119.58440813921318;0.06292672902101598;0.08596423476254883;0.026779153387624557;0.07257465806873656
12;CID87;-5.722483;43.560582;LINESTRING (-5.722482985589674 43.56058201289502, -5.775145985520356 43.33011001305982, -5.61963198548489 42.79865401334181, -7.450122984627811 42.71748301407421, -8.733260829923628 42.22657923489934, -9.314145233515781 41.61267249554911);['PIPEID12', 'PIPEID14', 'PIPEID13', 'PIPEID25', 'PIPEID35'];440.77833834448006;CCS_CALCINED_CLAY_CEMENT;13;1;LL;1.0;1430000.0000664;49848699.92276191;3409233.0023458255;39354988.571584806;33.374029788295665;546975.000025398;340167.6959142931;1222661.4400567727;887013.0947309638;0.7254772790493634;8.97951583313972;42.35354562143539;31.939812908759805;319757.63415943563;68.28035640199288;74.29335853019519;119.77219201632559;0.08450591907000471;0.11539003243119983;0.029425797668651;0.10067713359687433
24;CID99;-6.672312;37.359766;LINESTRING (-6.672311983822705 37.35976601733982, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID24', 'PIPEID37'];88.41581921011414;CCS_CALCINED_CLAY_CEMENT;25;1;LL;1.0;1299999.9999648002;45316999.92645228;3099302.7291774647;37591220.66021123;34.76938234605411;497249.999986536;323098.57199327135;1111510.399969904;806375.5406052356;0.7254772790493634;6.256476222025995;41.0258585680801;33.370831127663514;303712.6576736752;66.13992296570628;74.39668969574362;119.93877756914196;0.10412336456764329;0.14245833126783763;0.027068298836637805;0.12892418184951873
33;CID108;-8.935936;38.501466;LINESTRING (-8.935935982999197 38.50146601752661, -9.230709259891642 38.65399113754908, -8.951758439954242 38.34034366764466);['PIPEID33', 'PIPEID36'];73.45401733259877;CCS_CALCINED_CLAY_CEMENT;34;1;LL;1.0;1299999.9999648002;45316999.92645228;3099302.7291774647;36618562.993115775;34.02118414057581;497249.999986536;315990.9808288323;1111510.399969904;806375.5406052356;0.7254772790493634;7.878855860583854;41.90004000115967;32.636732480895404;297031.5219791025;67.5492363758324;74.53677248205507;120.16461232358314;0.12374081006528187;0.16936371784414408;0.02690538657630645;0.15591102455599087
29;CID104;-8.100041;37.135933;;[];;CCS_CALCINED_CLAY_CEMENT;30;1;LL;1.0;1299999.9999648002;45316999.92645228;3099302.7291774647;39190029.47214217;35.99923527834198;497249.999986536;321076.0557911071;1111510.399969904;806375.5406052356;0.7254772790493634;5.438540800888662;41.43777607923064;33.16193807617459;301811.49244364083;66.80399663549947;74.59971415540522;120.2660838727965;0.14335825556292045;0.19638565882501496;0.02702194098087088;0.18287468833457954
13;CID88;-5.619632;42.798654;LINESTRING (-5.61963198548489 42.79865401334181, -7.450122984627811 42.71748301407421, -8.733260829923628 42.22657923489934, -9.314145233515781 41.61267249554911);['PIPEID13', 'PIPEID25', 'PIPEID35'];353.8622970481067;CCS_CALCINED_CLAY_CEMENT;14;1;LL;1.0;1869999.999696;65186761.42383382;4458227.771366616;54640763.95982541;35.07271863680782;715274.99988372;451116.3031386795;1598864.9597400778;1159940.2005596017;0.7254772790493634;7.3664996293715586;42.43921826617938;32.39084315304582;424049.3249503589;68.41847373387596;74.8300614192252;120.63743869183419;0.17157719639031563;0.23500952843923378;0.03862386961421882;0.21569759363212437
28;CID103;-9.009904;38.922169;LINESTRING (-9.009903983060321 38.92216901726825, -9.230709259891642 38.65399113754908, -8.951758439954242 38.34034366764466);['PIPEID28', 'PIPEID36'];78.11753421090471;CCS_CALCINED_CLAY_CEMENT;29;1;LL;1.0;1179999.9999384;41133892.23990006;2813213.246413474;33356534.33085819;34.12130819489965;451349.99997643795;286672.2981310059;1008909.4399473317;731940.8753002074;0.7254772790493635;8.132343139507093;42.25365133440674;32.61963203614862;269471.96024314564;68.11931162000921;74.87328337055536;120.70711905030028;0.18938380076464784;0.259427896217;0.024418367777766237;0.2472187123281169
6;CID81;-5.865094;37.359736;LINESTRING (-5.865093984204829 37.35973601700449, -6.672311983822705 37.35976601733982, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID6', 'PIPEID24', 'PIPEID37'];160.4286217050738;CCS_CALCINED_CLAY_CEMENT;7;1;LL;1.0;1869999.999696;65186761.42383382;4458227.771366616;53578566.62585496;34.5046986720254;715274.99988372;463786.08850607276;1598864.9597400778;1159940.2005596017;0.7254772790493634;7.156966134578755;41.66166480660415;33.300553194032375;435958.9231957086;67.16493931161193;74.96221800063653;120.85049519860907;0.21760274159204301;0.29834216849006095;0.038914272273060935;0.27888503235353046
