From grid,To grid,Distribution type,Distribution mode,Minor time,Major Time,Scenario,rate
1,3,9INCH_CO2_ONSHORE,MODE_1,1,1,LL,35.39871575325
3,18,9INCH_CO2_ONSHORE,MODE_1,1,1,LL,51.489041097375
4,21,6INCH_CO2_ONSHORE,MODE_1,1,1,LL,16.090325344125
5,1,6INCH_CO2_ONSHORE,MODE_1,1,1,LL,11.263227738974999
6,11,12INCH_CO2_ONSHORE,MODE_1,1,1,LL,63.717688355849994
7,18,6INCH_CO2_ONSHORE,MODE_1,1,1,LL,20.917422945450003
8,18,6INCH_CO2_ONSHORE,MODE_1,1,1,LL,14.642196061049997
9,6,9INCH_CO2_ONSHORE,MODE_1,1,1,LL,34.755102740249995
10,21,12INCH_CO2_ONSHORE,MODE_1,1,1,LL,98.719276524975
11,18,12INCH_CO2_ONSHORE,MODE_1,1,1,LL,79.16440068314999
12,10,12INCH_CO2_ONSHORE,MODE_1,1,1,LL,83.272564197675
13,15,6INCH_CO2_ONSHORE,MODE_1,1,1,LL,11.263227738974999
14,16,6INCH_CO2_ONSHORE,MODE_1,1,1,LL,12.872260275299999
15,21,9INCH_CO2_ONSHORE,MODE_1,1,1,LL,56.316138687225
16,12,12INCH_CO2_ONSHORE,MODE_1,1,1,LL,64.4468835483
18,39,24INCH_CO2_OFFSHORE,MODE_1,1,1,LL,214.02576857618243
21,36,16INCH_CO2_OFFSHORE,MODE_1,1,1,LL,171.12574055632498
