From grid;To grid;Distribution type;Distribution mode;Minor time;Major Time;Scenario;rate
1;3;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;35.39871575324774
3;18;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;51.48904109739056
4;21;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;16.09032534412836
5;1;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;11.263227738974996
6;11;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;63.71768835584999
7;18;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;20.91742294544385
8;18;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;14.642196061049995
9;6;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;34.75510274024999
10;21;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;98.71927652497058
11;18;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;79.1644006831416
12;10;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;83.27256419767394
13;15;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;11.263227738974996
14;16;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;12.872260275299997
15;21;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;56.316138687224985
16;12;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;64.44688354829894
18;39;24INCH_CO2_OFFSHORE;MODE_1;1;1;LL;331.845692677701
21;36;16INCH_CO2_OFFSHORE;MODE_1;1;1;LL;285.400000001
