From grid,To grid,Distribution type,Major time,Scenario,No. of units
1,14,9INCH_CO2_ONSHORE,1,LL,0.9999999999999998
2,6,16INCH_CO2_ONSHORE,1,LL,1.0
3,5,6INCH_CO2_ONSHORE,1,LL,0.9999999999999998
4,32,28INCH_CO2_ONSHORE,1,LL,1.0
5,18,9INCH_CO2_ONSHORE,1,LL,1.0
6,24,28INCH_CO2_ONSHORE,1,LL,1.0
7,26,9INCH_CO2_ONSHORE,1,LL,0.9999999999999993
11,4,28INCH_CO2_ONSHORE,1,LL,1.0
14,2,16INCH_CO2_ONSHORE,1,LL,1.0
18,6,12INCH_CO2_ONSHORE,1,LL,1.0
22,24,6INCH_CO2_ONSHORE,1,LL,0.9999999999999994
24,11,28INCH_CO2_ONSHORE,1,LL,1.0
26,14,12INCH_CO2_ONSHORE,1,LL,1.0
31,6,6INCH_CO2_ONSHORE,1,LL,0.9999999999999998
32,47,28INCH_CO2_OFFSHORE,1,LL,1.0
