From grid;To grid;Distribution type;Major time;Scenario;No. of units
1;14;9INCH_CO2_ONSHORE;1;LL;1.0
2;6;16INCH_CO2_ONSHORE;1;LL;1.0
3;5;6INCH_CO2_ONSHORE;1;LL;1.0
4;32;28INCH_CO2_ONSHORE;1;LL;1.0
5;18;9INCH_CO2_ONSHORE;1;LL;1.0
6;24;28INCH_CO2_ONSHORE;1;LL;1.0
7;26;9INCH_CO2_ONSHORE;1;LL;1.0
11;4;28INCH_CO2_ONSHORE;1;LL;1.0
13;16;9INCH_CO2_ONSHORE;1;LL;1.0
14;2;16INCH_CO2_ONSHORE;1;LL;1.0
15;28;12INCH_CO2_ONSHORE;1;LL;1.0
16;6;16INCH_CO2_ONSHORE;1;LL;1.0
17;2;6INCH_CO2_ONSHORE;1;LL;1.0
18;6;12INCH_CO2_ONSHORE;1;LL;1.0
22;24;6INCH_CO2_ONSHORE;1;LL;1.0
24;11;28INCH_CO2_ONSHORE;1;LL;1.0
26;14;12INCH_CO2_ONSHORE;1;LL;1.0
27;15;9INCH_CO2_ONSHORE;1;LL;1.0
28;16;12INCH_CO2_ONSHORE;1;LL;1.0
29;16;6INCH_CO2_ONSHORE;1;LL;1.0
31;6;6INCH_CO2_ONSHORE;1;LL;1.0
32;47;28INCH_CO2_OFFSHORE;1;LL;1.0
