index;OID;Longitude;Latitude;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
30;CID46;8.336864;51.602063;LINESTRING (8.336864007691252 51.60206300512377, 8.335833007691845 51.59952100512495, 8.073849007761982 51.75923400510686, 8.03084000776645 51.85722500507583, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID30', 'PIPEID5', 'PIPEID23', 'PIPEID10', 'PIPEID3', 'PIPEID31'];249.55554821393451;CCS_CALCINED_CLAY_CEMENT;31;1;LL;1.0;1002319.9999632002;34940104.127572216;2389610.0857532434;24421971.756321605;30.21850268780018;383387.399985924;237386.85782086046;856991.6185285359;621727.9475781923;0.7254772790493635;4.416155929553071;34.63465861735325;31.799889633501422;22181.050714455334;55.83633671173354;66.43454825085468;107.10259472770007;0.02085497990923164;0.028744444389187503;0.028744444389187503;0.014372222194593751
5;CID9;8.335833;51.599521;LINESTRING (8.335833007691845 51.59952100512495, 8.073849007761982 51.75923400510686, 8.03084000776645 51.85722500507583, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID5', 'PIPEID23', 'PIPEID10', 'PIPEID3', 'PIPEID31'];249.2546896289957;CCS_CALCINED_CLAY_CEMENT;6;1;LL;1.0;1002319.9999632002;34940104.127572216;2389610.0857532434;24428639.63604129;30.22515513384528;383387.399985924;237400.0435530062;856991.6185285359;621727.9475781923;0.7254772790493635;4.408754836709582;34.63390997055486;31.80165596897096;22182.28276831087;55.83512977924504;66.43556593952582;107.10423539660162;0.04170995981846328;0.0574889437779225;0.028744499388734995;0.043116694083555
17;CID26;8.336089;51.595161;LINESTRING (8.336089007692191 51.59516100512659, 8.335833007691845 51.59952100512495, 8.073849007761982 51.75923400510686, 8.03084000776645 51.85722500507583, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID17', 'PIPEID5', 'PIPEID23', 'PIPEID10', 'PIPEID3', 'PIPEID31'];249.7553413397823;CCS_CALCINED_CLAY_CEMENT;18;1;LL;1.0;891770.0000832002;31086416.1763669;2126050.1501009897;21740765.409452472;30.232400303070516;341102.025031824;211228.99192348335;762470.4842311369;553155.0122554557;0.7254772790493634;4.41579636048586;34.64819666355638;31.80357968233872;19736.901297854154;55.8581621009937;66.4517763458951;107.13036903684532;0.06026475812247143;0.08306314726601244;0.02557420348808994;0.07027604552196746
3;CID4;7.887637;52.17459;LINESTRING (7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID3', 'PIPEID31'];173.7012031580174;CCS_CALCINED_CLAY_CEMENT;4;1;LL;1.0;1039169.9999232003;36224666.777973995;2477463.397637329;25786728.948760774;30.667794511781842;397482.5249706241;246512.98136406165;888498.6632943358;644585.5926857713;0.7254772790493634;4.061563254632722;34.729357766414566;31.851400331955116;23033.781194130363;55.98900614127001;66.58075809836969;107.33830723656622;0.08188646523344424;0.11286603558799434;0.0298028883219819;0.0979645914270034
4;CID5;8.258075;50.032201;LINESTRING (8.258075007885553 50.03220100577385, 8.336089007692191 51.59516100512659, 8.335833007691845 51.59952100512495, 8.073849007761982 51.75923400510686, 8.03084000776645 51.85722500507583, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID4', 'PIPEID17', 'PIPEID5', 'PIPEID23', 'PIPEID10', 'PIPEID3', 'PIPEID31'];429.35513231916;CCS_CALCINED_CLAY_CEMENT;5;1;LL;1.0;1790909.9998080009;62429744.87059949;4269670.961743417;39859120.64879312;28.109409248829557;685023.0749265603;421216.2258045709;1531242.3771158394;1110881.5533150784;0.7254772790493634;6.974106928111292;35.08351617694085;31.579603144578503;39357.774697760186;56.559963357216986;66.66311932151935;107.47108605325911;0.11914940727451812;0.16421333852364112;0.05134730293564678;0.13853968705581773
23;CID37;8.073849;51.759234;LINESTRING (8.073849007761982 51.75923400510686, 8.03084000776645 51.85722500507583, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID23', 'PIPEID10', 'PIPEID3', 'PIPEID31'];223.09034475282326;CCS_CALCINED_CLAY_CEMENT;24;1;LL;1.0;1002319.9999632002;34940104.127572216;2389610.0857532434;24448000.601678304;30.244471286009983;383387.399985924;240255.15058637527;856991.6185285359;621727.9475781923;0.7254772790493635;4.281486781078648;34.52595806708863;32.184120648719514;22449.059431870515;55.661094894212475;66.71007871580815;107.54679173814134;0.14000438718374975;0.19296974696628025;0.02875640844263913;0.1785915427449607
21;CID30;8.055751;51.765425;LINESTRING (8.055751007767336 51.76542500510752, 8.073849007761982 51.75923400510686, 8.03084000776645 51.85722500507583, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID21', 'PIPEID23', 'PIPEID10', 'PIPEID3', 'PIPEID31'];224.5605493594233;CCS_CALCINED_CLAY_CEMENT;22;1;LL;1.0;1002319.9999632002;34940104.127572216;2389610.0857532434;24433856.868553832;30.230360290394817;383387.399985924;240227.18135412163;856991.6185285359;621727.9475781923;0.7254772790493635;4.317752136011745;34.54811242640656;32.18037394383886;22446.446031260402;55.69681109052829;66.72848637024542;107.57646767641427;0.16085936709298138;0.221726038745309;0.028756291779028748;0.20734789285579464
10;CID17;8.03084;51.857225;LINESTRING (8.03084000776645 51.85722500507583, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID10', 'PIPEID3', 'PIPEID31'];211.4485283432721;CCS_CALCINED_CLAY_CEMENT;11;1;LL;1.0;1002319.9999632002;34940104.127572216;2389610.0857532434;24532952.4646395;30.329226516838773;383387.399985924;240423.14289538102;856991.6185285359;621727.9475781923;0.7254772790493635;4.228419707144507;34.557646223983284;32.206624577263405;22464.75636623285;55.71218102206181;66.76427080124668;107.63415762105899;0.181714347002213;0.2504831479075499;0.02875710916224089;0.23610459332642944
16;CID23;8.5105;51.618256;LINESTRING (8.510500007632825 51.61825600508804, 8.503183007634776 51.62267000508754, 8.335833007691845 51.59952100512495, 8.073849007761982 51.75923400510686, 8.03084000776645 51.85722500507583, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID16', 'PIPEID1', 'PIPEID5', 'PIPEID23', 'PIPEID10', 'PIPEID3', 'PIPEID31'];262.2332236183016;CCS_CALCINED_CLAY_CEMENT;17;1;LL;1.0;1002319.9999632002;34940104.127572216;2389610.0857532434;24667383.62960451;30.46334652339351;383387.399985924;240688.98052409932;856991.6185285359;621727.9475781923;0.7254772790493635;4.527780724629414;34.99112724802293;32.242235677773664;22489.595811762985;56.41101835387537;67.2333629257966;108.39040546240682;0.20256932691144464;0.2792413659160138;0.0287582180084639;0.26486225691178183
25;CID40;11.753223;51.813271;LINESTRING (11.75322300659939 51.81327100450306, 8.746013007548269 51.69847900501734, 8.503183007634776 51.62267000508754, 8.335833007691845 51.59952100512495, 8.073849007761982 51.75923400510686, 8.03084000776645 51.85722500507583, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID25', 'PIPEID13', 'PIPEID1', 'PIPEID5', 'PIPEID23', 'PIPEID10', 'PIPEID3', 'PIPEID31'];496.5276010019252;CCS_CALCINED_CLAY_CEMENT;26;1;LL;1.0;1665619.9999439998;58062231.85923344;3970969.701337527;37754727.55951184;28.520130217837213;637099.6499785798;392300.5061166963;1424118.4249121195;1033165.5599493097;0.7254772790493634;7.095351483394149;35.61548170123136;31.62410755656965;36655.93580604813;57.41757268033694;67.23958925780101;108.40044325645925;0.23722539646659854;0.3269987735196286;0.0477574076036148;0.3031200697178212
1;CID2;8.503183;51.62267;LINESTRING (8.503183007634776 51.62267000508754, 8.335833007691845 51.59952100512495, 8.073849007761982 51.75923400510686, 8.03084000776645 51.85722500507583, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID1', 'PIPEID5', 'PIPEID23', 'PIPEID10', 'PIPEID3', 'PIPEID31'];261.50509482326373;CCS_CALCINED_CLAY_CEMENT;2;1;LL;1.0;1002319.9999632002;34940104.127572216;2389610.0857532434;24698781.375177637;30.494671594802124;383387.399985924;240751.06956597016;856991.6185285359;621727.9475781923;0.7254772790493635;4.509771398710257;35.004442993512384;32.25055300711981;22495.397313156922;56.43248536057901;67.25499600063219;108.42528126886344;0.2580803763758302;0.35575725051023843;0.02875847699060985;0.3413780120149335
13;CID20;8.746013;51.698479;LINESTRING (8.746013007548269 51.69847900501734, 8.503183007634776 51.62267000508754, 8.335833007691845 51.59952100512495, 8.073849007761982 51.75923400510686, 8.03084000776645 51.85722500507583, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID13', 'PIPEID1', 'PIPEID5', 'PIPEID23', 'PIPEID10', 'PIPEID3', 'PIPEID31'];280.90914303490007;CCS_CALCINED_CLAY_CEMENT;14;1;LL;1.0;1002319.9999632002;34940104.127572216;2389610.0857532434;25011918.41596226;30.807083839191264;383387.399985924;237884.49405905898;856991.6185285359;621727.9475781923;0.7254772790493635;4.704338323424513;35.51142216261578;31.86655203258118;22227.54905365641;57.24981287936994;67.37797419519696;108.62354082025045;0.27893535628506183;0.38450377061032437;0.028746520100085937;0.3701305105602814
15;CID22;9.618221;49.808084;LINESTRING (9.618221007466078 49.80808400562265, 8.335833007691845 51.59952100512495, 8.073849007761982 51.75923400510686, 8.03084000776645 51.85722500507583, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID15', 'PIPEID5', 'PIPEID23', 'PIPEID10', 'PIPEID3', 'PIPEID31'];475.72638937900047;CCS_CALCINED_CLAY_CEMENT;16;1;LL;1.0;1002319.9999632002;34940104.127572216;2389610.0857532434;23901497.265793275;29.69923290315312;383387.399985924;239174.4402396626;856991.6185285359;621727.9475781923;0.7254772790493635;6.040575618662729;35.739808521815846;32.03935075679407;22348.07957465298;57.6180064219583;67.77915927860991;109.27031218441073;0.29979033619429346;0.41325567125776586;0.028751900647441486;0.3988797209340451
28;CID43;9.768927;49.954669;LINESTRING (9.768927007401388 49.9546690055364, 9.618221007466078 49.80808400562265, 8.335833007691845 51.59952100512495, 8.073849007761982 51.75923400510686, 8.03084000776645 51.85722500507583, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID28', 'PIPEID15', 'PIPEID5', 'PIPEID23', 'PIPEID10', 'PIPEID3', 'PIPEID31'];496.0445855618728;CCS_CALCINED_CLAY_CEMENT;29;1;LL;1.0;965470.0000032001;33655541.477170445;2301756.773869159;22910018.15111422;29.58245289085288;369292.275001224;228256.04461996842;825484.5737627363;598870.3024706135;0.7254772790493634;6.5610099213095685;36.14346281216245;31.743794625317584;21327.882040618973;58.26875852319702;67.88725743748003;109.44458285539595;0.31987858890178394;0.4409416521529357;0.027685980895169826;0.42709866170535077
6;CID10;11.660638;51.270124;LINESTRING (11.66063800667777 51.27012400471651, 11.75322300659939 51.81327100450306, 8.746013007548269 51.69847900501734, 8.503183007634776 51.62267000508754, 8.335833007691845 51.59952100512495, 8.073849007761982 51.75923400510686, 8.03084000776645 51.85722500507583, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID6', 'PIPEID25', 'PIPEID13', 'PIPEID1', 'PIPEID5', 'PIPEID23', 'PIPEID10', 'PIPEID3', 'PIPEID31'];559.8008177739313;CCS_CALCINED_CLAY_CEMENT;7;1;LL;1.0;1695100.0000872004;59089881.985662214;4041252.3512624865;37654743.351355225;28.06693602402827;648375.750033354;399014.62825009285;1449324.0608745571;1051451.6761440476;0.7254772790493634;8.580452997275156;36.647389021303425;31.605948688614347;37283.29270739901;59.081164206253646;68.25333770991777;110.03475992574583;0.3551480402219761;0.48954336737930226;0.04860171522636658;0.465242509766119
0;CID1;10.481936;51.364109;LINESTRING (10.48193600702974 51.36410900486374, 8.746013007548269 51.69847900501734, 8.503183007634776 51.62267000508754, 8.335833007691845 51.59952100512495, 8.073849007761982 51.75923400510686, 8.03084000776645 51.85722500507583, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID0', 'PIPEID13', 'PIPEID1', 'PIPEID5', 'PIPEID23', 'PIPEID10', 'PIPEID3', 'PIPEID31'];411.3985421859186;CCS_CALCINED_CLAY_CEMENT;1;1;LL;1.0;1923569.9996640005;67054170.41204586;4585942.8845261205;45221333.39326075;29.362124404665202;735765.5248714801;454552.197022551;1644667.738272718;1193169.075702362;0.7254772790493634;7.403462506030291;36.76558691069549;31.728614133863907;42472.63486731361;59.2717171787436;68.49420104455939;110.42306825016574;0.3951712001893182;0.5447030786562181;0.05515971127691588;0.5171232230177603
2;CID3;8.036802;49.602402;LINESTRING (8.036802008009117 49.60240200599639, 8.258075007885553 50.03220100577385, 8.336089007692191 51.59516100512659, 8.335833007691845 51.59952100512495, 8.073849007761982 51.75923400510686, 8.03084000776645 51.85722500507583, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID2', 'PIPEID4', 'PIPEID17', 'PIPEID5', 'PIPEID23', 'PIPEID10', 'PIPEID3', 'PIPEID31'];481.42920133386565;CCS_CALCINED_CLAY_CEMENT;3;1;LL;1.0;1002319.9999632002;34940104.127572216;2389610.0857532434;22781563.26340674;28.58189113363075;383387.399985924;236959.77074994324;856991.6185285359;621727.9475781923;0.7254772790493635;8.258689942646248;36.840581076277;31.742677865993585;22141.144377320816;59.392619178300954;68.58325894227059;110.56664312463988;0.4160261800985498;0.5734457416050288;0.02874266294881067;0.5590744101306235
12;CID19;8.685598;49.357624;LINESTRING (8.685598007822042 49.3576240059794, 9.618221007466078 49.80808400562265, 8.335833007691845 51.59952100512495, 8.073849007761982 51.75923400510686, 8.03084000776645 51.85722500507583, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID12', 'PIPEID15', 'PIPEID5', 'PIPEID23', 'PIPEID10', 'PIPEID3', 'PIPEID31'];562.8346567905397;CCS_CALCINED_CLAY_CEMENT;13;1;LL;1.0;1002319.9999632002;34940104.127572216;2389610.0857532434;23389005.05553228;29.18792692274785;383387.399985924;236630.81778467903;856991.6185285359;621727.9475781923;0.7254772790493635;7.76953683783565;36.9574637605835;31.698611955664596;22110.407535053408;59.58105184018488;68.6560757162481;110.6840348378076;0.43688116000778143;0.6021870324446508;0.028741290839621958;0.5878163870248398
20;CID29;9.888384;52.353363;LINESTRING (9.888384007122246 52.35336300458661, 8.746013007548269 51.69847900501734, 8.503183007634776 51.62267000508754, 8.335833007691845 51.59952100512495, 8.073849007761982 51.75923400510686, 8.03084000776645 51.85722500507583, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID20', 'PIPEID13', 'PIPEID1', 'PIPEID5', 'PIPEID23', 'PIPEID10', 'PIPEID3', 'PIPEID31'];391.5216476803855;CCS_CALCINED_CLAY_CEMENT;21;1;LL;1.0;1002319.9999632002;34940104.127572216;2389610.0857532434;24963703.72871935;30.75898075111093;383387.399985924;238004.33743806765;856991.6185285359;621727.9475781923;0.7254772790493635;7.34657730531284;38.10555805642377;31.882606022514597;22238.747028523198;61.4319544400228;69.98816407893837;112.83156385406559;0.45773613991701306;0.6309340524283642;0.02874701998371343;0.6165605424365075
