index;OID;Longitude;Latitude;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
30;CID46;8.336864;51.602063;LINESTRING (8.336864007691252 51.60206300512377, 8.335833007691845 51.59952100512495, 8.073849007761982 51.75923400510686, 8.03084000776645 51.85722500507583, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID30', 'PIPEID5', 'PIPEID23', 'PIPEID10', 'PIPEID3', 'PIPEID31'];249.55554821393451;CCS_CALCINED_CLAY_CEMENT;31;1;LL;1.0;1002319.9999632;34940104.12757221;2389610.085753243;24421971.7563216;30.218502687800175;383387.39998592396;237386.85782086063;856991.6185285358;621727.9475781922;0.7254772790493634;6.408944883538931;36.627447571339104;31.799889633501447;223143.64635161552;59.04901555634114;68.42733720484055;110.31527357230769;0.020854979909231637;0.028730312481648253;0.028730312481648253;0.014365156240824127
5;CID9;8.335833;51.599521;LINESTRING (8.335833007691845 51.59952100512495, 8.073849007761982 51.75923400510686, 8.03084000776645 51.85722500507583, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID5', 'PIPEID23', 'PIPEID10', 'PIPEID3', 'PIPEID31'];249.2546896289957;CCS_CALCINED_CLAY_CEMENT;6;1;LL;1.0;1002319.9999632;34940104.12757221;2389610.085753243;24428639.636041284;30.22515513384528;383387.39998592396;237400.04355300628;856991.6185285358;621727.9475781922;0.7254772790493634;6.401543790695442;36.62669892454072;31.801655968970977;223156.04093983243;59.04780862385266;68.4283548935117;110.31691424120926;0.041709959818463274;0.05746104644792815;0.028730733966279894;0.0430956794647882
17;CID26;8.336089;51.595161;LINESTRING (8.336089007692191 51.59516100512659, 8.335833007691845 51.59952100512495, 8.073849007761982 51.75923400510686, 8.03084000776645 51.85722500507583, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID17', 'PIPEID5', 'PIPEID23', 'PIPEID10', 'PIPEID3', 'PIPEID31'];249.7553413397823;CCS_CALCINED_CLAY_CEMENT;18;1;LL;1.0;891770.0000832;31086416.176366895;2126050.1501009897;21740765.40945247;30.23240030307052;341102.02503182396;211228.99192348347;762470.4842311369;553155.0122554558;0.7254772790493635;6.408585314471717;36.640985617542235;31.80357968233874;198555.25240808024;59.0708409456013;68.44456529988098;110.34304788145293;0.060264758122471423;0.08302335787443846;0.02556231142651031;0.0702422021611833
3;CID4;7.887637;52.17459;LINESTRING (7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID3', 'PIPEID31'];173.7012031580174;CCS_CALCINED_CLAY_CEMENT;4;1;LL;1.0;1039169.9999232;36224666.77797398;2477463.3976373277;25786728.948760767;30.667794511781842;397482.52497062396;246512.98136406203;888498.6632943355;644585.5926857711;0.7254772790493634;6.054352208618567;36.72214672040041;31.85140033195517;231722.20248222508;59.201684985877606;68.57354705235558;110.55098608117389;0.08188646523344423;0.11282267526913882;0.02979931739470036;0.09792301657178865
4;CID5;8.258075;50.032201;LINESTRING (8.258075007885553 50.03220100577385, 8.336089007692191 51.59516100512659, 8.335833007691845 51.59952100512495, 8.073849007761982 51.75923400510686, 8.03084000776645 51.85722500507583, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID4', 'PIPEID17', 'PIPEID5', 'PIPEID23', 'PIPEID10', 'PIPEID3', 'PIPEID31'];429.35513231916;CCS_CALCINED_CLAY_CEMENT;5;1;LL;1.0;1790909.999808;62429744.87059947;4269670.961743414;39859120.6487931;28.109409248829554;685023.0749265599;421216.22580457095;1531242.3771158387;1110881.553315078;0.7254772790493634;8.966895882097567;37.076305130927125;31.579603144578517;395943.2522563082;59.77264220182528;68.65590827550564;110.68376489786743;0.11914940727451809;0.1640630623648866;0.05124038709574778;0.1384428688170127
23;CID37;8.073849;51.759234;LINESTRING (8.073849007761982 51.75923400510686, 8.03084000776645 51.85722500507583, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID23', 'PIPEID10', 'PIPEID3', 'PIPEID31'];223.09034475282326;CCS_CALCINED_CLAY_CEMENT;24;1;LL;1.0;1002319.9999632;34940104.12757221;2389610.085753243;24448000.6016783;30.244471286009986;383387.39998592396;240255.15058637556;856991.6185285358;621727.9475781922;0.7254772790493634;6.274275735064502;36.51874702107449;32.18412064871955;225839.8415511996;58.8737737388201;68.70286766979405;110.75947058274902;0.14000438718374972;0.19288506041290035;0.028821998048013747;0.1784740613888935
21;CID30;8.055751;51.765425;LINESTRING (8.055751007767336 51.76542500510752, 8.073849007761982 51.75923400510686, 8.03084000776645 51.85722500507583, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID21', 'PIPEID23', 'PIPEID10', 'PIPEID3', 'PIPEID31'];224.5605493594233;CCS_CALCINED_CLAY_CEMENT;22;1;LL;1.0;1002319.9999632;34940104.12757221;2389610.085753243;24433856.86855383;30.23036029039482;383387.39998592396;240227.18135412183;856991.6185285358;621727.9475781922;0.7254772790493634;6.310541089997599;36.54090138039242;32.180373943838894;225813.5504728811;58.909489935135916;68.72127532423131;110.78914652102193;0.16085936709298135;0.22170616441867028;0.028821104005769926;0.2072956124157853
10;CID17;8.03084;51.857225;LINESTRING (8.03084000776645 51.85722500507583, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID10', 'PIPEID3', 'PIPEID31'];211.4485283432721;CCS_CALCINED_CLAY_CEMENT;11;1;LL;1.0;1002319.9999632;34940104.12757221;2389610.085753243;24532952.464639496;30.329226516838776;383387.39998592396;240423.1428953813;856991.6185285358;621727.9475781922;0.7254772790493634;6.221208661130359;36.550435177969135;32.20662457726344;225997.754321665;58.924859866669415;68.75705975523258;110.84683646566667;0.18171434700221298;0.2505335323752866;0.028827367956616307;0.23611984839697842
16;CID23;8.5105;51.618256;LINESTRING (8.510500007632825 51.61825600508804, 8.503183007634776 51.62267000508754, 8.335833007691845 51.59952100512495, 8.073849007761982 51.75923400510686, 8.03084000776645 51.85722500507583, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID16', 'PIPEID1', 'PIPEID5', 'PIPEID23', 'PIPEID10', 'PIPEID3', 'PIPEID31'];262.2332236183016;CCS_CALCINED_CLAY_CEMENT;17;1;LL;1.0;1002319.9999632;34940104.12757221;2389610.085753243;24667383.629604507;30.463346523393515;383387.39998592396;240688.98052409952;856991.6185285358;621727.9475781922;0.7254772790493634;6.520569678615269;36.983916202008785;32.24223567777369;226247.64169266014;59.623697198482986;69.22615187978248;111.60308430701444;0.2025693269114446;0.27936939788621235;0.028835865510925762;0.26495146513074946
25;CID40;11.753223;51.813271;LINESTRING (11.75322300659939 51.81327100450306, 8.746013007548269 51.69847900501734, 8.503183007634776 51.62267000508754, 8.335833007691845 51.59952100512495, 8.073849007761982 51.75923400510686, 8.03084000776645 51.85722500507583, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID25', 'PIPEID13', 'PIPEID1', 'PIPEID5', 'PIPEID23', 'PIPEID10', 'PIPEID3', 'PIPEID31'];496.5276010019252;CCS_CALCINED_CLAY_CEMENT;26;1;LL;1.0;1665619.9999439998;58062231.85923344;3970969.701337527;37754727.55951184;28.520130217837213;637099.6499785798;392300.50611669646;1424118.4249121195;1033165.5599493097;0.7254772790493634;9.08814043738;37.60827065521721;31.62410755656966;368762.47574970545;60.63025152494455;69.23237821178687;111.61312210106686;0.23722539646659851;0.32704271396382967;0.04767331607761732;0.30320605592502103
