Resource;grid;Minor time;Major Time;Scenario;rate
EMITTED_CO2;1;1;1;LL;25.944760104026912
EMITTED_CO2;2;1;1;LL;13.741499404450366
EMITTED_CO2;3;1;1;LL;13.525101070202249
EMITTED_CO2;4;1;1;LL;14.070375648633677
EMITTED_CO2;5;1;1;LL;24.042022020808844
EMITTED_CO2;6;1;1;LL;13.550230796404469
EMITTED_CO2;7;1;1;LL;22.77480754852129
EMITTED_CO2;8;1;1;LL;13.525309197692444
EMITTED_CO2;9;1;1;LL;17.81120388177853
EMITTED_CO2;10;1;1;LL;13.578913494285509
EMITTED_CO2;11;1;1;LL;13.722782128731808
EMITTED_CO2;12;1;1;LL;8.995606378802004
EMITTED_CO2;13;1;1;LL;13.506325216020509
EMITTED_CO2;14;1;1;LL;13.577882080996522
EMITTED_CO2;15;1;1;LL;19.024664915799622
EMITTED_CO2;16;1;1;LL;13.651509146099476
EMITTED_CO2;17;1;1;LL;13.737955509366412
EMITTED_CO2;18;1;1;LL;12.056449310701112
EMITTED_CO2;19;1;1;LL;15.99560880390776
EMITTED_CO2;20;1;1;LL;12.988139146935996
EMITTED_CO2;21;1;1;LL;13.58472245651072
EMITTED_CO2;22;1;1;LL;13.711597109253528
EMITTED_CO2;23;1;1;LL;13.564580424742273
EMITTED_CO2;24;1;1;LL;13.713193526619609
EMITTED_CO2;25;1;1;LL;9.68554168678357
EMITTED_CO2;26;1;1;LL;22.39158139935482
EMITTED_CO2;27;1;1;LL;22.94892460222914
EMITTED_CO2;28;1;1;LL;12.795922155072155
EMITTED_CO2;29;1;1;LL;13.028313049084964
EMITTED_CO2;30;1;1;LL;13.557061096004354
EMITTED_CO2;31;1;1;LL;13.549478186122183
