From grid;To grid;Distribution type;Distribution mode;Minor time;Major Time;Scenario;rate
1;14;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;41.99574913649999
2;6;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;246.1819777287841
3;5;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.882842464940044
4;32;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;740.476772232947
5;18;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;60.98233304294003
6;24;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;652.140886106897
7;26;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;37.00774828957498
8;13;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.882842464949995
9;26;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.80168236235
10;30;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.882842463949995
11;4;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;717.789413501747
12;21;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;14.481292807794148
13;16;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;43.7656849299423
14;2;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;202.4162927988749
15;28;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;93.16298373121867
16;6;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;281.7415967390928
17;2;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.882842464949995
18;6;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;80.45162670916078
19;15;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;25.744520546774982
20;32;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;20.75651969221072
21;14;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;36.36413527274414
22;24;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.882842464949995
23;30;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.88284246495
24;11;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;695.9065710367986
25;30;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;15.607615580549934
26;14;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;102.17356592467512
27;15;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;36.84684503249999
28;16;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;113.7586001701208
29;16;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.07832619869999
30;16;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;81.25614297440451
31;6;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.88284246494999
32;47;28INCH_CO2_OFFSHORE;MODE_1;1;1;LL;771.4263275651846
33;54;24INCH_CO2_OFFSHORE;MODE_1;1;1;LL;570.8000000000001
