J;NAME_PLATE_CAP
NO_ACTION;1000.0
INCUMBENT_STEELBFBOF;342.4657534246575
CCS_STEELBFBOF;342.4657534246575
INCUMBENT_CEMENT;142.69406392694063
CCS_CEMENT;142.69406392694063
BIOMASS_CEMENT;142.69406392694063
CCS_BIOMASS_CEMENT;142.69406392694063
MINERAL_CEMENT;142.69406392694063
BIOMASS_MINERAL_CEMENT;142.69406392694063
CCS_BIOMASS_MINERAL_CEMENT;142.69406392694063
CCS_MINERAL_CEMENT;142.69406392694063
CALCINED_CLAY_CEMENT;142.69406392694063
CALCINED_CLAY_BIOMASS_CEMENT;142.69406392694063
CCS_CALCINED_CLAY_CEMENT;142.69406392694063
CCS_CALCINED_CLAY_BIOMASS_CEMENT;142.69406392694063
NET;55.94
SMALL_CO2_COMPRESSOR;63.54
LARGE_CO2_COMPRESSOR;635.4
XL_CO2_COMPRESSOR;6354.0
XXL_CO2_COMPRESSOR;63540.0
XXXL_CO2_COMPRESSOR;635400.0
SALT_CAVERN;230400000.0
PRES_CYL_VESSEL;360.0
