Resource;grid;Minor time;Major Time;Scenario;rate
EMITTED_CO2;1;1;1;LL;57.73848190279696
EMITTED_CO2;2;1;1;LL;30.308342949390063
EMITTED_CO2;3;1;1;LL;30.09194461514194
EMITTED_CO2;4;1;1;LL;19.44128462867566
EMITTED_CO2;5;1;1;LL;53.6430733526953
EMITTED_CO2;6;1;1;LL;30.117074341344168
EMITTED_CO2;7;1;1;LL;50.79226354610985
EMITTED_CO2;8;1;1;LL;30.092152742632138
EMITTED_CO2;9;1;1;LL;39.61609354784285
EMITTED_CO2;10;1;1;LL;30.1457570392252
EMITTED_CO2;11;1;1;LL;30.2896256736715
EMITTED_CO2;12;1;1;LL;12.443012875984593
EMITTED_CO2;13;1;1;LL;30.073168760960204
EMITTED_CO2;14;1;1;LL;30.144725625936218
EMITTED_CO2;15;1;1;LL;42.16951987007749
EMITTED_CO2;16;1;1;LL;30.21835269103917
EMITTED_CO2;17;1;1;LL;30.304799054306105
EMITTED_CO2;18;1;1;LL;26.79606746657114
EMITTED_CO2;19;1;1;LL;35.486012974254706
EMITTED_CO2;20;1;1;LL;17.856216349947925
EMITTED_CO2;21;1;1;LL;30.15156600145041
EMITTED_CO2;22;1;1;LL;30.278440654193226
EMITTED_CO2;23;1;1;LL;30.131423969681965
EMITTED_CO2;24;1;1;LL;30.280037071559303
EMITTED_CO2;25;1;1;LL;21.50159921435056
EMITTED_CO2;26;1;1;LL;49.92177729029565
EMITTED_CO2;27;1;1;LL;50.84456557098392
EMITTED_CO2;28;1;1;LL;28.38824549250804
EMITTED_CO2;29;1;1;LL;28.98608146433477
EMITTED_CO2;30;1;1;LL;30.12390464094405
EMITTED_CO2;31;1;1;LL;30.11632173106188
