Resource;grid;Minor time;Major Time;Scenario;rate
BIOMASS;4;1;1;LL;8.65304879307653
BIOMASS;12;1;1;LL;5.523222634126956
BIOMASS;20;1;1;LL;7.916619109304334
CLAY;1;1;1;LL;38.28043672387161
CLAY;2;1;1;LL;19.946894234347816
CLAY;3;1;1;LL;19.946894234347816
CLAY;4;1;1;LL;20.68023593337091
CLAY;5;1;1;LL;35.64040660738847
CLAY;6;1;1;LL;19.946894234347816
CLAY;7;1;1;LL;33.73371819341503
CLAY;8;1;1;LL;19.946894234347816
CLAY;9;1;1;LL;26.253632852919647
CLAY;10;1;1;LL;19.946894234347816
CLAY;11;1;1;LL;19.946894234347816
CLAY;12;1;1;LL;13.200150596362132
CLAY;13;1;1;LL;19.946894234347816
CLAY;14;1;1;LL;19.946894234347816
CLAY;15;1;1;LL;27.866984594257055
CLAY;16;1;1;LL;19.946894234347816
CLAY;17;1;1;LL;19.946894234347816
CLAY;18;1;1;LL;17.746869137278534
CLAY;19;1;1;LL;23.46693439314528
CLAY;20;1;1;LL;18.920215855715483
CLAY;21;1;1;LL;19.946894234347816
CLAY;22;1;1;LL;19.946894234347816
CLAY;23;1;1;LL;19.946894234347816
CLAY;24;1;1;LL;19.946894234347816
CLAY;25;1;1;LL;14.226828974994463
CLAY;26;1;1;LL;33.147044830709945
CLAY;27;1;1;LL;33.587049850123805
CLAY;28;1;1;LL;18.773547515910867
CLAY;29;1;1;LL;19.21355253532472
CLAY;30;1;1;LL;19.946894234347816
CLAY;31;1;1;LL;19.946894234347816
