Resource;grid;Minor time;Major Time;Scenario;rate
EMITTED_CO2;1;1;1;LL;25.944760104026884
EMITTED_CO2;2;1;1;LL;13.741499404450352
EMITTED_CO2;3;1;1;LL;13.52510107020224
EMITTED_CO2;4;1;1;LL;14.070375648633656
EMITTED_CO2;5;1;1;LL;24.04202202080884
EMITTED_CO2;6;1;1;LL;13.550230796404463
EMITTED_CO2;7;1;1;LL;22.77480754852128
EMITTED_CO2;8;1;1;LL;48.91504671966528
EMITTED_CO2;9;1;1;LL;64.38083355102785
EMITTED_CO2;10;1;1;LL;48.91504671966528
EMITTED_CO2;11;1;1;LL;13.722782128731794
EMITTED_CO2;12;1;1;LL;32.37025150591233
EMITTED_CO2;13;1;1;LL;13.506325216020493
EMITTED_CO2;14;1;1;LL;13.577882080996517
EMITTED_CO2;15;1;1;LL;19.02466491579962
EMITTED_CO2;16;1;1;LL;13.651509146099464
EMITTED_CO2;17;1;1;LL;13.7379555093664
EMITTED_CO2;18;1;1;LL;43.520004807713285
EMITTED_CO2;19;1;1;LL;57.54711378733857
EMITTED_CO2;20;1;1;LL;46.397360494087685
EMITTED_CO2;21;1;1;LL;48.91504671966528
EMITTED_CO2;22;1;1;LL;13.711597109253518
EMITTED_CO2;23;1;1;LL;48.91504671966528
EMITTED_CO2;24;1;1;LL;13.713193526619593
EMITTED_CO2;25;1;1;LL;34.88793773148992
EMITTED_CO2;26;1;1;LL;22.39158139935481
EMITTED_CO2;27;1;1;LL;22.948924602229116
EMITTED_CO2;28;1;1;LL;12.795922155072148
EMITTED_CO2;29;1;1;LL;13.028313049084955
EMITTED_CO2;30;1;1;LL;48.91504671966528
EMITTED_CO2;31;1;1;LL;13.549478186122172
