From grid;To grid;Distribution type;Distribution mode;Minor time;Major Time;Scenario;rate
1;14;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;41.99574913649999
2;14;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;256.3188826950379
3;5;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.882842464949995
4;11;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;22.6873587312
5;18;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;60.98233304294998
6;31;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;102.33446917406016
7;26;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;37.00774828957498
8;13;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.88284246491629
9;26;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.801682362349997
10;30;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.88284246494999
11;24;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;44.57020119614994
12;21;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;14.481292807799996
13;16;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;43.76568492989999
14;32;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;740.4767722339748
15;28;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;93.16298373118084
16;14;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;281.7415967390999
17;2;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.88284246497553
18;6;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;80.45162670911017
19;15;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;25.744520546775
20;32;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;20.756519691199998
21;14;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;36.36413527374004
22;24;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.882842464949988
23;30;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.88284246494999
24;31;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;88.33588612610221
25;30;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;15.607615580549997
26;14;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;102.17356592467496
27;15;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;36.84684503249999
28;16;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;113.75860017017985
29;16;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.07832619869999
30;16;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;81.25614297537547
31;2;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;212.5531977651124
32;47;28INCH_CO2_OFFSHORE;MODE_1;1;1;LL;771.4263275639535
33;54;24INCH_CO2_OFFSHORE;MODE_1;1;1;LL;570.8000000012302
