OID;Grid_id;RESOURCE;TRANSPORT_COEFF;TRANSPORT_EMISS
CID1;1;OLIVINE;0.0170886241504424;0.07260297174
CID2;2;OLIVINE;0.0147074281681415;0.06501356165
CID3;3;OLIVINE;0.0209956111415929;0.0199829423099999
CID4;4;OLIVINE;0.0113625856902654;0.0575392602699999
CID5;5;OLIVINE;0.0221257505663716;0.02111584141
CID9;6;OLIVINE;0.0147052476371681;0.06500868909
CID10;7;OLIVINE;0.0223021035044247;0.08484093055
CID11;8;OLIVINE;0.0178170029115044;0.0170068383999999
CID13;9;OLIVINE;0.0127336619911504;0.06916501364
CID16;10;OLIVINE;0.0239359700442477;0.02261406226
CID17;11;OLIVINE;0.0127967485221238;0.06074400468
CID18;12;OLIVINE;0.0119014630884955;0.0610118713099999
CID19;13;OLIVINE;0.019867997;0.0191070486
CID20;14;OLIVINE;0.0142148617964601;0.06391288515
CID21;15;OLIVINE;0.0170887260442477;0.01648836151
CID22;16;OLIVINE;0.0223757097168141;0.02115403346
CID23;17;OLIVINE;0.0149540653362831;0.0655646909
CID26;18;OLIVINE;0.0147236370176991;0.06504978154
CID27;19;OLIVINE;0.0164080626283185;0.0157974583099999
CID28;20;OLIVINE;0.0077622843230088;0.05176256593
CID29;21;OLIVINE;0.0118493675132743;0.06089545984
CID30;22;OLIVINE;0.0145020830353982;0.06455470255
CID35;23;OLIVINE;0.0203717137699115;0.01939588182
CID37;24;OLIVINE;0.014416029938053;0.06436241045
CID39;25;OLIVINE;0.0218939963539823;0.02073399149
CID40;26;OLIVINE;0.0186820610265486;0.07675167413
CID41;27;OLIVINE;0.0169061529026548;0.01649063444
CID42;28;OLIVINE;0.0195839899646017;0.0188792355
CID43;29;OLIVINE;0.0234931326902654;0.0224626112199999
CID45;30;OLIVINE;0.0213523314778761;0.0203479373499999
CID46;31;OLIVINE;0.0146883626814159;0.06497095839
CID1;1;BIOMASS;0.0266229199469026;0.2069732314
CID2;2;BIOMASS;0.0242417983008849;0.1993839874
CID3;3;BIOMASS;0.034999847858407;0.223423656
CID4;4;BIOMASS;0.020897026619469;0.1919098442
CID5;5;BIOMASS;0.0328275540530973;0.2185695026
CID9;6;BIOMASS;0.0242396177699115;0.1993791149
CID10;7;BIOMASS;0.0311437554690265;0.220631623
CID11;8;BIOMASS;0.0364860850265486;0.2267447644
CID13;9;BIOMASS;0.0225833599734513;0.2072082605
CID16;10;BIOMASS;0.0481149843008849;0.3274436865
CID17;11;BIOMASS;0.0223311221946902;0.1951144384
CID18;12;BIOMASS;0.0214348279115044;0.1953800506
CID19;13;BIOMASS;0.0347544248495575;0.2228752399
CID20;14;BIOMASS;0.0237492283893805;0.198283303
CID21;15;BIOMASS;0.0458201135044247;0.3223156256
CID22;16;BIOMASS;0.0343771894513274;0.2220322791
CID23;17;BIOMASS;0.0244884319292035;0.1999351087999999
CID26;18;BIOMASS;0.0242580036106194;0.1994201994
CID27;19;BIOMASS;0.0397160636902654;0.2691412607
CID28;20;BIOMASS;0.0172966544601769;0.1861329917
CID29;21;BIOMASS;0.0213837447256637;0.1952659014
CID30;22;BIOMASS;0.0240364531681415;0.1989251283
CID35;23;BIOMASS;0.0458736356283185;0.3224352248
CID37;24;BIOMASS;0.0239504000707964;0.1987328362
CID39;25;BIOMASS;0.0413165347433628;0.3122520411
CID40;26;BIOMASS;0.0285315997168141;0.2147945651
CID41;27;BIOMASS;0.0453760781061947;0.3213233952
CID42;28;BIOMASS;0.0461540604070796;0.3230618549999999
CID43;29;BIOMASS;0.0332184885663716;0.2194430751
CID45;30;BIOMASS;0.0466997913805309;0.3242813317999999
CID46;31;BIOMASS;0.0242227328141592;0.1993413842
CID1;1;CLAY;0.0041522912035398;0.004552939074
CID2;2;CLAY;0.0070268743362831;0.01570207772
CID3;3;CLAY;0.0021719362831858;0.0048533545199999
CID4;4;CLAY;0.0074662875646017;0.00717577561
CID5;5;CLAY;0.0009727028486725;0.001369914654
CID9;6;CLAY;0.0063427991123893;0.006113186046
CID10;7;CLAY;0.0008648991150442;0.0019326819399999
CID11;8;CLAY;0.0050061726230088;0.0048637886
CID13;9;CLAY;0.0052961364672566;0.005226030205
CID16;10;CLAY;0.003379228318584;0.00755113912
CID17;11;CLAY;0.0066069486725663;0.01476372233
CID18;12;CLAY;0.0078915343707964;0.008275425098
CID19;13;CLAY;0.0037101505601769;0.003912062409
CID20;14;CLAY;0.0078198258141592;0.007499431156
CID21;15;CLAY;0.0099313494424778;0.00949336588
CID22;16;CLAY;0.0050079256637168;0.01119058549
CID23;17;CLAY;0.0069473663716814;0.01552441121
CID26;18;CLAY;0.0063611884929203;0.006154278496
CID27;19;CLAY;0.0088321483690265;0.008421148704
CID28;20;CLAY;0.0138824828230088;0.01326673549
CID29;21;CLAY;0.0076977326008849;0.007842360508
CID30;22;CLAY;0.006356010619469;0.01420298243
CID35;23;CLAY;0.0070344813884955;0.006832577655
CID37;24;CLAY;0.0063918265486725;0.01428301581
CID39;25;CLAY;0.007982522799115;0.007592000478
CID40;26;CLAY;0.0020151773522123;0.002320573601
CID41;27;CLAY;0.010373632858407;0.01006492218
CID42;28;CLAY;0.0085245509053097;0.008391059079
CID43;29;CLAY;0.0047115196008849;0.004877209621
CID45;30;CLAY;0.0065564301256637;0.006455610261
CID46;31;CLAY;0.0063259141566371;0.006075455346
