Resource;grid;Minor time;Major Time;Scenario;rate
EMITTED_CO2;1;1;1;LL;31.83155162284173
EMITTED_CO2;2;1;1;LL;16.586555637178996
EMITTED_CO2;3;1;1;LL;16.586555637178996
EMITTED_CO2;4;1;1;LL;50.713394023649286
EMITTED_CO2;5;1;1;LL;24.890984749221367
EMITTED_CO2;6;1;1;LL;16.586555637178996
EMITTED_CO2;7;1;1;LL;28.050792624172654
EMITTED_CO2;8;1;1;LL;13.83988550826576
EMITTED_CO2;9;1;1;LL;64.38083355102785
EMITTED_CO2;10;1;1;LL;16.586555637178996
EMITTED_CO2;11;1;1;LL;48.91504671966528
EMITTED_CO2;12;1;1;LL;10.976397112924316
EMITTED_CO2;13;1;1;LL;16.586555637178996
EMITTED_CO2;14;1;1;LL;48.91504671966528
EMITTED_CO2;15;1;1;LL;19.319115189452205
EMITTED_CO2;16;1;1;LL;16.586555637178996
EMITTED_CO2;17;1;1;LL;16.586555637178996
EMITTED_CO2;18;1;1;LL;14.7571561202911
EMITTED_CO2;19;1;1;LL;16.250752747736435
EMITTED_CO2;20;1;1;LL;46.397360494087685
EMITTED_CO2;21;1;1;LL;48.91504671966528
EMITTED_CO2;22;1;1;LL;48.91504671966528
EMITTED_CO2;23;1;1;LL;13.8927196615588
EMITTED_CO2;24;1;1;LL;48.91504671966528
EMITTED_CO2;25;1;1;LL;34.88793773148992
EMITTED_CO2;26;1;1;LL;27.562952750103317
EMITTED_CO2;27;1;1;LL;23.28470241847277
EMITTED_CO2;28;1;1;LL;15.610875894838788
EMITTED_CO2;29;1;1;LL;15.976755798216365
EMITTED_CO2;30;1;1;LL;16.586555637178996
EMITTED_CO2;31;1;1;LL;16.586555637178996
