index;OID;Longitude;Latitude;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
1;CID2;8.503183;51.62267;LINESTRING (8.503183007634776 51.62267000508754, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID1', 'PIPEID13', 'PIPEID31'];250.7639944279869;CCS_CEMENT;2;1;LL;1.0;1002319.9999632;36766221.86896564;1882407.0636297194;25018249.69182544;30.488674990833953;766774.799971848;290596.45476337615;856991.6185285358;566395.1637651597;0.6609109721955817;10.222040873480932;40.710715864314885;38.927745512919884;273160.6674775736;72.04363196247327;79.63846137723476;140.9320342251294;0.01899892035900928;0.028244994457285198;0.028244994457285198;0.014122497228642599
16;CID23;8.5105;51.618256;LINESTRING (8.510500007632825 51.61825600508804, 8.503183007634776 51.62267000508754, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID16', 'PIPEID1', 'PIPEID13', 'PIPEID31'];251.49212322302483;CCS_CEMENT;17;1;LL;1.0;1002319.9999632;36766221.86896564;1882407.0636297194;25018249.69182544;30.488674990833953;766774.799971848;290596.45476337615;856991.6185285358;566395.1637651597;0.6609109721955817;10.251018985982213;40.73969397681617;38.927745512919884;273160.6674775736;72.0949130177848;79.66743948973605;140.98331528044093;0.03799784071801856;0.056489988914570397;0.028244994457285198;0.042367491685927794
30;CID46;8.336864;51.602063;LINESTRING (8.336864007691252 51.60206300512377, 8.503183007634776 51.62267000508754, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID30', 'PIPEID1', 'PIPEID13', 'PIPEID31'];262.8818518712931;CCS_CEMENT;31;1;LL;1.0;1002319.9999632;36766221.86896564;1882407.0636297194;25018249.69182544;30.488674990833953;766774.799971848;290596.45476337615;856991.6185285358;566395.1637651597;0.6609109721955817;10.511105449583493;40.999780440417446;38.927745512919884;273160.6674775736;72.55517447632957;79.92752595333732;141.44357673898568;0.056996761077027835;0.0847349833718556;0.028244994457285205;0.070612486143213
5;CID9;8.335833;51.599521;LINESTRING (8.335833007691845 51.59952100512495, 8.336864007691252 51.60206300512377, 8.503183007634776 51.62267000508754, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID5', 'PIPEID30', 'PIPEID1', 'PIPEID13', 'PIPEID31'];263.1827104562319;CCS_CEMENT;6;1;LL;1.0;1002319.9999632;36766221.86896564;1882407.0636297194;25018249.69182544;30.488674990833953;766774.799971848;290596.45476337615;856991.6185285358;566395.1637651597;0.6609109721955817;10.519325127143054;41.008000117977005;38.927745512919884;273160.6674775736;72.56972041128499;79.93574563089689;141.45812267394112;0.07599568143603712;0.11297997782914079;0.02824499445728519;0.0988574806004982
17;CID26;8.336089;51.595161;LINESTRING (8.336089007692191 51.59516100512659, 8.335833007691845 51.59952100512495, 8.336864007691252 51.60206300512377, 8.503183007634776 51.62267000508754, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID17', 'PIPEID5', 'PIPEID30', 'PIPEID1', 'PIPEID13', 'PIPEID31'];263.6833621670185;CCS_CEMENT;18;1;LL;1.0;891770.0000832;32711123.87296493;1674788.637711832;22258883.919885684;30.488674990833953;682204.050063648;258545.37522750022;762470.4842311369;503925.10900363664;0.6609109721955817;10.541633648030146;41.0303086388641;38.92774551291987;243032.65271385023;72.60919863794584;79.95805415178397;141.49760090060195;0.09289913264000038;0.13810971554808085;0.02512973771894006;0.12554484668861082
0;CID1;10.481936;51.364109;LINESTRING (10.48193600702974 51.36410900486374, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID0', 'PIPEID13', 'PIPEID31'];361.849345367369;CCS_CEMENT;1;1;LL;1.0;1923569.999664;70558705.19467768;3612560.6142615858;48012964.475482285;30.48867499083395;1471531.0497429601;557688.7844321872;1644667.7382727175;1086978.9538405302;0.6609109721955817;11.871068430823406;42.359743421657356;38.92774551291987;524227.45736625604;74.9618300809518;81.28748893457723;143.8502323436079;0.12936029597101006;0.19231518284465732;0.054205467296576465;0.16521244919636907
15;CID22;9.618221;49.808084;LINESTRING (9.618221007466078 49.80808400562265, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID15', 'PIPEID13', 'PIPEID31'];458.1602872307997;CCS_CEMENT;16;1;LL;1.0;1002319.9999632;36766221.86896564;1882407.0636297194;25018249.69182544;30.488674990833953;766774.799971848;290596.4547633761;856991.6185285358;566395.1637651597;0.6609109721955817;12.162946519006024;42.65162150983998;38.92774551291987;273160.66747757356;75.47835152049177;81.57936702275984;144.36675378314786;0.14835921633001933;0.2205601773019425;0.028244994457285177;0.2064376800732999
28;CID43;9.768927;49.954669;LINESTRING (9.768927007401388 49.9546690055364, 9.618221007466078 49.80808400562265, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID28', 'PIPEID15', 'PIPEID13', 'PIPEID31'];478.478483413672;CCS_CEMENT;29;1;LL;1.0;965470.0000031999;35414522.53696539;1813200.9216570898;24098461.101178855;30.488674990833957;738584.5500024479;279912.7615847508;825484.573762736;545571.8121779852;0.6609109721955816;13.000357304863826;43.48903229569778;38.92774551291987;263117.9958896658;76.96027374113805;82.41677780861765;145.84867600379417;0.16665964697067995;0.24776675284644598;0.02720657554450348;0.23416346507419422
11;CID18;9.876779;52.374756;LINESTRING (9.876779007123972 52.37475600458054, 9.888384007122246 52.35336300458661, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID11', 'PIPEID20', 'PIPEID13', 'PIPEID31'];344.56705847996835;CCS_CEMENT;12;1;LL;1.0;663299.9999808001;24330588.001710396;1245710.5568234625;16556194.64913075;30.488674990833957;507424.49998531205;192306.47741843408;567126.806383584;374820.32896514994;0.6609109721955817;13.296158356307949;43.784833347141905;38.92774551291988;180768.08877332805;77.48373744429128;82.71257886006178;146.3721397069474;0.17923246191423964;0.26645829329626525;0.01869154044981927;0.2571125230713556
12;CID19;8.685598;49.357624;LINESTRING (8.685598007822042 49.3576240059794, 9.618221007466078 49.80808400562265, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID12', 'PIPEID15', 'PIPEID13', 'PIPEID31'];545.2685546423389;CCS_CEMENT;13;1;LL;1.0;1002319.9999632;36766221.86896564;1882407.0636297194;25018249.69182544;30.488674990833953;766774.799971848;290596.45476337615;856991.6185285358;566395.1637651597;0.6609109721955817;13.950205074975717;44.43888006580967;38.927745512919884;273160.6674775736;78.64116983243719;83.36662557872955;147.5295720950933;0.1982313822732489;0.2947032877535504;0.028244994457285177;0.2805807905249078
25;CID40;11.753223;51.813271;LINESTRING (11.75322300659939 51.81327100450306, 10.48193600702974 51.36410900486374, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID25', 'PIPEID0', 'PIPEID13', 'PIPEID31'];467.12151419259413;CCS_CEMENT;26;1;LL;1.0;1665619.9999439998;61096809.87067602;3128117.620453181;41574444.34095619;30.488674990833957;1274199.29995716;482902.9321818102;1424118.4249121195;941215.4927303095;0.6609109721955817;13.981120260063443;44.4697952508974;38.927745512919884;453928.7562509017;78.69587882414186;83.39754076381729;147.584281086798;0.2298031175758179;0.34163982266065485;0.04693653490710442;0.3181715552071026
27;CID42;10.162965;48.652954;LINESTRING (10.16296500742447 48.65295400600783, 9.618221007466078 49.80808400562265, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID27', 'PIPEID15', 'PIPEID13', 'PIPEID31'];597.9588339005666;CCS_CEMENT;28;1;LL;1.0;943360.0000272001;34603502.93776526;1771677.2364735128;23546587.946790908;30.488674990833953;721670.4000208081;273502.54567757563;806580.3469032564;533077.8012256806;0.6609109721955816;14.22252544063583;44.711200431469784;38.92774551291987;257092.39293692113;79.12308098980647;83.63894594438966;148.0114832524626;0.2476844543854693;0.36822334685748925;0.026583524196834407;0.35493158475907205
6;CID10;11.660638;51.270124;LINESTRING (11.66063800667777 51.27012400471651, 10.48193600702974 51.36410900486374, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID6', 'PIPEID0', 'PIPEID13', 'PIPEID31'];447.97537660629376;CCS_CEMENT;7;1;LL;1.0;1695100.0000872;62178169.342702754;3183482.5343603194;42310275.21784651;30.488674990833953;1296751.500066708;491449.88677550503;1449324.060874557;957874.1740990519;0.6609109721955817;14.507966008165404;44.996640998999354;38.92774551291987;461962.89356897474;79.62821028457981;83.92438651191922;148.51661254723592;0.2798149814660381;0.41599061689975614;0.047767270042266885;0.3921069818786227
29;CID45;10.998115;48.884764;LINESTRING (10.99811500713271 48.88476400576251, 10.16296500742447 48.65295400600783, 9.618221007466078 49.80808400562265, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID29', 'PIPEID27', 'PIPEID15', 'PIPEID13', 'PIPEID31'];667.3941676574246;CCS_CEMENT;30;1;LL;1.0;1002319.9999632;36766221.86896564;1882407.0636297194;25018249.69182544;30.488674990833953;766774.799971848;290596.45476337615;856991.6185285358;566395.1637651597;0.6609109721955817;15.661076222946559;46.14975121378051;38.927745512919884;273160.6674775736;81.66880932987151;85.07749672670039;150.5572115925276;0.2988139018250474;0.44423561135704137;0.028244994457285233;0.43011311412839875
