From grid;To grid;Distribution type;Distribution mode;Minor time;Major Time;Scenario;rate
1;14;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;271.0576207
2;14;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;257.767012
3;5;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;43.76568493
4;33;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;106.1639666
5;16;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;98.50497174
6;31;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;82.70427226
7;1;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;74.01549658
8;13;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;66.67830822
9;26;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;40.32235531
10;30;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;43.76568493
11;4;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;74.40166438
12;21;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.96258562
13;16;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;110.4439931
14;32;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;1202.655277
15;28;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;94.38584846
16;14;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;570.4663947
17;2;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;43.76568493
18;6;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;38.93858733
19;8;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;36.04232877
20;32;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;29.05912757
21;14;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;59.59856507
22;11;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;43.76568493
23;28;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;30.63597945
24;31;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;43.76568493
25;30;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.85066181
26;1;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;113.0506259
27;15;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;51.58558305
28;16;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;275.5950925
29;16;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;42.1566524
30;28;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;109.3820317
31;2;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;170.2356421
32;47;32INCH_CO2_OFFSHORE;MODE_1;1;1;LL;1236.681887
33;54;32INCH_CO2_OFFSHORE;MODE_1;1;1;LL;684.92987
