From grid;To grid;Distribution type;Major time;Scenario;No. of units
1;14;16INCH_CO2_ONSHORE;1;LL;1
2;14;16INCH_CO2_ONSHORE;1;LL;1
3;5;9INCH_CO2_ONSHORE;1;LL;1
4;33;12INCH_CO2_ONSHORE;1;LL;1
5;16;12INCH_CO2_ONSHORE;1;LL;1
6;31;12INCH_CO2_ONSHORE;1;LL;1
7;1;12INCH_CO2_ONSHORE;1;LL;1
8;13;12INCH_CO2_ONSHORE;1;LL;1
9;26;9INCH_CO2_ONSHORE;1;LL;1
10;30;9INCH_CO2_ONSHORE;1;LL;1
11;4;12INCH_CO2_ONSHORE;1;LL;1
12;21;9INCH_CO2_ONSHORE;1;LL;1
13;16;12INCH_CO2_ONSHORE;1;LL;1
14;32;32INCH_CO2_ONSHORE;1;LL;1
15;28;12INCH_CO2_ONSHORE;1;LL;1
16;14;24INCH_CO2_ONSHORE;1;LL;1
17;2;9INCH_CO2_ONSHORE;1;LL;1
18;6;9INCH_CO2_ONSHORE;1;LL;1
19;8;9INCH_CO2_ONSHORE;1;LL;1
20;32;9INCH_CO2_ONSHORE;1;LL;1
21;14;9INCH_CO2_ONSHORE;1;LL;1
22;11;9INCH_CO2_ONSHORE;1;LL;1
23;28;9INCH_CO2_ONSHORE;1;LL;1
24;31;9INCH_CO2_ONSHORE;1;LL;1
25;30;6INCH_CO2_ONSHORE;1;LL;1
26;1;12INCH_CO2_ONSHORE;1;LL;1
27;15;9INCH_CO2_ONSHORE;1;LL;1
28;16;16INCH_CO2_ONSHORE;1;LL;1
29;16;9INCH_CO2_ONSHORE;1;LL;1
30;28;12INCH_CO2_ONSHORE;1;LL;1
31;2;16INCH_CO2_ONSHORE;1;LL;1
32;47;32INCH_CO2_OFFSHORE;1;LL;1
33;54;32INCH_CO2_OFFSHORE;1;LL;1
