Resource;grid;Minor time;Major Time;Scenario;rate
OLIVINE;4;1;1;LL;22.928250252295594
OLIVINE;5;1;1;LL;39.51464405051262
OLIVINE;8;1;1;LL;22.115191733533116
OLIVINE;9;1;1;LL;29.107495002621665
OLIVINE;11;1;1;LL;22.115191733533116
OLIVINE;15;1;1;LL;30.89622374776473
OLIVINE;19;1;1;LL;26.01787262745863
OLIVINE;20;1;1;LL;20.97690980726564
OLIVINE;21;1;1;LL;22.115191733533116
OLIVINE;23;1;1;LL;22.115191733533116
OLIVINE;25;1;1;LL;15.77333527945455
OLIVINE;27;1;1;LL;37.23808019797768
BIOMASS;4;1;1;LL;10.737516043861817
BIOMASS;9;1;1;LL;13.631314694673916
BIOMASS;14;1;1;LL;10.3567530639682
BIOMASS;20;1;1;LL;9.823684892117136
BIOMASS;21;1;1;LL;10.3567530639682
BIOMASS;24;1;1;LL;10.3567530639682
