grid_from;grid_to;type;TM;EXSTNG_PIPES
1;14;9INCH_CO2_ONSHORE;1;1
2;31;16INCH_CO2_ONSHORE;1;1
3;5;6INCH_CO2_ONSHORE;1;1
4;32;28INCH_CO2_ONSHORE;1;1
5;18;9INCH_CO2_ONSHORE;1;1
6;31;12INCH_CO2_ONSHORE;1;1
7;26;9INCH_CO2_ONSHORE;1;1
8;13;6INCH_CO2_ONSHORE;1;1
9;26;9INCH_CO2_ONSHORE;1;1
10;30;6INCH_CO2_ONSHORE;1;1
11;4;28INCH_CO2_ONSHORE;1;1
12;21;6INCH_CO2_ONSHORE;1;1
13;16;9INCH_CO2_ONSHORE;1;1
14;2;16INCH_CO2_ONSHORE;1;1
15;28;12INCH_CO2_ONSHORE;1;1
16;31;16INCH_CO2_ONSHORE;1;1
17;2;6INCH_CO2_ONSHORE;1;1
18;6;12INCH_CO2_ONSHORE;1;1
19;15;9INCH_CO2_ONSHORE;1;1
20;32;6INCH_CO2_ONSHORE;1;1
21;14;9INCH_CO2_ONSHORE;1;1
22;24;6INCH_CO2_ONSHORE;1;1
23;30;6INCH_CO2_ONSHORE;1;1
24;11;28INCH_CO2_ONSHORE;1;1
25;30;6INCH_CO2_ONSHORE;1;1
26;14;12INCH_CO2_ONSHORE;1;1
27;15;9INCH_CO2_ONSHORE;1;1
28;16;12INCH_CO2_ONSHORE;1;1
29;16;6INCH_CO2_ONSHORE;1;1
30;16;12INCH_CO2_ONSHORE;1;1
31;24;28INCH_CO2_ONSHORE;1;1
32;55;28INCH_CO2_OFFSHORE;1;1
33;54;24INCH_CO2_OFFSHORE;1;1
