Resource;grid;Minor time;Major Time;Scenario;rate
EMITTED_CO2;1;1;1;LL;58.92176778550137
EMITTED_CO2;2;1;1;LL;30.53468908528885
EMITTED_CO2;3;1;1;LL;29.53882830470501
EMITTED_CO2;4;1;1;LL;20.692088223847158
EMITTED_CO2;5;1;1;LL;52.823701968926656
EMITTED_CO2;6;1;1;LL;30.534581327690223
EMITTED_CO2;7;1;1;LL;52.3811050378478
EMITTED_CO2;8;1;1;LL;29.47301119611644
EMITTED_CO2;9;1;1;LL;40.309877679386574
EMITTED_CO2;10;1;1;LL;29.597016026873185
EMITTED_CO2;11;1;1;LL;30.44026701428006
EMITTED_CO2;12;1;1;LL;13.27606269310839
EMITTED_CO2;13;1;1;LL;29.51945774737016
EMITTED_CO2;14;1;1;LL;30.510347413454763
EMITTED_CO2;15;1;1;LL;41.15951137269607
EMITTED_CO2;16;1;1;LL;29.564727210024703
EMITTED_CO2;17;1;1;LL;30.54687741432256
EMITTED_CO2;18;1;1;LL;27.16760516167325
EMITTED_CO2;19;1;1;LL;34.64266532151768
EMITTED_CO2;20;1;1;LL;18.768066470739907
EMITTED_CO2;21;1;1;LL;30.44361647418249
EMITTED_CO2;22;1;1;LL;30.52454132831368
EMITTED_CO2;23;1;1;LL;29.52584534940948
EMITTED_CO2;24;1;1;LL;30.520288751653336
EMITTED_CO2;25;1;1;LL;21.079981442881788
EMITTED_CO2;26;1;1;LL;51.1728471376766
EMITTED_CO2;27;1;1;LL;49.60812728964592
EMITTED_CO2;28;1;1;LL;27.778277288394225
EMITTED_CO2;29;1;1;LL;28.505664208561495
EMITTED_CO2;30;1;1;LL;29.5469002399964
EMITTED_CO2;31;1;1;LL;30.53374690602548
