Resource;grid;Minor time;Major Time;Scenario;rate
OLIVINE;1;1;1;LL;42.44165471805756
OLIVINE;2;1;1;LL;22.11519173353312
OLIVINE;3;1;1;LL;22.11519173353312
OLIVINE;4;1;1;LL;22.9282502522956
OLIVINE;5;1;1;LL;39.51464405051264
OLIVINE;6;1;1;LL;22.11519173353312
OLIVINE;7;1;1;LL;37.4006919055958
OLIVINE;8;1;1;LL;22.11519173353312
OLIVINE;9;1;1;LL;29.107495002621672
OLIVINE;10;1;1;LL;22.11519173353312
OLIVINE;11;1;1;LL;22.11519173353312
OLIVINE;12;1;1;LL;14.635053353187084
OLIVINE;13;1;1;LL;22.11519173353312
OLIVINE;14;1;1;LL;22.11519173353312
OLIVINE;15;1;1;LL;30.896223747764736
OLIVINE;16;1;1;LL;22.11519173353312
OLIVINE;17;1;1;LL;22.11519173353312
OLIVINE;18;1;1;LL;19.67601617724568
OLIVINE;19;1;1;LL;26.017872627458637
OLIVINE;20;1;1;LL;20.97690980726565
OLIVINE;21;1;1;LL;22.11519173353312
OLIVINE;22;1;1;LL;22.11519173353312
OLIVINE;23;1;1;LL;22.11519173353312
OLIVINE;24;1;1;LL;22.11519173353312
OLIVINE;25;1;1;LL;15.773335279454551
OLIVINE;26;1;1;LL;36.7502450867202
OLIVINE;27;1;1;LL;37.238080197977695
OLIVINE;28;1;1;LL;20.81429810351316
OLIVINE;29;1;1;LL;21.30213321477064
OLIVINE;30;1;1;LL;22.11519173353312
OLIVINE;31;1;1;LL;22.11519173353312
BIOMASS;4;1;1;LL;7.91185392705608
BIOMASS;12;1;1;LL;5.050119528135184
BIOMASS;20;1;1;LL;7.238504657349472
