index;OID;Longitude;Latitude;route_CO2;PIP_IDs;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
18;CID27;8.7786;48.227348;;;MINERAL_CEMENT;19;1;LL;1.0;1179199.9999464;60473280.90136771;3740935.2334110048;26460868.847030215;30.715518255262097;0.0;606939.49643299;1008225.4335541717;408486.94196392025;0.40515437160113293;0.0;30.715518255262097;69.10878639788984;570523.1266470104;88.66804640271178;99.82430465315194;288.167889714436;0.01370211360294308;0.03327535335856869;0.03327535335856869;0.016637676679284345
26;CID41;9.732415;48.333264;;;MINERAL_CEMENT;27;1;LL;1.0;1687729.9999199999;86552383.28991406;5354213.552809079;38239322.94873192;30.933091215102273;0.0;869134.3901145968;1443022.6517715994;584646.935684723;0.40515437160113305;0.0;30.933091215102273;69.14476442549014;816986.3267077209;89.29612531509602;100.07785564059242;288.89982822620027;0.03331326369711719;0.08091515153899698;0.04763979818042829;0.05709525244878283
14;CID21;9.735574;48.368982;;;MINERAL_CEMENT;15;1;LL;1.0;1400300.0000568;71812021.07655123;4442360.590057688;31838623.884791404;31.01284177609569;0.0;721114.6392496356;1197267.7024485646;485078.24362388055;0.40515437160113305;0.0;31.01284177609569;69.14464645325376;677847.7608946573;89.52634530956396;100.15748822934944;289.1297076642223;0.04958452360201171;0.12044158233978305;0.03952643080078608;0.10067836693939002
20;CID29;9.888384;52.353363;;;MINERAL_CEMENT;21;1;LL;1.0;1002319.9999632;51402288.76661179;3179794.948427145;20495815.432398226;28.72421499098791;0.0;533372.1606276776;856991.6185285358;347213.90067236684;0.40515437160113305;0.0;28.72421499098791;71.44951492783049;501369.83099001687;82.9196501434923;100.1737299188184;289.1765933740294;0.06123132016461512;0.14928390422260357;0.028842321882820515;0.1348627432811933
7;CID11;8.614774;49.016926;;;MINERAL_CEMENT;8;1;LL;1.0;1002319.9999632;51402288.76661179;3179794.948427145;23108611.631783783;31.330963533849957;0.0;516367.15615596017;856991.6185285358;347213.90067236684;0.40515437160113305;0.0;31.330963533849957;69.17155703925232;485385.1267866025;90.44468354315164;100.50252057310227;290.1257300530378;0.07287811672721853;0.17758292558405608;0.028299021361452514;0.16343341490332983
10;CID17;8.03084;51.857225;;;MINERAL_CEMENT;11;1;LL;1.0;1002319.9999632;51402288.76661179;3179794.948427145;20910605.099345066;29.138044573318968;0.0;533313.478090187;856991.6185285358;347213.90067236684;0.40515437160113305;0.0;29.138044573318968;71.4416539272985;501314.66940477566;84.1142730147069;100.57969850061747;290.34852349579563;0.08452491328982194;0.20642337259214386;0.02884044700808777;0.19200314908809996
8;CID13;13.836808;52.489222;;;MINERAL_CEMENT;9;1;LL;1.0;1319229.9999696;67654483.00992131;4185171.2924723546;27485692.26547092;29.11048747377869;0.0;706229.0569428533;1127952.2038140078;456994.76633237745;0.40515437160113305;0.0;29.11048747377869;71.87873085432034;663855.313526282;84.0347225360057;100.98921832809903;291.5307051788199;0.09985415288345804;0.24451969423896333;0.038096321646819475;0.2254715334155536
13;CID20;8.746013;51.698479;;;MINERAL_CEMENT;14;1;LL;1.0;1002319.9999632;51402288.76661179;3179794.948427145;21531494.400756307;29.757496745713052;0.0;534541.2866837278;856991.6185285358;347213.90067236684;0.40515437160113305;0.0;29.757496745713052;71.60612881914415;502468.80948270403;85.9024770589831;101.3636255648572;292.6115255630469;0.11150094944606145;0.27339936905496615;0.028879674816002815;0.2589595316469647
27;CID42;10.162965;48.652954;;;MINERAL_CEMENT;28;1;LL;1.0;943360.0000272001;48378624.7246881;2992748.1869511283;22477409.454904146;32.10280876542753;0.0;486675.41809266707;806580.3469032564;326789.5535954127;0.405154371601133;0.0;32.10280876542753;69.26874035475763;457474.89300710696;92.67280837049387;101.37154912018516;292.63439889260155;0.12246264032923024;0.300055557202539;0.026656188147572868;0.2867274631287526
23;CID37;8.073849;51.759234;;;MINERAL_CEMENT;24;1;LL;1.0;1002319.9999632;51402288.76661179;3179794.948427145;21619571.389499165;29.845369868813552;0.0;534715.4589289669;856991.6185285358;347213.90067236684;0.40515437160113305;0.0;29.845369868813552;71.62946060013097;502632.5313932288;86.15614486598132;101.47483046894452;292.93254640709966;0.13410943689183363;0.3289407967257904;0.028885239523251394;0.3144981769641647
12;CID19;8.685598;49.357624;;;MINERAL_CEMENT;13;1;LL;1.0;1002319.9999632;51402288.76661179;3179794.948427145;24006593.697003935;32.22686710282306;0.0;517180.8997339255;856991.6185285358;347213.90067236684;0.40515437160113305;0.0;32.22686710282306;69.28056457322792;486150.0457498899;93.03093387322554;101.50743167605097;293.02665796727183;0.14575623345443706;0.3572658167461027;0.028325020020312286;0.3431033067359466
21;CID30;8.055751;51.765425;;;MINERAL_CEMENT;22;1;LL;1.0;1002319.9999632;51402288.76661179;3179794.948427145;21657247.82089703;29.882959093212197;0.0;534789.9640720558;856991.6185285358;347213.90067236684;0.40515437160113305;0.0;29.882959093212197;71.63944116665895;502702.56622773234;86.26465558898207;101.52240025987115;293.0698685383493;0.15740303001704048;0.3861534366676158;0.02888761992151312;0.37170962670685925
30;CID46;8.336864;51.602063;;;MINERAL_CEMENT;31;1;LL;1.0;1002319.9999632;51402288.76661179;3179794.948427145;21738806.21357;29.964328708380965;0.0;534951.2457935666;856991.6185285358;347213.90067236684;0.40515437160113305;0.0;29.964328708380965;71.66104615773145;502854.1710459525;86.49954938935997;101.62537486611241;293.3671305636429;0.1690498265796439;0.4150462094512484;0.028892772783632614;0.4005998230594321
5;CID9;8.335833;51.599521;;;MINERAL_CEMENT;6;1;LL;1.0;1002319.9999632;51402288.76661179;3179794.948427145;21746198.915246982;29.971704298688707;0.0;534965.864861133;856991.6185285358;347213.90067236684;0.40515437160113305;0.0;29.971704298688707;71.66300450007368;502867.912969465;86.52084088046291;101.63470879876239;293.3940753010375;0.18069662314224733;0.4439394493060332;0.028893239854784758;0.4294928293786408
1;CID2;8.503183;51.62267;;;MINERAL_CEMENT;2;1;LL;1.0;1002319.9999632;51402288.76661179;3179794.948427145;21747153.61215116;29.97265678582277;0.0;534967.7527742609;856991.6185285358;347213.90067236684;0.40515437160113305;0.0;29.97265678582277;71.66325740130694;502869.68760780524;86.52359047344386;101.63591418712971;293.3975549568518;0.19234341970485075;0.47283274947860193;0.028893300172568748;0.45838609939231756
17;CID26;8.336089;51.595161;;;MINERAL_CEMENT;18;1;LL;1.0;891770.0000832;45732918.68800487;2829082.270659614;19354884.456863027;29.97973704326917;0.0;475976.4424325157;762470.4842311369;308918.2499030779;0.4051543716011331;0.0;29.97973704326917;71.66513732784466;447417.85588656465;86.54402941217779;101.64487437111383;293.4234207749922;0.20270564311851424;0.49853968752235756;0.025706938043755623;0.48568621850047977
22;CID35;10.698973;48.774206;;;MINERAL_CEMENT;23;1;LL;1.0;1002319.9999632;51402288.76661179;3179794.948427145;24227134.86183144;32.44689779644945;0.0;517292.8105216542;856991.6185285358;347213.90067236684;0.40515437160113305;0.0;32.44689779644945;69.29555592839914;486255.2418903549;93.66610765054388;101.74245372484859;293.70510805088315;0.21435243968111767;0.5268682830306635;0.02832859550830591;0.5127039852765105
