process_tech;grid;Major Time;Scenario;number
LARGE_CO2_COMPRESSOR;32;1;LL;1.0
LARGE_CO2_COMPRESSOR;33;1;LL;1.0
MINERAL_CEMENT;1;1;LL;1.0
MINERAL_CEMENT;2;1;LL;1.0
MINERAL_CEMENT;3;1;LL;1.0
MINERAL_CEMENT;5;1;LL;1.0
MINERAL_CEMENT;6;1;LL;1.0
MINERAL_CEMENT;7;1;LL;1.0
MINERAL_CEMENT;8;1;LL;1.0
MINERAL_CEMENT;9;1;LL;1.0
MINERAL_CEMENT;10;1;LL;1.0
MINERAL_CEMENT;11;1;LL;1.0
MINERAL_CEMENT;13;1;LL;1.0
MINERAL_CEMENT;14;1;LL;1.0
MINERAL_CEMENT;15;1;LL;1.0
MINERAL_CEMENT;16;1;LL;1.0
MINERAL_CEMENT;17;1;LL;1.0
MINERAL_CEMENT;18;1;LL;1.0
MINERAL_CEMENT;19;1;LL;1.0
MINERAL_CEMENT;21;1;LL;1.0
MINERAL_CEMENT;22;1;LL;1.0
MINERAL_CEMENT;23;1;LL;1.0
MINERAL_CEMENT;24;1;LL;1.0
MINERAL_CEMENT;25;1;LL;1.0
MINERAL_CEMENT;26;1;LL;1.0
MINERAL_CEMENT;27;1;LL;1.0
MINERAL_CEMENT;28;1;LL;1.0
MINERAL_CEMENT;29;1;LL;1.0
MINERAL_CEMENT;30;1;LL;1.0
MINERAL_CEMENT;31;1;LL;1.0
BIOMASS_MINERAL_CEMENT;4;1;LL;1.0
BIOMASS_MINERAL_CEMENT;12;1;LL;1.0
BIOMASS_MINERAL_CEMENT;20;1;LL;1.0
