Resource;grid;Minor time;Major Time;Scenario;rate
OLIVINE;1;1;1;LL;42.44165471805755
OLIVINE;2;1;1;LL;22.115191733533116
OLIVINE;3;1;1;LL;22.115191733533116
OLIVINE;4;1;1;LL;22.928250252295594
OLIVINE;5;1;1;LL;39.51464405051262
OLIVINE;6;1;1;LL;22.115191733533116
OLIVINE;7;1;1;LL;37.400691905595785
OLIVINE;8;1;1;LL;22.115191733533116
OLIVINE;9;1;1;LL;29.107495002621665
OLIVINE;10;1;1;LL;22.115191733533116
OLIVINE;11;1;1;LL;22.115191733533116
OLIVINE;12;1;1;LL;14.63505335318708
OLIVINE;13;1;1;LL;22.115191733533116
OLIVINE;14;1;1;LL;22.115191733533116
OLIVINE;15;1;1;LL;30.89622374776473
OLIVINE;16;1;1;LL;22.115191733533116
OLIVINE;17;1;1;LL;22.115191733533116
OLIVINE;18;1;1;LL;19.67601617724568
OLIVINE;19;1;1;LL;26.01787262745863
OLIVINE;20;1;1;LL;20.97690980726564
OLIVINE;21;1;1;LL;22.115191733533116
OLIVINE;22;1;1;LL;22.115191733533116
OLIVINE;23;1;1;LL;22.115191733533116
OLIVINE;24;1;1;LL;22.115191733533116
OLIVINE;25;1;1;LL;15.77333527945455
OLIVINE;26;1;1;LL;36.75024508672019
OLIVINE;27;1;1;LL;37.23808019797768
OLIVINE;28;1;1;LL;20.81429810351315
OLIVINE;29;1;1;LL;21.302133214770635
OLIVINE;30;1;1;LL;22.115191733533116
OLIVINE;31;1;1;LL;22.115191733533116
BIOMASS;4;1;1;LL;7.911853927056077
BIOMASS;12;1;1;LL;5.050119528135183
BIOMASS;20;1;1;LL;7.238504657349471
