OID;Longitude;Latitude;Grid_id;GRIDTYPE;GRIDTYPECODE;TOT_CO2_STORES;LANDFALL;ONSHORE_GRIDS;IMPORT_LOCATIONS;EMISSION_FACTOR;LOCATION_FACTOR;AVAILABILITY;HARBOUR
CID1;10.481936;51.364109;1;CEMENT;11;0;0;1;1;0;1;1;0
CID2;8.503183;51.62267;2;CEMENT;11;0;0;1;1;0;1;1;0
CID3;8.036802;49.602402;3;CEMENT;11;0;0;1;1;0;1;1;0
CID4;7.887637;52.17459;4;CEMENT;11;0;0;1;1;0;1;1;0
CID5;8.258075;50.032201;5;CEMENT;11;0;0;1;1;0;1;1;0
CID6;6.702557;51.215198;6;CEMENT;11;0;0;1;1;0;1;1;0
CID7;7.473855;50.417212;7;CEMENT;11;0;0;1;1;0;1;1;0
CID8;8.349549;51.599704;8;CEMENT;11;0;0;1;1;0;1;1;0
CID9;8.335833;51.599521;9;CEMENT;11;0;0;1;1;0;1;1;0
CID10;11.660638;51.270124;10;CEMENT;11;0;0;1;1;0;1;1;0
CID11;8.614774;49.016926;11;CEMENT;11;0;0;1;1;0;1;1;0
CID12;6.560266;50.520752;12;CEMENT;11;0;0;1;1;0;1;1;0
CID13;13.836808;52.489222;13;CEMENT;11;0;0;1;1;0;1;1;0
CID14;14.650765;52.1576;14;CEMENT;11;0;0;1;1;0;1;1;0
CID15;7.704708;48.07753;15;CEMENT;11;0;0;1;1;0;1;1;0
CID16;12.029824;49.213555;16;CEMENT;11;0;0;1;1;0;1;1;0
CID17;8.03084;51.857225;17;CEMENT;11;0;0;1;1;0;1;1;0
CID18;9.876779;52.374756;18;CEMENT;11;0;0;1;1;0;1;1;0
TID3;-3.0617;53.5608;19;TERMINAL;30;0;1;1;1;0;1;1;0
TID4;0.2864;53.2711;20;TERMINAL;30;0;1;1;1;0;1;1;0
TID5;-5.894644763;54.20787732;21;TERMINAL;30;0;1;1;1;0;1;1;0
SID21;-3.495559357;53.64289201;22;STORAGE;20;500000000;0;0;1;0;1;1;0
SID26;1.120748635;53.82349023;23;STORAGE;20;500000000;0;0;1;0;1;1;0
SID97;7.785554999;54.31939305;24;STORAGE;20;1000000000;0;0;1;0;1;1;0
