From grid;To grid;Distribution type;Distribution mode;Minor time;Major Time;Scenario;rate
1;97;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;41.9957491365
2;79;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.88284246495
3;132;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.88284246495
4;71;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;22.6873587312
5;111;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;39.099490578
6;18;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;43.7656849299
7;138;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;37.007748289575
8;106;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.88284246495
9;143;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.80168236235
10;119;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.88284246495
11;83;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.88284246495
13;108;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.88284246495
14;77;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.88284246495
15;102;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;36.8468450325
16;128;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.88284246495
17;2;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.88284246495
18;80;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;43.7656849299
22;83;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;43.7656849299
24;22;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.88284246495
26;139;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;36.36413527274999
27;15;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;36.8468450325
29;127;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.07832619870001
31;6;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.88284246495
32;47;28INCH_CO2_OFFSHORE;MODE_1;1;1;LL;526.8713811659234
62;63;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;206.43887413395
63;64;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;206.43887413395
64;65;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;206.43887413395
65;66;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;206.43887413395
66;67;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;206.43887413395
67;68;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;206.43887413395
68;69;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;359.61877138859995
69;70;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;359.61877138859995
70;71;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;359.61877138859995
71;72;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;382.3061301198
72;73;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;382.3061301198
73;74;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;382.3061301198
74;75;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;526.4754451809749
75;76;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;526.4754451809749
76;32;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;526.4754451809749
77;78;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.88284246495
78;79;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.88284246495
79;80;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;43.7656849299
80;81;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;87.5313698598
81;82;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;87.5313698598
82;83;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;87.5313698598
83;84;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;153.17989725464997
84;85;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;153.17989725464997
85;68;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;153.17989725464997
87;88;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;102.173565924675
88;89;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;102.173565924675
89;90;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;144.16931506117498
90;91;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;144.16931506117498
91;92;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;144.16931506117498
92;93;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;144.16931506117498
93;94;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;144.16931506117498
94;74;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;144.16931506117498
97;98;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;41.9957491365
98;99;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;41.9957491365
99;89;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;41.9957491365
102;103;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;36.8468450325
103;104;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;36.8468450325
104;105;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;36.8468450325
105;106;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;36.8468450325
106;107;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;58.72968749745
107;108;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;58.72968749745
108;109;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;80.6125299624
109;110;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;167.33938355595
110;111;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;167.33938355595
111;112;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;206.43887413395
112;113;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;206.43887413395
113;114;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;206.43887413395
114;115;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;206.43887413395
115;62;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;206.43887413395
119;120;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.88284246495
120;121;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.88284246495
121;122;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.88284246495
122;123;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.88284246495
123;124;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.88284246495
124;125;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.88284246495
125;126;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.88284246495
126;127;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.88284246495
127;128;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;42.961168663650014
128;129;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;64.84401112860002
129;109;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;64.84401112860002
132;133;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.88284246495
133;109;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.88284246495
136;137;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.80168236235
137;138;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.80168236235
138;139;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;65.809430651925
139;140;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;102.173565924675
140;141;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;102.173565924675
141;87;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;102.173565924675
143;144;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.80168236235
144;145;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.80168236235
145;146;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.80168236235
146;147;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.80168236235
147;148;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.80168236235
148;149;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.80168236235
149;150;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.80168236235
150;136;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.80168236235
