index;OID;Longitude;Latitude;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
25;CID40;11.753223;51.813271;LINESTRING (11.75322300659939 51.81327100450306, 11.99111917651495 51.9629370344144, 11.66861266658751 52.23169245436482, 10.54655877692371 52.28544354451112, 10.51314784693269 52.30012450451081, 10.15494019703867 52.35668360454449, 10.02144000707173 52.45289000452966, 9.83443860511818 52.58920436450843, 9.570496122176575 52.87199988444584, 8.973483361349356 53.0668145744666, 8.700967106434458 53.09334270449917, 8.263352393572353 53.13594237455224, 8.242396048576385 53.16857007454352, 7.953062866654464 53.36139324451837, 8.110171487588872 53.53421272443054, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID25', 'PIPEID110', 'PIPEID111', 'PIPEID112', 'PIPEID58', 'PIPEID59', 'PIPEID60', 'PIPEID61', 'PIPEID62', 'PIPEID63', 'PIPEID64', 'PIPEID65', 'PIPEID45', 'PIPEID46', 'PIPEID47', 'PIPEID31'];415.4447611525865;CCS_CALCINED_CLAY_CEMENT;26;1;LL;1.0;1665619.9999439998;58062231.85923344;3970969.701337527;37754727.55951184;28.520130217837213;637099.6499785798;392300.5061166964;1424118.4249121195;1033165.5599493097;0.7254772790493634;7.806684183677524;36.32681440151474;31.624107556569662;368762.47574969457;58.564349168186865;67.9509219580844;109.54721974430917;0.0346560695551539;0.04767331607761726;0.04767331607761726;0.02383665803880863
4;CID5;8.258075;50.032201;LINESTRING (8.258075007885553 50.03220100577385, 8.436828698821961 50.07045092572532, 7.733585340012369 50.46014628569157, 7.545456543064829 50.55645031568608, 7.193834863171685 50.66395248570617, 7.001226810211395 50.89687385564496, 6.976407453216275 50.92936675563606, 6.788702759249924 51.2088835355552, 6.788702759227559 51.41903117546909, 7.470152409987529 51.51288352530916, 7.492746637976023 51.55126659528983, 7.586917636928262 51.71124429520962, 7.825562689835213 51.84806745511443, 7.921020710797964 51.90534226507568, 7.800107216831091 51.97534481506892, 7.943294248766165 52.15671505497417, 8.315580531609168 52.52900133477032, 8.166029631614419 53.01583724461211, 8.242396048576385 53.16857007454352, 7.953062866654464 53.36139324451837, 8.110171487588872 53.53421272443054, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID4', 'PIPEID82', 'PIPEID83', 'PIPEID84', 'PIPEID85', 'PIPEID86', 'PIPEID33', 'PIPEID34', 'PIPEID35', 'PIPEID36', 'PIPEID37', 'PIPEID38', 'PIPEID39', 'PIPEID40', 'PIPEID41', 'PIPEID42', 'PIPEID43', 'PIPEID44', 'PIPEID45', 'PIPEID46', 'PIPEID47', 'PIPEID31'];558.5059361072164;CCS_CALCINED_CLAY_CEMENT;5;1;LL;1.0;1790909.999808;62429744.87059947;4269670.961743414;39859120.6487931;28.109409248829554;685023.0749265599;421216.225804571;1531242.3771158387;1110881.553315078;0.7254772790493634;8.293074974055019;36.402484222884574;31.579603144578527;395943.2522562967;58.68634042762448;67.9820873674631;109.59746312366664;0.07191901159622777;0.09891370317336506;0.051240387095747804;0.07329350962549117
6;CID10;11.660638;51.270124;LINESTRING (11.66063800667777 51.27012400471651, 12.32258419646291 51.45230172455081, 11.99111917651495 51.9629370344144, 11.66861266658751 52.23169245436482, 10.54655877692371 52.28544354451112, 10.51314784693269 52.30012450451081, 10.15494019703867 52.35668360454449, 10.02144000707173 52.45289000452966, 9.83443860511818 52.58920436450843, 9.570496122176575 52.87199988444584, 8.973483361349356 53.0668145744666, 8.700967106434458 53.09334270449917, 8.263352393572353 53.13594237455224, 8.242396048576385 53.16857007454352, 7.953062866654464 53.36139324451837, 8.110171487588872 53.53421272443054, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID6', 'PIPEID109', 'PIPEID110', 'PIPEID111', 'PIPEID112', 'PIPEID58', 'PIPEID59', 'PIPEID60', 'PIPEID61', 'PIPEID62', 'PIPEID63', 'PIPEID64', 'PIPEID65', 'PIPEID45', 'PIPEID46', 'PIPEID47', 'PIPEID31'];507.4776479386107;CCS_CALCINED_CLAY_CEMENT;7;1;LL;1.0;1695100.0000872;59089881.9856622;4041252.3512624856;37654743.35135521;28.066936024028266;648375.7500333539;399014.62825009314;1449324.060874557;1051451.6761440476;0.7254772790493635;8.77323536665451;36.84017139068278;31.605948688614376;375073.75055508746;59.39195870282065;68.44612007929715;110.34555442231286;0.10718846291641995;0.1474234667475539;0.04850976357418885;0.12316858496045949
2;CID3;8.036802;49.602402;LINESTRING (8.036802008009117 49.60240200599639, 8.018018163010685 49.64268187598275, 8.492819411842612 49.72778775585845, 8.546600007826111 49.71660000585326, 8.509157078805796 50.00216182574059, 8.436828698821961 50.07045092572532, 7.733585340012369 50.46014628569157, 7.545456543064829 50.55645031568608, 7.193834863171685 50.66395248570617, 7.001226810211395 50.89687385564496, 6.976407453216275 50.92936675563606, 6.788702759249924 51.2088835355552, 6.788702759227559 51.41903117546909, 7.470152409987529 51.51288352530916, 7.492746637976023 51.55126659528983, 7.586917636928262 51.71124429520962, 7.825562689835213 51.84806745511443, 7.921020710797964 51.90534226507568, 7.800107216831091 51.97534481506892, 7.943294248766165 52.15671505497417, 8.315580531609168 52.52900133477032, 8.166029631614419 53.01583724461211, 8.242396048576385 53.16857007454352, 7.953062866654464 53.36139324451837, 8.110171487588872 53.53421272443054, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID2', 'PIPEID103', 'PIPEID104', 'PIPEID80', 'PIPEID81', 'PIPEID82', 'PIPEID83', 'PIPEID84', 'PIPEID85', 'PIPEID86', 'PIPEID33', 'PIPEID34', 'PIPEID35', 'PIPEID36', 'PIPEID37', 'PIPEID38', 'PIPEID39', 'PIPEID40', 'PIPEID41', 'PIPEID42', 'PIPEID43', 'PIPEID44', 'PIPEID45', 'PIPEID46', 'PIPEID47', 'PIPEID31'];632.8519427346638;CCS_CALCINED_CLAY_CEMENT;3;1;LL;1.0;1002319.9999632;34940104.12757221;2389610.085753243;22781563.263406735;28.581891133630755;383387.39998592396;236959.7707499434;856991.6185285358;621727.9475781922;0.7254772790493634;8.514514495045953;37.096405628676706;31.742677865993613;222742.18450494675;59.805047260954595;68.83908349467032;110.97907120729357;0.12804344282565158;0.1761401273034102;0.028716660555856283;0.16178179702548207
3;CID4;7.887637;52.17459;LINESTRING (7.887637007782804 52.17459000497664, 7.943294248766165 52.15671505497417, 8.315580531609168 52.52900133477032, 8.166029631614419 53.01583724461211, 8.242396048576385 53.16857007454352, 7.953062866654464 53.36139324451837, 8.110171487588872 53.53421272443054, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID3', 'PIPEID42', 'PIPEID43', 'PIPEID44', 'PIPEID45', 'PIPEID46', 'PIPEID47', 'PIPEID31'];200.0463540810817;CCS_CALCINED_CLAY_CEMENT;4;1;LL;1.0;1039169.9999232;36224666.77797398;2477463.3976373277;25786728.948760767;30.667794511781842;397482.52497062396;246512.98136406203;888498.6632943355;644585.5926857711;0.7254772790493634;6.365803521299247;37.03359803308109;31.851400331955176;231722.20248221827;59.703791865471246;68.88499836503627;111.05309296076753;0.1496651499366244;0.20593944469811057;0.029799317394700375;0.19103978600076038
17;CID26;8.336089;51.595161;LINESTRING (8.336089007692191 51.59516100512659, 8.341324485683826 51.66167835509964, 8.282205428702673 51.66697676510758, 8.110957030742256 51.83508298507088, 8.037655198768109 51.81780803509008, 7.864296495829453 51.77695279513574, 7.843872374830123 51.83822515511516, 7.825562689835213 51.84806745511443, 7.921020710797964 51.90534226507568, 7.800107216831091 51.97534481506892, 7.943294248766165 52.15671505497417, 8.315580531609168 52.52900133477032, 8.166029631614419 53.01583724461211, 8.242396048576385 53.16857007454352, 7.953062866654464 53.36139324451837, 8.110171487588872 53.53421272443054, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID17', 'PIPEID51', 'PIPEID52', 'PIPEID53', 'PIPEID54', 'PIPEID55', 'PIPEID56', 'PIPEID39', 'PIPEID40', 'PIPEID41', 'PIPEID42', 'PIPEID43', 'PIPEID44', 'PIPEID45', 'PIPEID46', 'PIPEID47', 'PIPEID31'];302.2406539012;CCS_CALCINED_CLAY_CEMENT;18;1;LL;1.0;891770.0000832;31086416.176366895;2126050.1501009897;21740765.40945247;30.23240030307052;341102.02503182396;211228.99192348347;762470.4842311369;553155.0122554558;0.7254772790493635;6.886090462023125;37.11849076509365;31.80357968233875;198555.25240807442;59.84065185942703;68.92207044743239;111.11285879527865;0.16821994824063255;0.23150175612462087;0.025562311426510304;0.2187206004113657
5;CID9;8.335833;51.599521;LINESTRING (8.335833007691845 51.59952100512495, 8.336089007692191 51.59516100512659, 8.341324485683826 51.66167835509964, 8.282205428702673 51.66697676510758, 8.110957030742256 51.83508298507088, 8.037655198768109 51.81780803509008, 7.864296495829453 51.77695279513574, 7.843872374830123 51.83822515511516, 7.825562689835213 51.84806745511443, 7.921020710797964 51.90534226507568, 7.800107216831091 51.97534481506892, 7.943294248766165 52.15671505497417, 8.315580531609168 52.52900133477032, 8.166029631614419 53.01583724461211, 8.242396048576385 53.16857007454352, 7.953062866654464 53.36139324451837, 8.110171487588872 53.53421272443054, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID5', 'PIPEID17', 'PIPEID51', 'PIPEID52', 'PIPEID53', 'PIPEID54', 'PIPEID55', 'PIPEID56', 'PIPEID39', 'PIPEID40', 'PIPEID41', 'PIPEID42', 'PIPEID43', 'PIPEID44', 'PIPEID45', 'PIPEID46', 'PIPEID47', 'PIPEID31'];302.74130561198655;CCS_CALCINED_CLAY_CEMENT;6;1;LL;1.0;1002319.9999632;34940104.12757221;2389610.085753243;24428639.636041284;30.22515513384528;383387.39998592396;237400.04355300628;856991.6185285358;621727.9475781922;0.7254772790493634;6.896014473153726;37.121169606999004;31.80165596897098;223156.04093982588;59.84497055995986;68.92282557596998;111.11407617731646;0.18907492814986418;0.2602324900909007;0.028730733966279842;0.2458671231077608
30;CID46;8.336864;51.602063;LINESTRING (8.336864007691252 51.60206300512377, 8.335833007691845 51.59952100512495, 8.336089007692191 51.59516100512659, 8.341324485683826 51.66167835509964, 8.282205428702673 51.66697676510758, 8.110957030742256 51.83508298507088, 8.037655198768109 51.81780803509008, 7.864296495829453 51.77695279513574, 7.843872374830123 51.83822515511516, 7.825562689835213 51.84806745511443, 7.921020710797964 51.90534226507568, 7.800107216831091 51.97534481506892, 7.943294248766165 52.15671505497417, 8.315580531609168 52.52900133477032, 8.166029631614419 53.01583724461211, 8.242396048576385 53.16857007454352, 7.953062866654464 53.36139324451837, 8.110171487588872 53.53421272443054, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID30', 'PIPEID5', 'PIPEID17', 'PIPEID51', 'PIPEID52', 'PIPEID53', 'PIPEID54', 'PIPEID55', 'PIPEID56', 'PIPEID39', 'PIPEID40', 'PIPEID41', 'PIPEID42', 'PIPEID43', 'PIPEID44', 'PIPEID45', 'PIPEID46', 'PIPEID47', 'PIPEID31'];303.0421641969254;CCS_CALCINED_CLAY_CEMENT;31;1;LL;1.0;1002319.9999632;34940104.12757221;2389610.085753243;24421971.7563216;30.218502687800175;383387.39998592396;237386.85782086063;856991.6185285358;621727.9475781922;0.7254772790493634;6.907923286510445;37.12642597431062;31.799889633501454;223143.64635160897;59.853444623421396;68.92631560781207;111.11970263938797;0.2099299080590958;0.28896280257254897;0.028730312481648257;0.27459764633172484
21;CID30;8.055751;51.765425;LINESTRING (8.055751007767336 51.76542500510752, 8.037655198768109 51.81780803509008, 7.864296495829453 51.77695279513574, 7.843872374830123 51.83822515511516, 7.825562689835213 51.84806745511443, 7.921020710797964 51.90534226507568, 7.800107216831091 51.97534481506892, 7.943294248766165 52.15671505497417, 8.315580531609168 52.52900133477032, 8.166029631614419 53.01583724461211, 8.242396048576385 53.16857007454352, 7.953062866654464 53.36139324451837, 8.110171487588872 53.53421272443054, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID21', 'PIPEID54', 'PIPEID55', 'PIPEID56', 'PIPEID39', 'PIPEID40', 'PIPEID41', 'PIPEID42', 'PIPEID43', 'PIPEID44', 'PIPEID45', 'PIPEID46', 'PIPEID47', 'PIPEID31'];268.0969998728383;CCS_CALCINED_CLAY_CEMENT;22;1;LL;1.0;1002319.9999632;34940104.12757221;2389610.085753243;24433856.86855383;30.23036029039482;383387.39998592396;240227.18135412183;856991.6185285358;621727.9475781922;0.7254772790493634;6.709938373458121;36.94029866385294;32.180373943838894;225813.55047287449;59.55337909389551;69.12067260769183;111.43303567978151;0.23078488796832744;0.3177839065783189;0.028821104005769926;0.3033733545754339
23;CID37;8.073849;51.759234;LINESTRING (8.073849007761982 51.75923400510686, 8.055751007767336 51.76542500510752, 8.037655198768109 51.81780803509008, 7.864296495829453 51.77695279513574, 7.843872374830123 51.83822515511516, 7.825562689835213 51.84806745511443, 7.921020710797964 51.90534226507568, 7.800107216831091 51.97534481506892, 7.943294248766165 52.15671505497417, 8.315580531609168 52.52900133477032, 8.166029631614419 53.01583724461211, 8.242396048576385 53.16857007454352, 7.953062866654464 53.36139324451837, 8.110171487588872 53.53421272443054, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID23', 'PIPEID21', 'PIPEID54', 'PIPEID55', 'PIPEID56', 'PIPEID39', 'PIPEID40', 'PIPEID41', 'PIPEID42', 'PIPEID43', 'PIPEID44', 'PIPEID45', 'PIPEID46', 'PIPEID47', 'PIPEID31'];269.5672044794384;CCS_CALCINED_CLAY_CEMENT;24;1;LL;1.0;1002319.9999632;34940104.12757221;2389610.085753243;24448000.6016783;30.244471286009986;383387.39998592396;240255.15058637544;856991.6185285358;621727.9475781922;0.7254772790493634;6.746203728391226;36.99067501440121;32.18412064871954;225839.8415511929;59.634593431897166;69.17479566312076;111.52029027582607;0.2516398678775591;0.3466059046263326;0.02882199804801372;0.3321949056023258
