From grid;To grid;Distribution type;Distribution mode;Minor time;Major Time;Scenario;rate
1;97;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;41.99574913649999
2;79;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;43.76568492989999
3;132;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.882842464949995
4;71;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;22.687358731199996
5;111;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;39.09949057799999
6;18;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;43.76568492989999
7;138;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;37.00774828957498
8;106;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.882842464949995
9;143;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.801682362349997
10;119;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.882842464949995
11;83;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.882842464949995
12;21;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;14.481292807799996
13;108;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.882842464949995
14;77;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.882842464949995
15;102;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;67.4184631844517
16;128;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.882842464949995
17;2;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.882842464949995
18;80;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;63.23497859609999
19;104;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;25.744520546774996
20;152;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;20.756519692199998
21;98;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;36.36413527274999
22;83;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;43.76568492986263
23;30;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.8828424649454
24;22;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.8828424649454
25;116;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;15.607615580445268
26;139;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;36.36413527274999
27;15;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;36.84684503249999
28;103;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;20.595616439054723
29;127;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.07832619869999
30;117;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;43.76568492989999
31;6;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.882842464949995
32;47;28INCH_CO2_OFFSHORE;MODE_1;1;1;LL;799.4
33;54;24INCH_CO2_OFFSHORE;MODE_1;1;1;LL;542.8263275651846
62;63;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;342.7239297820499
63;64;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;342.7239297820499
64;65;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;342.7239297820499
65;66;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;342.7239297820499
66;67;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;342.7239297820499
67;68;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;342.7239297820499
68;69;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;537.2559631678125
69;70;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;537.2559631678125
70;71;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;537.2559631678125
71;72;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;559.9433218990125
72;73;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;559.9433218990125
73;74;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;559.9433218990125
74;75;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;761.2332919251749
75;76;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;761.2332919251749
76;32;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;761.2332919251749
77;78;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.882842464949995
78;79;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.882842464949995
79;80;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;65.64852739484999
80;81;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;128.88350599094997
81;82;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;128.88350599094997
82;83;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;128.88350599094997
83;84;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;194.5320333857626
84;85;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;194.5320333857626
85;68;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;194.5320333857626
87;88;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;102.17356592471234
88;89;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;102.17356592471234
89;90;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;180.53345033396232
90;91;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;180.53345033396232
91;92;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;180.53345033396232
92;93;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;201.2899700261623
93;94;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;201.2899700261623
94;74;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;201.2899700261623
97;98;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;41.99574913649999
98;99;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;78.35988440924999
