grid_from;grid_to;type;TM;EXSTNG_PIPES
62;63;32INCH_CO2_ONSHORE;1;1
63;64;32INCH_CO2_ONSHORE;1;1
64;65;32INCH_CO2_ONSHORE;1;1
65;66;32INCH_CO2_ONSHORE;1;1
66;67;32INCH_CO2_ONSHORE;1;1
67;68;32INCH_CO2_ONSHORE;1;1
68;69;32INCH_CO2_ONSHORE;1;1
69;70;32INCH_CO2_ONSHORE;1;1
70;71;32INCH_CO2_ONSHORE;1;1
71;72;32INCH_CO2_ONSHORE;1;1
72;73;32INCH_CO2_ONSHORE;1;1
73;74;32INCH_CO2_ONSHORE;1;1
74;75;32INCH_CO2_ONSHORE;1;1
75;76;32INCH_CO2_ONSHORE;1;1
77;78;32INCH_CO2_ONSHORE;1;1
78;79;32INCH_CO2_ONSHORE;1;1
79;80;32INCH_CO2_ONSHORE;1;1
80;81;32INCH_CO2_ONSHORE;1;1
81;82;32INCH_CO2_ONSHORE;1;1
82;83;32INCH_CO2_ONSHORE;1;1
83;84;32INCH_CO2_ONSHORE;1;1
84;85;32INCH_CO2_ONSHORE;1;1
85;68;32INCH_CO2_ONSHORE;1;1
86;87;32INCH_CO2_ONSHORE;1;1
87;88;32INCH_CO2_ONSHORE;1;1
88;89;32INCH_CO2_ONSHORE;1;1
89;90;32INCH_CO2_ONSHORE;1;1
90;91;32INCH_CO2_ONSHORE;1;1
91;92;32INCH_CO2_ONSHORE;1;1
92;93;32INCH_CO2_ONSHORE;1;1
93;94;32INCH_CO2_ONSHORE;1;1
94;74;32INCH_CO2_ONSHORE;1;1
95;96;32INCH_CO2_ONSHORE;1;1
96;90;32INCH_CO2_ONSHORE;1;1
97;98;32INCH_CO2_ONSHORE;1;1
98;99;32INCH_CO2_ONSHORE;1;1
99;89;32INCH_CO2_ONSHORE;1;1
101;100;32INCH_CO2_ONSHORE;1;1
100;75;32INCH_CO2_ONSHORE;1;1
102;103;32INCH_CO2_ONSHORE;1;1
103;104;32INCH_CO2_ONSHORE;1;1
104;105;32INCH_CO2_ONSHORE;1;1
105;106;32INCH_CO2_ONSHORE;1;1
106;107;32INCH_CO2_ONSHORE;1;1
107;108;32INCH_CO2_ONSHORE;1;1
108;109;32INCH_CO2_ONSHORE;1;1
109;110;32INCH_CO2_ONSHORE;1;1
110;111;32INCH_CO2_ONSHORE;1;1
111;112;32INCH_CO2_ONSHORE;1;1
112;113;32INCH_CO2_ONSHORE;1;1
113;114;32INCH_CO2_ONSHORE;1;1
114;115;32INCH_CO2_ONSHORE;1;1
115;62;32INCH_CO2_ONSHORE;1;1
116;117;32INCH_CO2_ONSHORE;1;1
117;118;32INCH_CO2_ONSHORE;1;1
118;119;32INCH_CO2_ONSHORE;1;1
119;120;32INCH_CO2_ONSHORE;1;1
120;121;32INCH_CO2_ONSHORE;1;1
121;122;32INCH_CO2_ONSHORE;1;1
122;123;32INCH_CO2_ONSHORE;1;1
123;124;32INCH_CO2_ONSHORE;1;1
124;125;32INCH_CO2_ONSHORE;1;1
125;126;32INCH_CO2_ONSHORE;1;1
126;127;32INCH_CO2_ONSHORE;1;1
127;128;32INCH_CO2_ONSHORE;1;1
128;129;32INCH_CO2_ONSHORE;1;1
129;109;32INCH_CO2_ONSHORE;1;1
130;131;32INCH_CO2_ONSHORE;1;1
131;132;32INCH_CO2_ONSHORE;1;1
132;133;32INCH_CO2_ONSHORE;1;1
133;109;32INCH_CO2_ONSHORE;1;1
134;135;32INCH_CO2_ONSHORE;1;1
135;136;32INCH_CO2_ONSHORE;1;1
136;137;32INCH_CO2_ONSHORE;1;1
137;138;32INCH_CO2_ONSHORE;1;1
138;139;32INCH_CO2_ONSHORE;1;1
139;140;32INCH_CO2_ONSHORE;1;1
140;141;32INCH_CO2_ONSHORE;1;1
141;87;32INCH_CO2_ONSHORE;1;1
142;143;32INCH_CO2_ONSHORE;1;1
143;144;32INCH_CO2_ONSHORE;1;1
144;145;32INCH_CO2_ONSHORE;1;1
145;146;32INCH_CO2_ONSHORE;1;1
146;147;32INCH_CO2_ONSHORE;1;1
147;148;32INCH_CO2_ONSHORE;1;1
148;149;32INCH_CO2_ONSHORE;1;1
149;150;32INCH_CO2_ONSHORE;1;1
150;136;32INCH_CO2_ONSHORE;1;1
151;152;32INCH_CO2_ONSHORE;1;1
152;153;32INCH_CO2_ONSHORE;1;1
153;154;32INCH_CO2_ONSHORE;1;1
154;155;32INCH_CO2_ONSHORE;1;1
155;156;32INCH_CO2_ONSHORE;1;1
156;157;32INCH_CO2_ONSHORE;1;1
157;158;32INCH_CO2_ONSHORE;1;1
158;92;32INCH_CO2_ONSHORE;1;1
