Resource;grid;Minor time;Major Time;Scenario;rate
EMITTED_CO2;1;1;1;LL;18.66272903803491
EMITTED_CO2;2;1;1;LL;11.431746173741171
EMITTED_CO2;3;1;1;LL;29.13336423010371
EMITTED_CO2;4;1;1;LL;15.199294161728702
EMITTED_CO2;5;1;1;LL;11.378357303474598
EMITTED_CO2;6;1;1;LL;20.3634184487088
EMITTED_CO2;7;1;1;LL;26.471808704684506
EMITTED_CO2;8;1;1;LL;63.44237442750593
EMITTED_CO2;9;1;1;LL;81.9870684940877
EMITTED_CO2;10;1;1;LL;74.66679451773696
EMITTED_CO2;11;1;1;LL;102.60096
EMITTED_CO2;12;1;1;LL;45.67850958541025
EMITTED_CO2;13;1;1;LL;19.4159643786697
EMITTED_CO2;14;1;1;LL;25.748647439422328
EMITTED_CO2;15;1;1;LL;17.721668755780577
EMITTED_CO2;16;1;1;LL;17.89011120448508
EMITTED_CO2;17;1;1;LL;18.59728863288432
EMITTED_CO2;18;1;1;LL;29.15935901265955
EMITTED_CO2;19;1;1;LL;67.83453880989633
EMITTED_CO2;20;1;1;LL;29.8261508891236
EMITTED_CO2;21;1;1;LL;19.52094381017914
EMITTED_CO2;22;1;1;LL;112.73221920502084
EMITTED_CO2;23;1;1;LL;42.945607303984005
EMITTED_CO2;24;1;1;LL;47.825789954884485
EMITTED_CO2;25;1;1;LL;18.441699314684435
EMITTED_CO2;26;1;1;LL;18.64222246243731
EMITTED_CO2;27;1;1;LL;13.246479879480574
EMITTED_CO2;28;1;1;LL;63.44237442750593
EMITTED_CO2;29;1;1;LL;16.362574094235498
EMITTED_CO2;30;1;1;LL;18.326258892186463
EMITTED_CO2;31;1;1;LL;20.64350902332252
EMITTED_CO2;32;1;1;LL;8.611833291604636
EMITTED_CO2;33;1;1;LL;28.043085414925216
EMITTED_CO2;34;1;1;LL;18.036014887490417
