Resource;grid;Minor time;Major Time;Scenario;rate
EMITTED_CO2;1;1;1;LL;18.66272903803492
EMITTED_CO2;2;1;1;LL;11.431746173741177
EMITTED_CO2;3;1;1;LL;29.133364230103727
EMITTED_CO2;4;1;1;LL;15.199294161728718
EMITTED_CO2;5;1;1;LL;11.378357303474598
EMITTED_CO2;6;1;1;LL;20.363418448708806
EMITTED_CO2;7;1;1;LL;26.47180870468452
EMITTED_CO2;8;1;1;LL;19.24662366795475
EMITTED_CO2;9;1;1;LL;23.91938602730908
EMITTED_CO2;10;1;1;LL;22.361340943973733
EMITTED_CO2;11;1;1;LL;31.31592188456772
EMITTED_CO2;12;1;1;LL;14.040040529561038
EMITTED_CO2;13;1;1;LL;19.4159643786697
EMITTED_CO2;14;1;1;LL;25.748647439422346
EMITTED_CO2;15;1;1;LL;17.72166875578059
EMITTED_CO2;16;1;1;LL;17.890111204485088
EMITTED_CO2;17;1;1;LL;18.59728863288433
EMITTED_CO2;18;1;1;LL;29.159359012659564
EMITTED_CO2;19;1;1;LL;20.0543807184213
EMITTED_CO2;20;1;1;LL;29.82615088912361
EMITTED_CO2;21;1;1;LL;19.520943810179148
EMITTED_CO2;22;1;1;LL;32.26605445278555
EMITTED_CO2;23;1;1;LL;12.969939185191622
EMITTED_CO2;24;1;1;LL;14.263421215024689
EMITTED_CO2;25;1;1;LL;18.44169931468444
EMITTED_CO2;26;1;1;LL;18.64222246243732
EMITTED_CO2;27;1;1;LL;13.246479879480578
EMITTED_CO2;28;1;1;LL;18.14756982492309
EMITTED_CO2;29;1;1;LL;16.362574094235498
EMITTED_CO2;30;1;1;LL;18.326258892186477
EMITTED_CO2;31;1;1;LL;20.643509023322537
EMITTED_CO2;32;1;1;LL;8.61183329160464
EMITTED_CO2;33;1;1;LL;28.04308541492523
EMITTED_CO2;34;1;1;LL;18.036014887490428
