From grid;To grid;Distribution type;Distribution mode;Minor time;Major Time;Scenario;rate
1;25;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;100.2315924636582
2;16;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;81.81395547796676
3;14;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;460.4889554856789
4;21;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;23.032962329849997
5;2;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;17.793236301298023
6;3;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;31.65667808309999
7;25;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;90.60359588324992
8;23;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;92.13184931175
9;3;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;272.73647261025
10;8;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;63.74999999744998
11;9;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;236.05839041804995
12;21;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;20.43493150519789
13;15;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;31.22003424802499
14;26;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;560.9170376714417
15;14;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;59.60188356226275
16;3;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;110.19580479226676
17;7;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.38184931430001
18;2;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;45.900000000135485
19;10;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;30.34674657405001
20;38;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;45.900000000000055
21;1;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;71.8497431493582
22;28;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;50.43236302575
23;11;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;111.34417807799998
24;7;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.395547945449984
25;38;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;219.2170376612081
26;36;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;612.0043664364166
27;26;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.177226025999992
28;11;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;78.81421234004999
29;37;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;25.761986300019
30;39;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.38184931430003
31;35;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;89.94863012108087
32;31;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;57.20034244837501
33;32;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;43.66438354575567
34;37;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.381849314300094
35;45;16INCH_CO2_OFFSHORE;MODE_1;1;1;LL;285.40000000000003
36;43;28INCH_CO2_OFFSHORE;MODE_1;1;1;LL;628.1
37;63;9INCH_CO2_OFFSHORE;MODE_1;1;1;LL;54.14383561433608
38;71;16INCH_CO2_OFFSHORE;MODE_1;1;1;LL;285.3999999999999
39;68;28INCH_CO2_OFFSHORE;MODE_1;1;1;LL;632.2867092433142
