Country;VID;Country_code;Region;Sub_region;Latitude;Longitude;Capacity
Germany;CID1;276;Europe;Western Europe;51.364109;10.481936;2.61
Germany;CID2;276;Europe;Western Europe;51.62267;8.503183;
Germany;CID3;276;Europe;Western Europe;49.602402;8.036802;
Germany;CID4;276;Europe;Western Europe;52.17459;7.887637;1.41
Germany;CID5;276;Europe;Western Europe;50.032201;8.258075;2.43
Germany;CID6;276;Europe;Western Europe;51.215198;6.702557;
Germany;CID7;276;Europe;Western Europe;50.417212;7.473855;
Germany;CID8;276;Europe;Western Europe;51.599704;8.349549;
Germany;CID9;276;Europe;Western Europe;51.599521;8.335833;
Germany;CID10;276;Europe;Western Europe;51.270124;11.660638;2.3
Germany;CID11;276;Europe;Western Europe;49.016926;8.614774;
Germany;CID12;276;Europe;Western Europe;50.520752;6.560266;0.45
Germany;CID13;276;Europe;Western Europe;52.489222;13.836808;1.79
Germany;CID14;276;Europe;Western Europe;52.1576;14.650765;
Germany;CID15;276;Europe;Western Europe;48.07753;7.704708;
Germany;CID16;276;Europe;Western Europe;49.213555;12.029824;
Germany;CID17;276;Europe;Western Europe;51.857225;8.03084;
Germany;CID18;276;Europe;Western Europe;52.374756;9.876779;0.9
Germany;CID19;276;Europe;Western Europe;49.357624;8.685598;
Germany;CID20;276;Europe;Western Europe;51.698479;8.746013;
Germany;CID21;276;Europe;Western Europe;48.368982;9.735574;1.9
Germany;CID22;276;Europe;Western Europe;49.808084;9.618221;
Germany;CID23;276;Europe;Western Europe;51.618256;8.5105;
Germany;CID24;276;Europe;Western Europe;52.305;13.63851;
Germany;CID25;276;Europe;Western Europe;49.974307;8.316073;
Germany;CID26;276;Europe;Western Europe;51.595161;8.336089;1.21
Germany;CID27;276;Europe;Western Europe;48.227348;8.7786;1.6
Germany;CID28;276;Europe;Western Europe;53.875099;9.584787;1.29
Germany;CID29;276;Europe;Western Europe;52.353363;9.888384;
Germany;CID30;276;Europe;Western Europe;51.765425;8.055751;
Germany;CID31;276;Europe;Western Europe;53.138469;8.711021;
Germany;CID32;276;Europe;Western Europe;51.547365;7.506201;
Germany;CID33;276;Europe;Western Europe;51.512061;6.728638;
Germany;CID34;276;Europe;Western Europe;54.144146;12.104727;
Germany;CID35;276;Europe;Western Europe;48.774206;10.698973;
Germany;CID36;276;Europe;Western Europe;49.077417;9.162092;
Germany;CID37;276;Europe;Western Europe;51.759234;8.073849;
Germany;CID38;276;Europe;Western Europe;50.334928;6.765204;
Germany;CID39;276;Europe;Western Europe;47.791873;12.181552;0.97
Germany;CID40;276;Europe;Western Europe;51.813271;11.753223;2.26
Germany;CID41;276;Europe;Western Europe;48.333264;9.732415;2.29
Germany;CID42;276;Europe;Western Europe;48.652954;10.162965;1.28
Germany;CID43;276;Europe;Western Europe;49.954669;9.768927;1.31
Germany;CID44;276;Europe;Western Europe;49.500143;11.553871;
Germany;CID45;276;Europe;Western Europe;48.884764;10.998115;
Germany;CID46;276;Europe;Western Europe;51.602063;8.336864;
Germany;CID47;276;Europe;Western Europe;51.35858;6.710362;
Germany;CID48;276;Europe;Western Europe;52.487446;13.495733;
Germany;CID49;276;Europe;Western Europe;50.584533;9.510138;
Germany;CID50;276;Europe;Western Europe;53.899492;10.809747;
Germany;CID51;276;Europe;Western Europe;51.014295;11.684831;
Germany;CID52;276;Europe;Western Europe;49.425386;8.515097;
United Kingdom;CID53;826;Europe;Northern Europe;53.337916;-1.751755;1.5
United Kingdom;CID54;826;Europe;Northern Europe;51.397546;-3.392125;0.5
United Kingdom;CID55;826;Europe;Northern Europe;53.265267;-1.851891;1
United Kingdom;CID56;826;Europe;Northern Europe;55.979125;-2.47192;1
United Kingdom;CID57;826;Europe;Northern Europe;52.907516;-0.905543;
United Kingdom;CID58;826;Europe;Northern Europe;53.675822;-0.529654;0.7
United Kingdom;CID59;826;Europe;Northern Europe;52.377293;-1.286254;1.8
United Kingdom;CID60;826;Europe;Northern Europe;51.457535;0.351728;
United Kingdom;CID61;826;Europe;Northern Europe;53.888913;-2.383373;1.3
United Kingdom;CID62;826;Europe;Northern Europe;53.152678;-3.061635;0.91
United Kingdom;CID63;826;Europe;Northern Europe;52.640356;-0.547016;2.16
United Kingdom;CID64;826;Europe;Northern Europe;54.59506;-1.169809;
United Kingdom;CID65;826;Europe;Northern Europe;51.471516;0.261598;
United Kingdom;CID66;826;Europe;Northern Europe;51.584677;-3.787058;
United Kingdom;CID67;826;Europe;Northern Europe;54.618105;-6.767677;0.48
United Kingdom;CID68;826;Europe;Northern Europe;53.044003;-1.875169;0.96
United Kingdom;CID69;826;Europe;Northern Europe;53.571377;-0.6155;
United Kingdom;CID70;826;Europe;Northern Europe;54.143487;-7.572383;1.17
Austria;CID71;40;Europe;Western Europe;47.873176;16.085765;0.27
Austria;CID72;40;Europe;Western Europe;47.908647;14.116847;0.55
Austria;CID73;40;Europe;Western Europe;47.983793;16.606415;
Austria;CID74;40;Europe;Western Europe;46.737096;15.573051;1.15
Austria;CID75;40;Europe;Western Europe;47.723208;13.051516;0.7
Austria;CID76;40;Europe;Western Europe;47.921903;13.777083;0.58
Austria;CID77;40;Europe;Western Europe;47.552199;10.638447;
Austria;CID78;40;Europe;Western Europe;46.851283;14.532924;
Belgium;CID79;56;Europe;Western Europe;50.600652;3.486634;1.8
Belgium;CID80;56;Europe;Western Europe;50.576126;3.442482;0.9
Belgium;CID81;56;Europe;Western Europe;50.765227;5.673726;1.5
Belgium;CID82;56;Europe;Western Europe;50.472411;3.992566;2.57
Switzerland;CID83;756;Europe;Western Europe;47.414148;8.158997;0.86
Switzerland;CID84;756;Europe;Western Europe;47.033567;7.028609;
Switzerland;CID85;756;Europe;Western Europe;46.91631;9.54928;1.19
Switzerland;CID86;756;Europe;Western Europe;47.521397;8.238877;
Switzerland;CID87;756;Europe;Western Europe;46.655283;6.545972;0.94
Denmark;CID88;208;Europe;Northern Europe;57.061731;9.977316;2.95
Estonia;CID89;233;Europe;Northern Europe;59.496786;26.5284;0.75
Finland;CID90;246;Europe;Northern Europe;61.031247;28.174569;0.78
Finland;CID91;246;Europe;Northern Europe;60.285141;22.288667;1.56
France;CID92;250;Europe;Western Europe;50.586554;1.619138;1.14
France;CID93;250;Europe;Western Europe;48.69024;6.965379;
France;CID94;250;Europe;Western Europe;50.699073;2.11344;0.82
France;CID95;250;Europe;Western Europe;47.135245;5.552513;0.91
France;CID96;250;Europe;Western Europe;46.809772;-0.138968;2.08
France;CID97;250;Europe;Western Europe;43.80483;4.621082;0.99
France;CID98;250;Europe;Western Europe;45.226037;-0.365494;1.39
France;CID99;250;Europe;Western Europe;44.642952;4.754983;
France;CID100;250;Europe;Western Europe;48.980312;1.820137;2
France;CID101;250;Europe;Western Europe;47.587909;0.328983;0.76
France;CID102;250;Europe;Western Europe;48.768805;4.564675;1.78
France;CID103;250;Europe;Western Europe;47.083275;3.002822;
France;CID104;250;Europe;Western Europe;47.62921;7.235748;
France;CID105;250;Europe;Western Europe;43.799009;7.326102;
France;CID106;250;Europe;Western Europe;45.614734;0.10411;1.14
France;CID107;250;Europe;Western Europe;49.467215;0.317085;2.59
France;CID108;250;Europe;Western Europe;44.520718;4.688932;0.94
France;CID109;250;Europe;Western Europe;45.865692;4.659723;
France;CID110;250;Europe;Western Europe;43.186126;0.99038;
France;CID111;250;Europe;Western Europe;43.024394;3.029105;0.67
France;CID112;250;Europe;Western Europe;48.108869;-1.035972;1.16
France;CID113;250;Europe;Western Europe;43.419334;5.386825;1.12
France;CID114;250;Europe;Western Europe;46.250804;3.424963;1.12
France;CID115;250;Europe;Western Europe;43.793674;7.374769;1.75
France;CID116;250;Europe;Western Europe;45.804972;5.421124;1.26
France;CID117;250;Europe;Western Europe;45.230667;5.668787;0.91
France;CID118;250;Europe;Western Europe;48.563372;6.109185;1.47
Ireland;CID119;372;Europe;Northern Europe;53.432118;-7.143371;0.7
Ireland;CID120;372;Europe;Northern Europe;52.641364;-8.688373;0.8
Ireland;CID121;372;Europe;Northern Europe;53.684307;-6.387712;2.8
Ireland;CID122;372;Europe;Northern Europe;54.130891;-7.578912;1.3
Lithuania;CID123;440;Europe;Northern Europe;56.314379;22.917322;1.3
Luxembourg;CID124;442;Europe;Western Europe;49.465827;6.006684;1.41
Latvia;CID125;428;Europe;Northern Europe;56.690803;22.592287;1.6
Norway;CID126;578;Europe;Northern Europe;68.094529;16.375326;0.5
Sweden;CID127;752;Europe;Northern Europe;58.384691;13.826921;0.6
Sweden;CID128;752;Europe;Northern Europe;57.710068;18.804074;2.5
