Resource;grid;Minor time;Major Time;Scenario;rate
EMITTED_CO2;1;1;1;LL;39.23639966420488
EMITTED_CO2;2;1;1;LL;15.751224111954096
EMITTED_CO2;3;1;1;LL;40.156209966638
EMITTED_CO2;4;1;1;LL;31.901464349137708
EMITTED_CO2;5;1;1;LL;24.241492122387697
EMITTED_CO2;6;1;1;LL;43.2590917131926
EMITTED_CO2;7;1;1;LL;36.23254278693401
EMITTED_CO2;8;1;1;LL;39.88376569217627
EMITTED_CO2;9;1;1;LL;50.51114399538534
EMITTED_CO2;10;1;1;LL;46.618096197849766
EMITTED_CO2;11;1;1;LL;64.71156291302411
EMITTED_CO2;12;1;1;LL;28.918631800252765
EMITTED_CO2;13;1;1;LL;26.720546972750604
EMITTED_CO2;14;1;1;LL;35.476939385796804
EMITTED_CO2;15;1;1;LL;24.39697769015976
EMITTED_CO2;16;1;1;LL;24.64817290701456
EMITTED_CO2;17;1;1;LL;25.478346681761515
EMITTED_CO2;18;1;1;LL;40.19727065980155
EMITTED_CO2;19;1;1;LL;27.495135322790944
EMITTED_CO2;20;1;1;LL;40.83161006632138
EMITTED_CO2;21;1;1;LL;40.187924456064025
EMITTED_CO2;22;1;1;LL;71.1622204954298
EMITTED_CO2;23;1;1;LL;26.93333286691456
EMITTED_CO2;24;1;1;LL;29.79395767140173
EMITTED_CO2;25;1;1;LL;25.246318827571017
EMITTED_CO2;26;1;1;LL;25.610033019250125
EMITTED_CO2;27;1;1;LL;28.516015889995057
EMITTED_CO2;28;1;1;LL;40.03601135782581
EMITTED_CO2;29;1;1;LL;22.403971695037452
EMITTED_CO2;30;1;1;LL;38.86335380430999
EMITTED_CO2;31;1;1;LL;28.34488735167873
EMITTED_CO2;32;1;1;LL;30.2571324167728
EMITTED_CO2;33;1;1;LL;38.43592529014423
EMITTED_CO2;34;1;1;LL;24.67347605614744
