Resource;grid;Minor time;Major Time;Scenario;rate
OLIVINE;1;1;1;LL;28.68320422007956
OLIVINE;2;1;1;LL;18.313122693406957
OLIVINE;3;1;1;LL;46.38736042609854
OLIVINE;4;1;1;LL;23.27752342648153
OLIVINE;5;1;1;LL;17.98216264608156
OLIVINE;6;1;1;LL;31.99280470879594
OLIVINE;7;1;1;LL;41.25968606483187
OLIVINE;8;1;1;LL;28.68320422007956
OLIVINE;9;1;1;LL;37.06752545506858
OLIVINE;10;1;1;LL;33.75792496635219
OLIVINE;11;1;1;LL;46.38736042609855
OLIVINE;12;1;1;LL;20.65190703737491
OLIVINE;13;1;1;LL;31.55152464440688
OLIVINE;14;1;1;LL;41.25968606483186
OLIVINE;15;1;1;LL;28.68320422007956
OLIVINE;16;1;1;LL;28.68320422007956
OLIVINE;17;1;1;LL;28.68320422007956
OLIVINE;18;1;1;LL;46.38736042609855
OLIVINE;19;1;1;LL;30.668964511763143
OLIVINE;20;1;1;LL;46.38736042609854
OLIVINE;21;1;1;LL;28.68320422007956
OLIVINE;22;1;1;LL;50.96784751231614
OLIVINE;23;1;1;LL;19.41632285631241
OLIVINE;24;1;1;LL;21.622723182123337
OLIVINE;25;1;1;LL;28.68320422007956
OLIVINE;26;1;1;LL;30.227684447374077
OLIVINE;27;1;1;LL;21.402083147996
OLIVINE;28;1;1;LL;28.68320422007956
OLIVINE;29;1;1;LL;26.035523829879573
OLIVINE;30;1;1;LL;28.68320422007956
OLIVINE;31;1;1;LL;33.09600487170141
OLIVINE;33;1;1;LL;44.12800647756234
OLIVINE;34;1;1;LL;28.68320422007956
BIOMASS;2;1;1;LL;6.319311334452353
BIOMASS;3;1;1;LL;16.00689174771407
BIOMASS;7;1;1;LL;14.237484571613024
BIOMASS;13;1;1;LL;10.887488204097211
BIOMASS;14;1;1;LL;14.237484571613022
BIOMASS;15;1;1;LL;9.897716548451696
BIOMASS;16;1;1;LL;9.897716548451696
BIOMASS;17;1;1;LL;9.897716548451696
BIOMASS;18;1;1;LL;16.00689174771407
BIOMASS;19;1;1;LL;10.58294307856495
BIOMASS;20;1;1;LL;16.00689174771407
BIOMASS;25;1;1;LL;9.897716548451696
BIOMASS;26;1;1;LL;10.430670516465767
BIOMASS;29;1;1;LL;8.984081174522727
BIOMASS;31;1;1;LL;11.420442172111288
BIOMASS;33;1;1;LL;15.227256223256814
BIOMASS;34;1;1;LL;9.897716548451696
