index;OID;Longitude;Latitude;route_CO2;PIP_IDs;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
26;CID101;-6.768733;42.553519;;;MINERAL_CEMENT;27;1;LL;1.0;969999.9999360001;49744812.137994155;3077261.85238653;17980227.572150465;26.81215687422161;0.0;499600.5983927134;829357.7599452797;336017.9220631531;0.40515437160113305;0.0;26.81215687422161;69.15547244638596;469624.56248915044;77.40001487596527;95.96762932060757;277.034629174785;0.008174619566655134;0.01950072231423192;0.01950072231423192;0.00975036115711596
4;CID79;-2.190187;42.882983;;;MINERAL_CEMENT;5;1;LL;1.0;814999.9999968;41795898.86080514;2585534.4431449985;15343522.361525234;27.102247593933754;0.0;424710.94198423246;696831.519997264;282324.33659635385;0.405154371601133;0.0;27.102247593933754;69.96988792334558;399228.2854651784;78.23743448851;97.07213551727934;280.22306330390137;0.015042985491642092;0.035997827022835126;0.016497104708603206;0.027749274668533525
12;CID87;-5.722483;43.560582;;;BIOMASS_MINERAL_CEMENT;13;1;LL;1.0;1430000.0000664;73335135.42817335;4536581.906605577;64542694.58200985;53.41059124216258;0.0;468143.9829625907;1222661.4400567727;792204.1771524837;0.647934212365198;0.0;53.41059124216258;43.956058760953375;440055.34398483514;96.41093506268884;97.36665000311595;175.7555861563213;0.034315671089999826;0.06582489200702688;0.02982706498419175;0.050911359514931004
29;CID104;-8.100041;37.135933;;;MINERAL_CEMENT;30;1;LL;1.0;1299999.9999648002;66668304.92980223;4124165.3693382638;25498835.556982394;27.890328678824954;0.0;680885.9586515112;1111510.399969904;450333.2976279304;0.405154371601133;0.0;27.890328678824954;70.32445300881756;640032.8011324203;80.51242817813338;98.21478168764251;283.52159803197117;0.04527134679831435;0.09221740099268917;0.026392508985662297;0.07902114649985803
14;CID89;-5.775146;43.33011;;;BIOMASS_MINERAL_CEMENT;15;1;LL;1.0;1299999.9999648002;66668304.92980223;4124165.3693382638;59610504.37301527;54.130073922637656;0.0;427435.04913159914;1111510.399969904;720185.615540226;0.647934212365198;0.0;54.130073922637656;44.147093422970016;401788.9461837031;97.7096662014532;98.27716734560767;177.39915209219362;0.0627919700682607;0.11937499855157258;0.027157597558883403;0.10579619977213087
5;CID80;-4.46587;41.941676;;;MINERAL_CEMENT;6;1;LL;1.0;1450000.0000415999;74360801.65661855;4600030.604518438;29182857.64871654;28.401948510982777;0.0;757899.2868151345;1239761.6000355685;502294.831997626;0.40515437160113305;0.0;28.401948510982777;70.18088381113779;712425.3296062262;81.98934712969769;98.58283232212057;284.58406848958276;0.07501176220513914;0.14877752016027232;0.029402521608699744;0.13407625935592243
9;CID84;-0.542867;38.378014;;;MINERAL_CEMENT;10;1;LL;1.0;1529999.9999423998;78463466.57039939;4853825.39616988;28688749.507177312;27.026656460371036;0.0;816749.045386328;1308162.2399507514;530007.6502795772;0.405154371601133;0.0;27.026656460371036;71.67579880510594;767744.1026631482;78.0192217244384;98.70245526547697;284.929390115095;0.08790574976940378;0.18018983648195558;0.03141231632168326;0.16448367832111394
33;CID108;-8.935936;38.501466;;;BIOMASS_MINERAL_CEMENT;34;1;LL;1.0;1299999.9999648002;66668304.92980223;4124165.3693382638;59598027.22486884;54.12047611637091;0.0;432279.3005037032;1111510.399969904;720185.615540226;0.647934212365198;0.0;54.12047611637091;44.64742585551881;406342.54247348086;97.69234129537732;98.76790197188973;178.28497235905755;0.10542637303935014;0.20745765466410643;0.02726781818215085;0.193823745573031
15;CID90;-2.899342;43.204824;;;BIOMASS_MINERAL_CEMENT;16;1;LL;1.0;1299999.9999648002;66668304.92980223;4124165.3693382638;59842179.52539552;54.30828557831959;0.0;431835.98933089525;1111510.399969904;720185.615540226;0.647934212365198;0.0;54.30828557831959;44.60163901655659;405925.8299710414;98.0313543154354;98.90992459487617;178.54133600461424;0.1229469963092965;0.23471538624463092;0.027257731580524497;0.22108652045436866
28;CID103;-9.009904;38.922169;;;BIOMASS_MINERAL_CEMENT;29;1;LL;1.0;1179999.9999384;60514307.55014612;3743473.1813052865;54308939.21303335;54.30036454751795;0.0;392517.58409705636;1008909.4399473317;653706.9433200874;0.647934212365198;0.0;54.30036454751795;44.66346851244352;368966.52905123285;98.01705614032657;98.96383305996147;178.6386456468742;0.13885033127700205;0.2594693829432121;0.024753996698581165;0.24709238459392152
