Resource;grid;Minor time;Major Time;Scenario;rate
EMITTED_CO2;1;1;1;LL;39.23639966420488
EMITTED_CO2;2;1;1;LL;15.751224111954098
EMITTED_CO2;3;1;1;LL;40.15620996663801
EMITTED_CO2;4;1;1;LL;31.90146434913771
EMITTED_CO2;5;1;1;LL;24.241492122387697
EMITTED_CO2;6;1;1;LL;43.2590917131926
EMITTED_CO2;7;1;1;LL;36.23254278693403
EMITTED_CO2;8;1;1;LL;39.88376569217627
EMITTED_CO2;9;1;1;LL;50.51114399538535
EMITTED_CO2;10;1;1;LL;46.61809619784977
EMITTED_CO2;11;1;1;LL;64.71156291302412
EMITTED_CO2;12;1;1;LL;28.91863180025277
EMITTED_CO2;13;1;1;LL;26.72054697275061
EMITTED_CO2;14;1;1;LL;35.47693938579681
EMITTED_CO2;15;1;1;LL;24.39697769015977
EMITTED_CO2;16;1;1;LL;24.64817290701457
EMITTED_CO2;17;1;1;LL;25.47834668176153
EMITTED_CO2;18;1;1;LL;40.197270659801575
EMITTED_CO2;19;1;1;LL;27.49513532279096
EMITTED_CO2;20;1;1;LL;40.8316100663214
EMITTED_CO2;21;1;1;LL;40.187924456064025
EMITTED_CO2;22;1;1;LL;71.16222049542982
EMITTED_CO2;23;1;1;LL;26.93333286691456
EMITTED_CO2;24;1;1;LL;29.79395767140173
EMITTED_CO2;25;1;1;LL;25.246318827571024
EMITTED_CO2;26;1;1;LL;25.610033019250125
EMITTED_CO2;27;1;1;LL;28.516015889995057
EMITTED_CO2;28;1;1;LL;40.03601135782581
EMITTED_CO2;29;1;1;LL;22.403971695037463
EMITTED_CO2;30;1;1;LL;38.86335380431
EMITTED_CO2;31;1;1;LL;28.344887351678747
EMITTED_CO2;32;1;1;LL;11.833968042921942
EMITTED_CO2;33;1;1;LL;38.435925290144255
EMITTED_CO2;34;1;1;LL;24.673476056147443
