Resource;grid;Minor time;Major Time;Scenario;rate
OLIVINE;1;1;1;LL;28.683204220079556
OLIVINE;2;1;1;LL;18.31312269340695
OLIVINE;3;1;1;LL;46.387360426098525
OLIVINE;4;1;1;LL;23.27752342648153
OLIVINE;5;1;1;LL;17.982162646081555
OLIVINE;6;1;1;LL;31.992804708795934
OLIVINE;7;1;1;LL;41.259686064831854
OLIVINE;8;1;1;LL;28.683204220079556
OLIVINE;9;1;1;LL;37.067525455068576
OLIVINE;10;1;1;LL;33.757924966352185
OLIVINE;11;1;1;LL;46.387360426098525
OLIVINE;12;1;1;LL;20.651907037374908
OLIVINE;13;1;1;LL;31.551524644406875
OLIVINE;14;1;1;LL;41.259686064831854
OLIVINE;15;1;1;LL;28.683204220079556
OLIVINE;16;1;1;LL;28.683204220079556
OLIVINE;17;1;1;LL;28.683204220079556
OLIVINE;18;1;1;LL;46.387360426098525
OLIVINE;19;1;1;LL;30.668964511763136
OLIVINE;20;1;1;LL;46.387360426098525
OLIVINE;21;1;1;LL;28.683204220079556
OLIVINE;22;1;1;LL;50.967847512316126
OLIVINE;23;1;1;LL;19.41632285631241
OLIVINE;24;1;1;LL;21.62272318212333
OLIVINE;25;1;1;LL;28.683204220079556
OLIVINE;26;1;1;LL;30.22768444737407
OLIVINE;27;1;1;LL;21.402083147995995
OLIVINE;28;1;1;LL;28.683204220079556
OLIVINE;29;1;1;LL;26.03552382987957
OLIVINE;30;1;1;LL;28.683204220079556
OLIVINE;31;1;1;LL;33.0960048717014
OLIVINE;32;1;1;LL;13.679682011523376
OLIVINE;33;1;1;LL;44.12800647756234
OLIVINE;34;1;1;LL;28.683204220079556
BIOMASS;2;1;1;LL;6.319311334452352
BIOMASS;3;1;1;LL;16.006891747714068
BIOMASS;7;1;1;LL;14.23748457161302
BIOMASS;13;1;1;LL;10.88748820409721
BIOMASS;14;1;1;LL;14.23748457161302
BIOMASS;15;1;1;LL;9.897716548451696
BIOMASS;16;1;1;LL;9.897716548451696
BIOMASS;17;1;1;LL;9.897716548451696
BIOMASS;18;1;1;LL;16.006891747714068
BIOMASS;19;1;1;LL;10.582943078564949
BIOMASS;20;1;1;LL;16.006891747714068
BIOMASS;25;1;1;LL;9.897716548451696
BIOMASS;26;1;1;LL;10.430670516465767
BIOMASS;29;1;1;LL;8.984081174522725
BIOMASS;31;1;1;LL;11.420442172111288
BIOMASS;32;1;1;LL;4.720449430410127
BIOMASS;33;1;1;LL;15.22725622325681
BIOMASS;34;1;1;LL;9.897716548451696
