Resource;grid;Minor time;Major Time;Scenario;rate
EMITTED_CO2;1;1;1;LL;40.14977569841203
EMITTED_CO2;2;1;1;LL;15.565985362090952
EMITTED_CO2;3;1;1;LL;63.88287723010372
EMITTED_CO2;4;1;1;LL;32.63685895278826
EMITTED_CO2;5;1;1;LL;24.849082710099797
EMITTED_CO2;6;1;1;LL;44.329739725081325
EMITTED_CO2;7;1;1;LL;35.73279059003628
EMITTED_CO2;8;1;1;LL;40.733670328331854
EMITTED_CO2;9;1;1;LL;51.68726171255794
EMITTED_CO2;10;1;1;LL;47.64994201322717
EMITTED_CO2;11;1;1;LL;66.06543488456771
EMITTED_CO2;12;1;1;LL;29.510714124221728
EMITTED_CO2;13;1;1;LL;26.42178002513481
EMITTED_CO2;14;1;1;LL;56.65693763131551
EMITTED_CO2;15;1;1;LL;24.120213048909072
EMITTED_CO2;16;1;1;LL;24.359135300716822
EMITTED_CO2;17;1;1;LL;25.11675734269251
EMITTED_CO2;18;1;1;LL;39.713022884564936
EMITTED_CO2;19;1;1;LL;27.096156259380106
EMITTED_CO2;20;1;1;LL;40.2650491859461
EMITTED_CO2;21;1;1;LL;41.00799047055626
EMITTED_CO2;22;1;1;LL;70.44688352869011
EMITTED_CO2;23;1;1;LL;17.542538709997334
EMITTED_CO2;24;1;1;LL;30.461348698086525
EMITTED_CO2;25;1;1;LL;24.89606615784068
EMITTED_CO2;26;1;1;LL;25.39832548798023
EMITTED_CO2;27;1;1;LL;29.279122386984405
EMITTED_CO2;28;1;1;LL;39.6346164853002
EMITTED_CO2;29;1;1;LL;22.118640837510767
EMITTED_CO2;30;1;1;LL;39.81330555256358
EMITTED_CO2;31;1;1;LL;28.00222533965341
EMITTED_CO2;32;1;1;LL;18.859501698014952
EMITTED_CO2;33;1;1;LL;37.92906405494436
EMITTED_CO2;34;1;1;LL;24.3563735039681
