process_tech;grid;Major Time;Scenario;number
LARGE_CO2_COMPRESSOR;35;1;LL;1.0
INCUMBENT_CEMENT;1;1;LL;1.0
INCUMBENT_CEMENT;2;1;LL;1.0
INCUMBENT_CEMENT;3;1;LL;1.0
INCUMBENT_CEMENT;4;1;LL;1.0
INCUMBENT_CEMENT;5;1;LL;1.0
INCUMBENT_CEMENT;6;1;LL;1.0
INCUMBENT_CEMENT;7;1;LL;1.0
INCUMBENT_CEMENT;8;1;LL;1.0
INCUMBENT_CEMENT;9;1;LL;1.0
INCUMBENT_CEMENT;10;1;LL;1.0
INCUMBENT_CEMENT;11;1;LL;1.0
INCUMBENT_CEMENT;12;1;LL;1.0
INCUMBENT_CEMENT;13;1;LL;1.0
INCUMBENT_CEMENT;14;1;LL;1.0
INCUMBENT_CEMENT;15;1;LL;1.0
INCUMBENT_CEMENT;16;1;LL;1.0
INCUMBENT_CEMENT;17;1;LL;1.0
INCUMBENT_CEMENT;18;1;LL;1.0
INCUMBENT_CEMENT;19;1;LL;1.0
INCUMBENT_CEMENT;20;1;LL;1.0
INCUMBENT_CEMENT;21;1;LL;1.0
INCUMBENT_CEMENT;22;1;LL;1.0
INCUMBENT_CEMENT;23;1;LL;1.0
INCUMBENT_CEMENT;24;1;LL;1.0
INCUMBENT_CEMENT;25;1;LL;1.0
INCUMBENT_CEMENT;26;1;LL;1.0
INCUMBENT_CEMENT;27;1;LL;1.0
INCUMBENT_CEMENT;28;1;LL;1.0
INCUMBENT_CEMENT;29;1;LL;1.0
INCUMBENT_CEMENT;30;1;LL;1.0
INCUMBENT_CEMENT;31;1;LL;1.0
INCUMBENT_CEMENT;32;1;LL;1.0
INCUMBENT_CEMENT;33;1;LL;1.0
INCUMBENT_CEMENT;34;1;LL;1.0
CALCINED_CLAY_CEMENT;1;1;LL;1.0
CALCINED_CLAY_CEMENT;3;1;LL;1.0
CALCINED_CLAY_CEMENT;4;1;LL;1.0
CALCINED_CLAY_CEMENT;5;1;LL;1.0
CALCINED_CLAY_CEMENT;6;1;LL;1.0
CALCINED_CLAY_CEMENT;8;1;LL;1.0
CALCINED_CLAY_CEMENT;9;1;LL;1.0
CALCINED_CLAY_CEMENT;10;1;LL;1.0
CALCINED_CLAY_CEMENT;11;1;LL;1.0
CALCINED_CLAY_CEMENT;12;1;LL;1.0
CALCINED_CLAY_CEMENT;14;1;LL;1.0
CALCINED_CLAY_CEMENT;21;1;LL;1.0
CALCINED_CLAY_CEMENT;22;1;LL;1.0
CALCINED_CLAY_CEMENT;24;1;LL;1.0
CALCINED_CLAY_CEMENT;27;1;LL;1.0
CALCINED_CLAY_CEMENT;28;1;LL;1.0
CALCINED_CLAY_CEMENT;30;1;LL;1.0
CALCINED_CLAY_CEMENT;32;1;LL;1.0
CALCINED_CLAY_BIOMASS_CEMENT;2;1;LL;1.0
CALCINED_CLAY_BIOMASS_CEMENT;7;1;LL;1.0
CALCINED_CLAY_BIOMASS_CEMENT;13;1;LL;1.0
CALCINED_CLAY_BIOMASS_CEMENT;15;1;LL;1.0
CALCINED_CLAY_BIOMASS_CEMENT;16;1;LL;1.0
CALCINED_CLAY_BIOMASS_CEMENT;17;1;LL;1.0
CALCINED_CLAY_BIOMASS_CEMENT;18;1;LL;1.0
CALCINED_CLAY_BIOMASS_CEMENT;19;1;LL;1.0
CALCINED_CLAY_BIOMASS_CEMENT;20;1;LL;1.0
CALCINED_CLAY_BIOMASS_CEMENT;23;1;LL;1.0
CALCINED_CLAY_BIOMASS_CEMENT;25;1;LL;1.0
CALCINED_CLAY_BIOMASS_CEMENT;26;1;LL;1.0
CALCINED_CLAY_BIOMASS_CEMENT;29;1;LL;1.0
CALCINED_CLAY_BIOMASS_CEMENT;31;1;LL;1.0
CALCINED_CLAY_BIOMASS_CEMENT;33;1;LL;1.0
CALCINED_CLAY_BIOMASS_CEMENT;34;1;LL;1.0
