Resource;grid;Minor time;Major Time;Scenario;rate
BIOMASS;2;1;1;LL;6.911314316441652
BIOMASS;7;1;1;LL;15.57127442248955
BIOMASS;13;1;1;LL;11.907445149098317
BIOMASS;15;1;1;LL;10.824950134748176
BIOMASS;16;1;1;LL;10.824950134748176
BIOMASS;17;1;1;LL;10.824950134748176
BIOMASS;18;1;1;LL;17.506442433777533
BIOMASS;19;1;1;LL;11.574369759281955
BIOMASS;20;1;1;LL;17.506442433777533
BIOMASS;23;1;1;LL;7.327658552617946
BIOMASS;25;1;1;LL;10.824950134748176
BIOMASS;26;1;1;LL;11.40783206510321
BIOMASS;29;1;1;LL;9.825723968216844
BIOMASS;31;1;1;LL;12.490327079453357
BIOMASS;33;1;1;LL;16.65376943246308
BIOMASS;34;1;1;LL;10.824950134748176
CLAY;1;1;1;LL;25.870941919648505
CLAY;2;1;1;LL;16.517601378609648
CLAY;3;1;1;LL;41.839283302570585
CLAY;4;1;1;LL;20.995264405578
CLAY;5;1;1;LL;16.219090511539733
CLAY;6;1;1;LL;28.85605060429407
CLAY;7;1;1;LL;37.21435491014453
CLAY;8;1;1;LL;25.870941919648505
CLAY;9;1;1;LL;33.43321725129466
CLAY;10;1;1;LL;30.448108566649086
CLAY;11;1;1;LL;41.839283302570585
CLAY;12;1;1;LL;18.62707818117067
CLAY;13;1;1;LL;28.458036113705315
CLAY;14;1;1;LL;37.21435491014452
CLAY;15;1;1;LL;25.870941919648505
CLAY;16;1;1;LL;25.870941919648505
CLAY;17;1;1;LL;25.870941919648505
CLAY;18;1;1;LL;41.839283302570585
CLAY;19;1;1;LL;27.6620071290412
CLAY;20;1;1;LL;41.83928330257058
CLAY;21;1;1;LL;25.870941919648505
CLAY;22;1;1;LL;45.97067373098998
CLAY;23;1;1;LL;17.512637606824836
CLAY;24;1;1;LL;19.50271006325521
CLAY;25;1;1;LL;25.870941919648505
CLAY;26;1;1;LL;27.26399263845244
CLAY;27;1;1;LL;19.303702816217537
CLAY;28;1;1;LL;25.870941919648505
CLAY;29;1;1;LL;23.48285497262937
CLAY;30;1;1;LL;25.870941919648505
CLAY;31;1;1;LL;29.851086832509267
CLAY;32;1;1;LL;12.338449222197816
CLAY;33;1;1;LL;39.80144909374152
CLAY;34;1;1;LL;25.870941919648505
