Resource;grid;Minor time;Major Time;Scenario;rate
EMITTED_CO2;1;1;1;LL;40.14977569841203
EMITTED_CO2;2;1;1;LL;15.56598536209096
EMITTED_CO2;3;1;1;LL;63.88287723010373
EMITTED_CO2;4;1;1;LL;32.63685895278826
EMITTED_CO2;5;1;1;LL;24.849082710099797
EMITTED_CO2;6;1;1;LL;44.329739725081325
EMITTED_CO2;7;1;1;LL;35.732790590036295
EMITTED_CO2;8;1;1;LL;40.733670328331854
EMITTED_CO2;9;1;1;LL;51.68726171255796
EMITTED_CO2;10;1;1;LL;47.649942013227175
EMITTED_CO2;11;1;1;LL;66.06543488456772
EMITTED_CO2;12;1;1;LL;29.51071412422173
EMITTED_CO2;13;1;1;LL;26.42178002513481
EMITTED_CO2;14;1;1;LL;56.65693763131551
EMITTED_CO2;15;1;1;LL;24.120213048909086
EMITTED_CO2;16;1;1;LL;24.35913530071683
EMITTED_CO2;17;1;1;LL;25.11675734269252
EMITTED_CO2;18;1;1;LL;39.71302288456495
EMITTED_CO2;19;1;1;LL;27.096156259380106
EMITTED_CO2;20;1;1;LL;40.26504918594611
EMITTED_CO2;21;1;1;LL;41.007990470556265
EMITTED_CO2;22;1;1;LL;70.44688352869012
EMITTED_CO2;23;1;1;LL;17.542538709997338
EMITTED_CO2;24;1;1;LL;30.461348698086525
EMITTED_CO2;25;1;1;LL;24.89606615784068
EMITTED_CO2;26;1;1;LL;25.39832548798024
EMITTED_CO2;27;1;1;LL;29.279122386984405
EMITTED_CO2;28;1;1;LL;39.6346164853002
EMITTED_CO2;29;1;1;LL;22.11864083751078
EMITTED_CO2;30;1;1;LL;39.81330555256359
EMITTED_CO2;31;1;1;LL;28.002225339653425
EMITTED_CO2;32;1;1;LL;18.859501698014952
EMITTED_CO2;33;1;1;LL;37.92906405494438
EMITTED_CO2;34;1;1;LL;24.356373503968108
