index;OID;Longitude;Latitude;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
24;CID99;-6.672312;37.359766;LINESTRING (-6.672311983822705 37.35976601733982, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID24', 'PIPEID37'];88.41581921011414;CCS_CALCINED_CLAY_CEMENT;25;1;LL;1.0;1299999.9999648002;45316999.92645228;3099302.7291774647;35212342.99482858;32.93947644955637;497249.999986536;335959.6878269204;1111510.399969904;806375.5406052356;0.7254772790493634;6.2288577877328395;39.168334237289216;34.69917536004521;335959.6878269205;63.14531126388019;73.86750959733442;119.08565877613269;0.019617445497638573;0.027790648346030487;0.027790648346030487;0.013895324173015243
19;CID94;-6.073448;36.618249;LINESTRING (-6.073447983937021 36.61824901758658, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID19', 'PIPEID37'];149.38039699456206;CCS_CALCINED_CLAY_CEMENT;20;1;LL;1.0;2102400.0;73288046.65227154;5012287.736922411;56961256.45404048;32.94650265986566;804167.9999999999;543353.555830827;1797568.8192000003;1304095.3358571935;0.7254772790493635;6.894588539177099;39.84109119904276;34.70104093616585;543353.555830827;64.22989779486485;74.54213213520862;120.1732528995289;0.05134338197098633;0.07273525060313821;0.044944602257107724;0.050262949474584345
6;CID81;-5.865094;37.359736;LINESTRING (-5.865093984204829 37.35973601700449, -6.672311983822705 37.35976601733982, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID6', 'PIPEID24', 'PIPEID37'];160.4286217050738;CCS_CALCINED_CLAY_CEMENT;7;1;LL;1.0;1869999.999696;65186761.42383382;4458227.771366616;50156624.34408651;32.67478301302821;715274.99988372;482286.2728709782;1598864.9597400778;1159940.2005596017;0.7254772790493634;7.540097484989863;40.214880498018076;34.62889483430751;482286.2728709783;64.83250298833346;74.84377533232558;120.65954760527744;0.07956232279838152;0.11268721679636283;0.03995196619322462;0.09271123369975051
16;CID91;-4.329333;36.714681;LINESTRING (-4.329332984777801 36.71468101680755, -6.073447983937021 36.61824901758658, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID16', 'PIPEID19', 'PIPEID37'];307.0931757694009;CCS_CALCINED_CLAY_CEMENT;17;1;LL;1.0;1299999.9999648002;45316999.92645228;3099302.7291774647;34180266.50457066;32.14557145702878;497249.999986536;330533.3039026032;1111510.399969904;806375.5406052356;0.7254772790493634;9.22729763070057;41.37286908772935;34.1387180963219;330533.3039026033;66.69935669455327;75.51158718405125;121.73616186687603;0.0991797682960201;0.14034585246898726;0.02765863567262443;0.12651653463267504
30;CID105;-8.418212;40.289074;LINESTRING (-8.418211983652565 40.28907401608227, -8.663498236721621 41.13424080560878, -8.922661825589879 41.0959813857407);['PIPEID30', 'PIPEID34'];118.674447313385;CCS_CALCINED_CLAY_CEMENT;31;1;LL;1.0;1500000.0000672003;52288846.07274177;3576118.533923346;42091566.75518614;33.914103262693565;573750.000025704;394100.2503997695;1282512.000057457;930433.3161498411;0.7254772790493635;6.687295981449592;40.60139924414316;35.27693043807072;394100.2503997696;65.45562998642153;75.87832968221389;122.32740654580152;0.12181528233338389;0.17256900873198255;0.032223156262995295;0.1564574306004849
25;CID100;-7.450123;42.717483;LINESTRING (-7.450122984627811 42.71748301407421, -8.733260829923628 42.22657923489934, -9.314145233515781 41.61267249554911);['PIPEID25', 'PIPEID35'];202.9174883927646;CCS_CALCINED_CLAY_CEMENT;26;1;LL;1.0;1369999.9999655997;47757146.076432124;3266188.2607549843;39354334.72408134;34.57885053061701;524024.9999868418;357362.9532797322;1171360.9599705876;849795.7620241123;0.7254772790493634;6.574477631325459;41.15332816194247;35.023883397723814;357362.95327973226;66.34542333578472;76.17721155966629;122.8092495843267;0.14248905181939753;0.20193667815149174;0.02936766941950919;0.18725284344173715
33;CID108;-8.935936;38.501466;LINESTRING (-8.935935982999197 38.50146601752661, -9.230709259891642 38.65399113754908, -8.951758439954242 38.34034366764466);['PIPEID33', 'PIPEID36'];73.45401733259877;CCS_CALCINED_CLAY_CEMENT;34;1;LL;1.0;1299999.9999648002;45316999.92645228;3099302.7291774647;35457584.203889705;33.12812353345465;497249.999986536;341446.9494303449;1111510.399969904;806375.5406052356;0.7254772790493634;7.7868980229634035;40.915021556418054;35.2659202985682;341446.949430345;65.96123684751298;76.18094185498626;122.8152633876623;0.1621064973170361;0.22986082019867748;0.02792414204718574;0.21589874917508461
29;CID104;-8.100041;37.135933;;[];;CCS_CALCINED_CLAY_CEMENT;30;1;LL;1.0;1299999.9999648002;45316999.92645228;3099302.7291774647;38033280.49499357;35.10942837281896;497249.999986536;346540.38884600287;1111510.399969904;806375.5406052356;0.7254772790493634;5.374544778964523;40.48397315178349;35.79198980593341;346540.3888460029;65.26632126811784;76.2759629577169;122.96845185547441;0.1817239428146747;0.25790887506948035;0.028048054870802863;0.24388484763407892
14;CID89;-5.775146;43.33011;LINESTRING (-5.775145985520356 43.33011001305982, -5.61963198548489 42.79865401334181, -6.768732984909476 42.5535190139237, -7.450122984627811 42.71748301407421, -8.733260829923628 42.22657923489934, -9.314145233515781 41.61267249554911);['PIPEID14', 'PIPEID13', 'PIPEID26', 'PIPEID25', 'PIPEID35'];421.4056657298883;CCS_CALCINED_CLAY_CEMENT;15;1;LL;1.0;1299999.9999648002;45316999.92645228;3099302.7291774647;35754690.097707085;33.35666652870498;497249.999986536;338586.1495230298;1111510.399969904;806375.5406052356;0.7254772790493634;8.288131970866196;41.64479849957117;34.97044616506123;338586.14952302986;67.13774825975311;76.6152446646324;123.51542556284551;0.20134138831231327;0.28576341978461;0.02785454471512966;0.2718361474270452
28;CID103;-9.009904;38.922169;LINESTRING (-9.009903983060321 38.92216901726825, -9.230709259891642 38.65399113754908, -8.951758439954242 38.34034366764466);['PIPEID28', 'PIPEID36'];78.11753421090471;CCS_CALCINED_CLAY_CEMENT;29;1;LL;1.0;1179999.9999384;41133892.23990006;2813213.246413474;32395404.4646042;33.30679135904866;451349.99997643795;310729.600845292;1008909.4399473317;731940.8753002074;0.7254772790493635;8.040385301888795;41.34717666093746;35.357044640849054;310729.60084529204;66.65793659542241;76.7042213017865;123.658869432944;0.21914799268664548;0.31112943128643306;0.02536601150182305;0.29844642553552153
12;CID87;-5.722483;43.560582;LINESTRING (-5.722482985589674 43.56058201289502, -5.775145985520356 43.33011001305982, -5.61963198548489 42.79865401334181, -6.768732984909476 42.5535190139237, -7.450122984627811 42.71748301407421, -8.733260829923628 42.22657923489934, -9.314145233515781 41.61267249554911);['PIPEID12', 'PIPEID14', 'PIPEID13', 'PIPEID26', 'PIPEID25', 'PIPEID35'];447.5330054841884;CCS_CALCINED_CLAY_CEMENT;13;1;LL;1.0;1430000.0000664;49848699.92276191;3409233.0023458255;38640243.40062315;32.874207990443594;546975.000025398;371080.4561866889;1222661.4400567727;887013.0947309638;0.7254772790493634;9.015169789758755;41.88937778020235;34.842345369815234;371080.45618668897;67.53204725420585;76.73172315001759;123.70320659460025;0.2407271827356342;0.341736239681853;0.03060680839541996;0.32643283548414304
0;CID75;-6.483272;38.3792;LINESTRING (-6.483271984143427 38.37920001657644, -6.672311983822705 37.35976601733982, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID0', 'PIPEID24', 'PIPEID37'];203.5136768021877;CCS_CALCINED_CLAY_CEMENT;1;1;LL;1.0;1299999.9999648002;45316999.92645228;3099302.7291774647;37170593.69171882;34.445823139512726;497249.999986536;339832.1285800208;1111510.399969904;806375.5406052356;0.7254772790493634;7.529932298622627;41.97575543813535;35.09913555060367;339832.12858002086;67.67130117456358;77.07489098873901;124.25644533742091;0.26034462823327276;0.36962109648485103;0.027884856802998015;0.355678668083352
13;CID88;-5.619632;42.798654;LINESTRING (-5.61963198548489 42.79865401334181, -6.768732984909476 42.5535190139237, -7.450122984627811 42.71748301407421, -8.733260829923628 42.22657923489934, -9.314145233515781 41.61267249554911);['PIPEID13', 'PIPEID26', 'PIPEID25', 'PIPEID35'];360.61696418781503;CCS_CALCINED_CLAY_CEMENT;14;1;LL;1.0;1869999.999696;65186761.42383382;4458227.771366616;53706099.80597597;34.57289823359852;715274.99988372;491540.6871052637;1598864.9597400778;1159940.2005596017;0.7254772790493634;7.4021535859915195;41.97505181959004;35.293375984402196;491540.68710526376;67.67016683446667;77.26842780399224;124.568456115468;0.28856356906066793;0.4097982033944191;0.04017710690956805;0.3897096499396351
2;CID77;-4.15978;42.874825;LINESTRING (-4.159779986155612 42.87482501277532, -5.61963198548489 42.79865401334181, -6.768732984909476 42.5535190139237, -7.450122984627811 42.71748301407421, -8.733260829923628 42.22657923489934, -9.314145233515781 41.61267249554911);['PIPEID2', 'PIPEID13', 'PIPEID26', 'PIPEID25', 'PIPEID35'];481.2296339655667;CCS_CALCINED_CLAY_CEMENT;3;1;LL;1.0;2102400.0;73288046.65227154;5012287.736922411;59251903.28626261;34.036041678236145;804167.9999999999;549903.7725734578;1797568.8192000003;1304095.3358571935;0.7254772790493635;8.194346338966174;42.230388017202316;35.11936770864686;549903.7725734579;68.08180761493703;77.34975572584918;124.69956909333908;0.3202895055340157;0.45490215884799134;0.045103955453572264;0.4323501811212052
