Resource;grid;Minor time;Major Time;Scenario;rate
EMITTED_CO2;1;1;1;LL;40.88385765238742
EMITTED_CO2;2;1;1;LL;16.457150443536822
EMITTED_CO2;3;1;1;LL;41.93171594208437
EMITTED_CO2;4;1;1;LL;33.76960493060038
EMITTED_CO2;5;1;1;LL;16.272120196160735
EMITTED_CO2;6;1;1;LL;45.88418427952186
EMITTED_CO2;7;1;1;LL;36.78873718550256
EMITTED_CO2;8;1;1;LL;39.92138139545872
EMITTED_CO2;9;1;1;LL;53.300624741254765
EMITTED_CO2;10;1;1;LL;47.0659979992751
EMITTED_CO2;11;1;1;LL;64.7517762287841
EMITTED_CO2;12;1;1;LL;29.704239119464265
EMITTED_CO2;13;1;1;LL;28.1862069813723
EMITTED_CO2;14;1;1;LL;58.964265483289466
EMITTED_CO2;15;1;1;LL;25.724237759425503
EMITTED_CO2;16;1;1;LL;25.75493603108953
EMITTED_CO2;17;1;1;LL;25.3855248682989
EMITTED_CO2;18;1;1;LL;41.70287191235157
EMITTED_CO2;19;1;1;LL;27.041282873496137
EMITTED_CO2;20;1;1;LL;41.45222910986821
EMITTED_CO2;21;1;1;LL;41.27677518618497
EMITTED_CO2;22;1;1;LL;70.44688352865504
EMITTED_CO2;23;1;1;LL;26.96515980047557
EMITTED_CO2;24;1;1;LL;30.663958835135173
EMITTED_CO2;25;1;1;LL;25.6301481120843
EMITTED_CO2;26;1;1;LL;27.15353186524905
EMITTED_CO2;27;1;1;LL;30.749983467572648
EMITTED_CO2;28;1;1;LL;39.63461648528046
EMITTED_CO2;29;1;1;LL;23.491774554172224
EMITTED_CO2;30;1;1;LL;41.26674922008046
EMITTED_CO2;31;1;1;LL;29.853022846022697
EMITTED_CO2;32;1;1;LL;12.451561370159716
EMITTED_CO2;33;1;1;LL;40.257032698864606
EMITTED_CO2;34;1;1;LL;25.809339748436344
