index;OID;Longitude;Latitude;route_CO2;PIP_IDs;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
27;CID102;2.054826;41.402821;;;CALCINED_CLAY_CEMENT;28;1;LL;1.0;1299999.9999648002;11810440.827322502;1490987.8924192383;10227256.896354754;9.918114158183661;0.0;694398.4808221137;1111510.399969904;429922.4831154287;0.38679123751524913;0.0;9.918114158183661;71.72007692842243;694398.4808221139;29.9904027159889;81.63819108660608;246.85763731323587;0.01045912289749777;0.027352398629728474;0.027352398629728474;0.013676199314864237
21;CID96;2.183652;41.474698;;;CALCINED_CLAY_CEMENT;22;1;LL;1.0;2310000.000552;20986244.860286966;2649370.7941574794;18343321.33393892;9.991825212863342;0.0;1234229.3994220367;1975068.4804719647;763939.181739114;0.3867912375152492;0.0;9.991825212863342;71.73964844384616;1234229.3994220372;30.213290270942053;81.73147365670951;247.1397052345327;0.029044179743380444;0.07596369852927824;0.048611299899549765;0.05165804857950336
22;CID97;-0.246962;39.663613;;;CALCINED_CLAY_CEMENT;23;1;LL;1.0;879999.9999599999;7994759.944502152;1009284.111772936;7007457.997179413;10.014013920169186;0.0;472429.59970433195;752407.0399657997;291024.4501035572;0.3867912375152492;0.0;10.014013920169186;72.08248744905994;472429.5997043321;30.28038450450665;82.09650136922913;248.24347636746802;0.03612420139694113;0.09453695312082565;0.018573254591547406;0.08525032582505195
9;CID84;-0.542867;38.378014;;;CALCINED_CLAY_CEMENT;10;1;LL;1.0;1529999.9999423998;13899980.3581634;1754778.057982555;12630686.10307369;10.306343862943589;0.0;824596.2849473;1308162.2399507514;505985.6916612715;0.3867912375152492;0.0;10.306343862943589;72.36445239720369;824596.2849473003;31.16433205440578;82.67079626014728;249.98002978696647;0.04843378449925069;0.12690725466378563;0.03237030154295999;0.11072210389230563
7;CID82;-0.77638;39.436556;;;CALCINED_CLAY_CEMENT;8;1;LL;1.0;1299999.9999648002;11810440.827322502;1490987.8924192383;11118166.20060106;10.603429007622452;0.0;699422.602048437;1111510.399969904;429922.4831154287;0.38679123751524913;0.0;10.603429007622452;72.23898699346609;699422.6020484373;32.062658388198315;82.84241600108854;250.49897371751152;0.05889290739674846;0.1543818797492632;0.027474625085477572;0.1406445672065244
10;CID85;0.54329;40.576824;;;CALCINED_CLAY_CEMENT;11;1;LL;1.0;2102400.0;19100208.304642424;2411271.4962362177;19661230.500018694;11.402796407973597;0.0;1134451.1195282976;1797568.8192000003;695283.8680971933;0.3867912375152492;0.0;11.402796407973597;72.45123238153138;1134451.119528298;34.47978626878265;83.85402878950498;253.5578893977893;0.07580772276620593;0.198895539436813;0.044513659687549806;0.17663870959303812
23;CID98;-4.764202;37.902032;;;CALCINED_CLAY_CEMENT;24;1;LL;1.0;980000.0000112;8903255.393247478;1123975.488174705;10607085.033904098;12.874549625388289;0.0;537232.5587915683;837907.8400095762;324095.4103610334;0.3867912375152492;0.0;12.874549625388289;73.60572357333147;537232.5587915685;38.93007500158567;86.48027319871976;261.499129658467;0.08369229233539247;0.21984986361901798;0.02095432418220497;0.20937270152791548
0;CID75;-6.483272;38.3792;;;CALCINED_CLAY_CEMENT;1;1;LL;1.0;1299999.9999648002;11810440.827322502;1490987.8924192383;14194161.967340928;12.969579597486417;0.0;716285.1860698278;1111510.399969904;429922.4831154287;0.38679123751524913;0.0;12.969579597486417;73.98061785330655;716285.186069828;39.21742671864174;86.95019745079297;262.9200870442072;0.09415141523289024;0.247734720422016;0.027884856802998015;0.233792292020517
13;CID88;-5.619632;42.798654;;;CALCINED_CLAY_CEMENT;14;1;LL;1.0;1869999.999696;16988864.88007747;2144728.737266315;20655386.483848903;13.096654691572219;0.0;1033053.9312672315;1598864.9597400778;618426.9563976339;0.38679123751524924;0.0;13.096654691572219;74.17485828710507;1033053.9312672319;39.601676505045;87.2715129786773;263.8916812330278;0.10919646124494473;0.28791182733158405;0.04017710690956805;0.26782327387680005
18;CID93;-1.904785;36.966885;;;CALCINED_CLAY_BIOMASS_CEMENT;19;1;LL;1.0;1389999.9999408;12628086.730556618;1594210.1311004544;55308282.290573314;41.841124614459;0.0;473763.2759436525;1188461.1199493837;775251.1033590287;0.6523150739605571;0.0;41.841124614459;45.763784286227015;473763.2759436526;75.01977483118365;87.60490890068601;157.07275080184402;0.12805671369718927;0.31829775830035645;0.0303859309687724;0.30310479281597025
