From grid;To grid;Distribution type;Distribution mode;Minor time;Major Time;Scenario;rate
1;3;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;35.39871575326513
3;18;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;51.48904109739208
4;21;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;16.090325344124995
5;1;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;11.263227738974996
6;11;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;63.71768835585007
7;18;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;20.91742294543403
8;18;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;14.64219606104889
9;6;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;34.75510274025
10;21;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;98.7192765249781
11;18;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;79.16440068315006
12;10;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;83.2725641976781
13;15;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;11.26322773898288
14;16;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;12.872260275299997
15;21;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;56.31613868722177
16;12;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;64.44688354830262
18;39;24INCH_CO2_OFFSHORE;MODE_1;1;1;LL;342.6
21;36;16INCH_CO2_OFFSHORE;MODE_1;1;1;LL;282.1539478871514
