process_tech;grid_id;TM;EXSTNG_TECH
INCUMBENT_CEMENT;1;1;1
INCUMBENT_CEMENT;2;1;1
INCUMBENT_CEMENT;3;1;1
INCUMBENT_CEMENT;4;1;1
INCUMBENT_CEMENT;5;1;1
INCUMBENT_CEMENT;6;1;1
INCUMBENT_CEMENT;7;1;1
INCUMBENT_CEMENT;8;1;1
INCUMBENT_CEMENT;9;1;1
INCUMBENT_CEMENT;10;1;1
INCUMBENT_CEMENT;11;1;1
INCUMBENT_CEMENT;12;1;1
INCUMBENT_CEMENT;13;1;1
INCUMBENT_CEMENT;14;1;1
INCUMBENT_CEMENT;15;1;1
INCUMBENT_CEMENT;16;1;1
INCUMBENT_CEMENT;17;1;1
INCUMBENT_CEMENT;18;1;1
INCUMBENT_CEMENT;19;1;1
INCUMBENT_CEMENT;20;1;1
INCUMBENT_CEMENT;21;1;1
INCUMBENT_CEMENT;22;1;1
INCUMBENT_CEMENT;23;1;1
INCUMBENT_CEMENT;24;1;1
INCUMBENT_CEMENT;25;1;1
INCUMBENT_CEMENT;26;1;1
INCUMBENT_CEMENT;27;1;1
INCUMBENT_CEMENT;28;1;1
INCUMBENT_CEMENT;29;1;1
INCUMBENT_CEMENT;30;1;1
INCUMBENT_CEMENT;31;1;1
INCUMBENT_CEMENT;32;1;1
INCUMBENT_CEMENT;33;1;1
INCUMBENT_CEMENT;34;1;1
