Resource;grid;Minor time;Major Time;Scenario;rate
EMITTED_CO2;1;1;1;LL;63.44237442750593
EMITTED_CO2;2;1;1;LL;12.322911255203511
EMITTED_CO2;3;1;1;LL;31.387201630905096
EMITTED_CO2;4;1;1;LL;51.485926943059845
EMITTED_CO2;5;1;1;LL;39.77348858431873
EMITTED_CO2;6;1;1;LL;70.76264840385664
EMITTED_CO2;7;1;1;LL;27.527755300854903
EMITTED_CO2;8;1;1;LL;18.43433473508162
EMITTED_CO2;9;1;1;LL;25.532749056005898
EMITTED_CO2;10;1;1;LL;21.77739693002166
EMITTED_CO2;11;1;1;LL;30.002263228784077
EMITTED_CO2;12;1;1;LL;45.67850958541025
EMITTED_CO2;13;1;1;LL;21.180391334856655
EMITTED_CO2;14;1;1;LL;28.055975291396308
EMITTED_CO2;15;1;1;LL;19.325693465926346
EMITTED_CO2;16;1;1;LL;19.28591193455886
EMITTED_CO2;17;1;1;LL;18.866056158824374
EMITTED_CO2;18;1;1;LL;31.14920804110129
EMITTED_CO2;19;1;1;LL;67.83453880989633
EMITTED_CO2;20;1;1;LL;31.013330812261785
EMITTED_CO2;21;1;1;LL;63.44237442750593
EMITTED_CO2;22;1;1;LL;32.26605445275047
EMITTED_CO2;23;1;1;LL;12.420082061410678
EMITTED_CO2;24;1;1;LL;14.46603135207333
EMITTED_CO2;25;1;1;LL;19.175781268659826
EMITTED_CO2;26;1;1;LL;20.39742884016736
EMITTED_CO2;27;1;1;LL;14.717340960068825
EMITTED_CO2;28;1;1;LL;18.147569824903343
EMITTED_CO2;29;1;1;LL;17.73570781080432
EMITTED_CO2;30;1;1;LL;63.44237442750593
EMITTED_CO2;31;1;1;LL;73.2027397293069
EMITTED_CO2;32;1;1;LL;30.2571324167728
EMITTED_CO2;33;1;1;LL;97.6036529325088
EMITTED_CO2;34;1;1;LL;19.48898113186899
