From grid;To grid;Distribution type;Distribution mode;Minor time;Major Time;Scenario;rate
2;16;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;64.02071917665
3;14;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;380.69229452715
7;25;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;62.22174656895
8;23;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;61.7851027377
9;3;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;242.3897260362
10;8;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;33.403253423399995
11;9;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;205.711643844
13;15;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;31.220034248024994
14;27;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;481.120376712975
15;14;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;59.60188356232499
16;3;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;92.40256849095
17;20;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.3818493143
18;2;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;45.900000000000006
20;38;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;74.2818493143
22;28;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;50.43236302575
23;11;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;80.99743150395
24;7;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.39554794545
25;38;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;90.60359588325
26;36;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;532.20770547795
27;26;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;502.297602738975
28;11;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;78.81421234005
29;37;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;25.761986300025
34;37;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.3818493143
36;43;28INCH_CO2_OFFSHORE;MODE_1;1;1;LL;532.20770547795
37;63;9INCH_CO2_OFFSHORE;MODE_1;1;1;LL;54.143835614325
38;71;24INCH_CO2_OFFSHORE;MODE_1;1;1;LL;164.88544519754998
