process_tech;grid;Major Time;Scenario;number
SMALL_CO2_COMPRESSOR;37;1;LL;1.0
LARGE_CO2_COMPRESSOR;36;1;LL;1.0
LARGE_CO2_COMPRESSOR;38;1;LL;1.0
CCS_CALCINED_CLAY_CEMENT;2;1;LL;1.0
CCS_CALCINED_CLAY_CEMENT;3;1;LL;1.0
CCS_CALCINED_CLAY_CEMENT;7;1;LL;1.0
CCS_CALCINED_CLAY_CEMENT;8;1;LL;1.0
CCS_CALCINED_CLAY_CEMENT;9;1;LL;1.0
CCS_CALCINED_CLAY_CEMENT;10;1;LL;1.0
CCS_CALCINED_CLAY_CEMENT;11;1;LL;1.0
CCS_CALCINED_CLAY_CEMENT;13;1;LL;1.0
CCS_CALCINED_CLAY_CEMENT;14;1;LL;1.0
CCS_CALCINED_CLAY_CEMENT;15;1;LL;1.0
CCS_CALCINED_CLAY_CEMENT;16;1;LL;1.0
CCS_CALCINED_CLAY_CEMENT;17;1;LL;1.0
CCS_CALCINED_CLAY_CEMENT;18;1;LL;1.0
CCS_CALCINED_CLAY_CEMENT;20;1;LL;1.0
CCS_CALCINED_CLAY_CEMENT;22;1;LL;1.0
CCS_CALCINED_CLAY_CEMENT;23;1;LL;1.0
CCS_CALCINED_CLAY_CEMENT;24;1;LL;1.0
CCS_CALCINED_CLAY_CEMENT;25;1;LL;1.0
CCS_CALCINED_CLAY_CEMENT;26;1;LL;1.0
CCS_CALCINED_CLAY_CEMENT;27;1;LL;1.0
CCS_CALCINED_CLAY_CEMENT;28;1;LL;1.0
CCS_CALCINED_CLAY_CEMENT;29;1;LL;1.0
CCS_CALCINED_CLAY_CEMENT;34;1;LL;1.0
NO_ACTION;1;1;LL;1.0
NO_ACTION;4;1;LL;1.0
NO_ACTION;5;1;LL;1.0
NO_ACTION;6;1;LL;1.0
NO_ACTION;12;1;LL;1.0
NO_ACTION;19;1;LL;1.0
NO_ACTION;21;1;LL;1.0
NO_ACTION;30;1;LL;1.0
NO_ACTION;31;1;LL;1.0
NO_ACTION;32;1;LL;1.0
NO_ACTION;33;1;LL;1.0
