Resource;grid;Minor time;Major Time;Scenario;rate
CLAY;2;1;1;LL;16.517601378609648
CLAY;3;1;1;LL;41.839283302570585
CLAY;7;1;1;LL;37.21435491014453
CLAY;8;1;1;LL;25.870941919648505
CLAY;9;1;1;LL;33.43321725129466
CLAY;10;1;1;LL;30.448108566649086
CLAY;11;1;1;LL;41.839283302570585
CLAY;13;1;1;LL;28.458036113705315
CLAY;14;1;1;LL;37.21435491014453
CLAY;15;1;1;LL;25.870941919648505
CLAY;16;1;1;LL;25.870941919648505
CLAY;17;1;1;LL;25.870941919648505
CLAY;18;1;1;LL;41.839283302570585
CLAY;20;1;1;LL;41.839283302570585
CLAY;22;1;1;LL;45.97067373098998
CLAY;23;1;1;LL;17.51263760682484
CLAY;24;1;1;LL;19.50271006325521
CLAY;25;1;1;LL;25.870941919648505
CLAY;26;1;1;LL;27.263992638452446
CLAY;27;1;1;LL;19.303702816217537
CLAY;28;1;1;LL;25.870941919648505
CLAY;29;1;1;LL;23.48285497262937
CLAY;34;1;1;LL;25.870941919648505
